gene	node_type
AGPAT2	gene
AGPAT1	gene
MINO	gene
CDSA-RA	gene
CDS	gene
CDSA	gene
AGPAT2	PPI
AGPAT1	PPI
MINO	PPI
CDSA-RA	PPI
CDS	PPI
CDSA	PPI
HN	PPI
MTM	PPI
OST48	PPI
SCAMP	PPI
SURF4	PPI
OSTDELTA	PPI
SC2	PPI
CG11753	PPI
BE	PPI
CG11857	PPI
CG31729	PPI
TANGO9	PPI
SEC61ALPHA	PPI
CG4116	PPI
NURF-38	PPI
CG14053	PPI
MAP60	PPI
CNMA	PPI
GLO	PPI
ND-SGDH	PPI
CG7600	PPI
CG12256	PPI
JDP	PPI
REPH	PPI
NELF-E	PPI
FER1HCH	PPI
FD59A	PPI
CG14245	PPI
ATPSYNB	PPI
WISP	PPI
TWDLC	PPI
QKR58E-3	PPI
CG3645	PPI
SPZ4	PPI
SKPB	PPI
CG9135	PPI
SU(VAR)3-9	PPI
SGG	PPI
SXL	PPI
CV-C	PPI
CG32428	PPI
KIBRA	PPI
CG8036	PPI
CG3625	PPI
TFAP-2	PPI
SE	PPI
ND-19	PPI
INVADOLYSIN	PPI
VDUP1	PPI
RPS19A	PPI
RHOGAP54D	PPI
OSK	PPI
CCP84AA	PPI
CG14246	PPI
CG42446	PPI
CCP84AB	PPI
B9D1	PPI
SEMA1A	PPI
CG13622	PPI
CG17931	PPI
CG13737	PPI
SBF	PPI
PI3K68D	PPI
RAB21	PPI
MRP	PPI
CG9662	PPI
TCP-1ZETA	PPI
ATPSYNCF6	PPI
SPINDLY	PPI
RPS10B	PPI
L(1)G0156	PPI
ATPSYNDELTA	PPI
KAP-ALPHA3	PPI
UQCR-C2	PPI
MPCP	PPI
CG8258	PPI
ATPSYNO	PPI
IMPL3	PPI
SUN	PPI
CG2065	PPI
CG12262	PPI
RAP1	PPI
HEL25E	PPI
CG2064	PPI
CHC	PPI
CG33303	PPI
ARF79F	PPI
KR-H2	PPI
VHA68-2	PPI
SSRBETA	PPI
CG5885	PPI
WAL	PPI
CG32638	PPI
CG7601	PPI
ZNT63C	PPI
CG2070	PPI
CG10425	PPI
CG3164	PPI
TCP-1ETA	PPI
BBC	PPI
SERCA	PPI
BUB1	PPI
TAPDELTA	PPI
SPT-I	PPI
MATS	PPI
JAGN	PPI
PORIN	PPI
CG15098	PPI
PP2A-29B	PPI
IMD	PPI
CG13887	PPI
TSPO	PPI
COX4	PPI
SPIDEY	PPI
RANBP9	PPI
ATPSYNGAMMA	PPI
SKAP	PPI
CG13220	PPI
CG4729	PPI
FAX	PPI
RAB1	PPI
L(2)37CC	PPI
KARYBETA3	PPI
CYP12D1-P	PPI
RAB2	PPI
GP93	PPI
ATPALPHA	PPI
ATPSYNF	PPI
MEC2	PPI
CG33253	PPI
RAB5	PPI
MGE	PPI
AKT1	PPI
CG13494	PPI
CG17048	PPI
CG12004	PPI
COMM3	PPI
MHCL	PPI
REPTOR-BP	PPI
EMB	PPI
ATPSYNG	PPI
PPL	PPI
RAB4	PPI
CG7668	PPI
CG14671	PPI
CG34113	PPI
GT	PPI
CG5447	PPI
CG13245	PPI
GRH	PPI
EY	PPI
TINC	PPI
CG8195	PPI
CG7054	PPI
SINA	PPI
OSTGAMMA	PPI
KDELR	PPI
ATL	PPI
CG5525	PPI
CG12264	PPI
FIM	PPI
CAND1	PPI
SERRS	PPI
TER94	PPI
SUCB	PPI
PAST1	PPI
GLT	PPI
FASN1	PPI
SCF	PPI
PCB	PPI
CNX99A	PPI
PMCA	PPI
CG3008	PPI
UQCR-6.4	PPI
CG1371	PPI
GFAT2	PPI
CCTGAMMA	PPI
CG9467	PPI
CG16817	PPI
GP210	PPI
GLUPRORS	PPI
EFTUM	PPI
CG5854	PPI
UBQN	PPI
CG5418	PPI
MWH	PPI
SEC63	PPI
CG6569	PPI
SRC64B	PPI
CG42613	PPI
BEST2	PPI
TSH	PPI
CG1416	PPI
BI-1	PPI
CISD2	PPI
SLD5	PPI
SIP1	PPI
SEC24AB	PPI
CG11380	PPI
RPT1	PPI
BETACOP	PPI
VTA1	PPI
CG33017	PPI
CG15141	PPI
NINAA	PPI
CG9090	PPI
RPS8	PPI
CG17162	PPI
RPS14A	PPI
TM9SF3	PPI
RNASEK	PPI
ODA	PPI
TIM10	PPI
TAK1	PPI
CG12012	PPI
CG3209	PPI
DIAP2	PPI
JWA	PPI
DPY-30L2	PPI
CG31523	PPI
CG3797	PPI
PHR	PPI
DIP1	PPI
MOD(MDG4)	PPI
CG7856	PPI
FOXO	PPI
CG13707	PPI
VPS4	PPI
CG8475	PPI
NOT10	PPI
GCM2	PPI
PIF1A	PPI
NOI	PPI
PIF1B	PPI
TRPRS	PPI
NACP60E	PPI
PPK28	PPI
LT	PPI
PHKGAMMA	PPI
VPS45	PPI
CG5466	PPI
CCN	PPI
