gene1	gene	score
Pgi	Src64B	0.111111111111111
Pgi	ovo	0.111111111111111
Pgi	Hr3	0.111111111111111
Pgi	COX6B	0.111111111111111
Pgi	eIF4G2	0.111111111111111
eIF4G2	eIF-4E	0.037037037037037
Src64B	Src64B	0.0246913580246914
eIF4G2	eIF4E-3	0.0246913580246914
Src64B	CG13041	0.0123456790123457
Src64B	Csk	0.0123456790123457
Src64B	Raf	0.0123456790123457
Src64B	qkr58E-1	0.0123456790123457
Src64B	Pi3K21B	0.0123456790123457
Src64B	Sin3A	0.0123456790123457
Src64B	Socs36E	0.0123456790123457
Src64B	CG44251	0.0123456790123457
Src64B	Tnks	0.0123456790123457
Src64B	Src64B	0.0123456790123457
Src64B	CG44250	0.0123456790123457
Src64B	Tip60	0.0123456790123457
Src64B	IP3K2	0.0123456790123457
Src64B	RpL3	0.0123456790123457
Src64B	CG2218	0.0123456790123457
Src64B	CG31036	0.0123456790123457
Src64B	Dok	0.0123456790123457
Src64B	Bap60	0.0123456790123457
Src64B	Pgi	0.0123456790123457
Src64B	betaTub56D	0.0123456790123457
Src64B	kek5	0.0123456790123457
Src64B	CG1698	0.0123456790123457
Src64B	Pka-C1	0.0123456790123457
Src64B	Tm2	0.0123456790123457
Src64B	CG33993	0.0123456790123457
Src64B	ATPsynB	0.0123456790123457
Src64B	mRpS30	0.0123456790123457
Src64B	PVRAP	0.0123456790123457
Src64B	mod(mdg4)	0.0123456790123457
Src64B	slo	0.0123456790123457
Src64B	CG10139	0.0123456790123457
Src64B	dx	0.0123456790123457
Src64B	EloA	0.0123456790123457
Src64B	udd	0.0123456790123457
Src64B	Cpr49Ae	0.0123456790123457
Src64B	pgant3	0.0123456790123457
Src64B	CG3651	0.0123456790123457
Src64B	CG10133	0.0123456790123457
Src64B	RpS26	0.0123456790123457
Src64B	drk	0.0123456790123457
Src64B	Cad96Ca	0.0123456790123457
Src64B	drl	0.0123456790123457
Src64B	Sc2	0.0123456790123457
Src64B	CG12496	0.0123456790123457
Src64B	Spase22-23	0.0123456790123457
Src64B	kirre	0.0123456790123457
Src64B	mRpL24	0.0123456790123457
Src64B	Sema2a	0.0123456790123457
Src64B	slif	0.0123456790123457
ovo	Ubr3	0.0123456790123457
ovo	Adh	0.0123456790123457
ovo	Hsp26	0.0123456790123457
ovo	crol	0.0123456790123457
ovo	Kr	0.0123456790123457
ovo	Mhc	0.0123456790123457
ovo	Membrin	0.0123456790123457
ovo	CG32576	0.0123456790123457
ovo	fs(1)K10	0.0123456790123457
ovo	CG17127	0.0123456790123457
ovo	CG5382	0.0123456790123457
ovo	DCTN5-p25	0.0123456790123457
ovo	Pgi	0.0123456790123457
ovo	RanGAP	0.0123456790123457
ovo	Prm	0.0123456790123457
ovo	CG15414	0.0123456790123457
Hr3	rig	0.0123456790123457
Hr3	e(y)3	0.0123456790123457
Hr3	bon	0.0123456790123457
Hr3	Ada2b	0.0123456790123457
Hr3	DNApol-delta	0.0123456790123457
Hr3	CG10347	0.0123456790123457
Hr3	Pgi	0.0123456790123457
Hr3	toy	0.0123456790123457
COX6B	levy	0.0123456790123457
COX6B	Hsp83	0.0123456790123457
COX6B	Updo	0.0123456790123457
COX6B	Pex6	0.0123456790123457
COX6B	CG44838	0.0123456790123457
COX6B	Pgi	0.0123456790123457
COX6B	Rpn6	0.0123456790123457
COX6B	RpS3	0.0123456790123457
COX6B	COX4	0.0123456790123457
COX6B	COX5A	0.0123456790123457
COX6B	Cyt-c-p	0.0123456790123457
COX6B	cype	0.0123456790123457
COX6B	Rpn1	0.0123456790123457
COX6B	Cdc6	0.0123456790123457
COX6B	CG18003	0.0123456790123457
eIF4G2	cathD	0.0123456790123457
eIF4G2	26-29-p	0.0123456790123457
eIF4G2	RpS25	0.0123456790123457
eIF4G2	CG4998	0.0123456790123457
eIF4G2	CG3961	0.0123456790123457
eIF4G2	pAbp	0.0123456790123457
eIF4G2	Cpr72Ea	0.0123456790123457
eIF4G2	CG42565	0.0123456790123457
eIF4G2	CG7548	0.0123456790123457
eIF4G2	CG40160	0.0123456790123457
eIF4G2	Sld5	0.0123456790123457
eIF4G2	Vsp37A	0.0123456790123457
eIF4G2	CG13427	0.0123456790123457
eIF4G2	CG13157	0.0123456790123457
eIF4G2	CG14563	0.0123456790123457
eIF4G2	Chd64	0.0123456790123457
eIF4G2	Cda5	0.0123456790123457
eIF4G2	CG3548	0.0123456790123457
eIF4G2	rogdi	0.0123456790123457
eIF4G2	Pgi	0.0123456790123457
eIF4G2	eIF4E-7	0.0123456790123457
eIF4G2	Rab40	0.0123456790123457
eIF4G2	AttA	0.0123456790123457
eIF4G2	shi	0.0123456790123457
eIF4G2	CG3589	0.0123456790123457
eIF4G2	hale	0.0123456790123457
eIF4G2	CG13067	0.0123456790123457
eIF4G2	CG6933	0.0123456790123457
eIF4G2	CG17018	0.0123456790123457
eIF4G2	Nmda1	0.0123456790123457
eIF4G2	Cyp4g1	0.0123456790123457
eIF4G2	CG13857	0.0123456790123457
eIF4G2	CycB	0.0123456790123457
eIF4G2	mbl	0.0123456790123457
