gene1	gene	score
Oscillin	Tim8	0.111111111111111
Oscillin	nwk	0.111111111111111
Oscillin	4EHP	0.111111111111111
Oscillin	Gyf	0.111111111111111
Oscillin	PSR	0.111111111111111
Oscillin	CG11095	0.111111111111111
Oscillin	spheroide	0.111111111111111
Oscillin	CG5641	0.111111111111111
nwk	WASp	0.037037037037037
CG5641	Zn72D	0.0246913580246914
Tim8	CG8117	0.0123456790123457
Tim8	CG13983	0.0123456790123457
Tim8	CG14410	0.0123456790123457
Tim8	CG31211	0.0123456790123457
Tim8	al	0.0123456790123457
Tim8	GEFmeso	0.0123456790123457
Tim8	B-H1	0.0123456790123457
Tim8	fd59A	0.0123456790123457
Tim8	CG34132	0.0123456790123457
Tim8	CG11095	0.0123456790123457
Tim8	Oscillin	0.0123456790123457
Tim8	CG15529	0.0123456790123457
Tim8	CG12609	0.0123456790123457
nwk	Vha26	0.0123456790123457
nwk	nwk	0.0123456790123457
nwk	S6KL	0.0123456790123457
nwk	Lst8	0.0123456790123457
nwk	Rad23	0.0123456790123457
nwk	Fer1HCH	0.0123456790123457
nwk	Tap42	0.0123456790123457
nwk	Hmgs	0.0123456790123457
nwk	bocks	0.0123456790123457
nwk	CG11504	0.0123456790123457
nwk	DCTN2-p50	0.0123456790123457
nwk	Atg4a	0.0123456790123457
nwk	Oscillin	0.0123456790123457
nwk	Snx16	0.0123456790123457
nwk	CG4407	0.0123456790123457
nwk	ND-75	0.0123456790123457
nwk	Cyp6a13	0.0123456790123457
nwk	fal	0.0123456790123457
nwk	CG8888	0.0123456790123457
nwk	grp	0.0123456790123457
nwk	mts	0.0123456790123457
nwk	CG3344	0.0123456790123457
nwk	ICA69	0.0123456790123457
nwk	MRG15	0.0123456790123457
nwk	CG7763	0.0123456790123457
nwk	Dap160	0.0123456790123457
nwk	SPE	0.0123456790123457
nwk	shi	0.0123456790123457
nwk	squ	0.0123456790123457
nwk	dnk	0.0123456790123457
nwk	Cct2	0.0123456790123457
nwk	igl	0.0123456790123457
nwk	Hsp60A	0.0123456790123457
nwk	Cdc42	0.0123456790123457
nwk	Vha55	0.0123456790123457
nwk	santa-maria	0.0123456790123457
nwk	PSR	0.0123456790123457
nwk	SH3PX1	0.0123456790123457
4EHP	pum	0.0123456790123457
4EHP	bcd	0.0123456790123457
4EHP	brat	0.0123456790123457
4EHP	CG13843	0.0123456790123457
4EHP	Rab6	0.0123456790123457
4EHP	Gyf	0.0123456790123457
4EHP	bin	0.0123456790123457
4EHP	Oscillin	0.0123456790123457
Gyf	Gsc	0.0123456790123457
Gyf	4EHP	0.0123456790123457
Gyf	Tab2	0.0123456790123457
Gyf	sinah	0.0123456790123457
Gyf	CG6950	0.0123456790123457
Gyf	Su(fu)	0.0123456790123457
Gyf	Ir60a	0.0123456790123457
Gyf	Raf	0.0123456790123457
Gyf	CG10909	0.0123456790123457
Gyf	Lkb1	0.0123456790123457
Gyf	CG11275	0.0123456790123457
Gyf	Oscillin	0.0123456790123457
Gyf	Diap2	0.0123456790123457
Gyf	GM130	0.0123456790123457
PSR	gnu	0.0123456790123457
PSR	Wee1	0.0123456790123457
PSR	CG15445	0.0123456790123457
PSR	dmrt11E	0.0123456790123457
PSR	CG2246	0.0123456790123457
PSR	Atg4a	0.0123456790123457
PSR	mts	0.0123456790123457
PSR	CG11504	0.0123456790123457
PSR	Tap42	0.0123456790123457
PSR	Oscillin	0.0123456790123457
PSR	CG3793	0.0123456790123457
PSR	CG5538	0.0123456790123457
PSR	osk	0.0123456790123457
PSR	CG6357	0.0123456790123457
PSR	igl	0.0123456790123457
PSR	exu	0.0123456790123457
PSR	Ote	0.0123456790123457
PSR	CG3344	0.0123456790123457
PSR	CG11164	0.0123456790123457
PSR	CG4407	0.0123456790123457
PSR	Lst8	0.0123456790123457
PSR	Tango2	0.0123456790123457
PSR	MRG15	0.0123456790123457
PSR	PheRS-m	0.0123456790123457
PSR	Hsp26	0.0123456790123457
PSR	bocks	0.0123456790123457
PSR	Fer1HCH	0.0123456790123457
PSR	Drp1	0.0123456790123457
PSR	Adk2	0.0123456790123457
PSR	CG4434	0.0123456790123457
PSR	Cf2	0.0123456790123457
PSR	brp	0.0123456790123457
PSR	nwk	0.0123456790123457
PSR	Hsp60A	0.0123456790123457
PSR	Cyp6a13	0.0123456790123457
PSR	ND-75	0.0123456790123457
PSR	Dlc90F	0.0123456790123457
PSR	Hmgs	0.0123456790123457
PSR	CG8560	0.0123456790123457
PSR	CG10347	0.0123456790123457
PSR	Cyp6d4	0.0123456790123457
PSR	SPE	0.0123456790123457
CG11095	Tim8	0.0123456790123457
CG11095	Oscillin	0.0123456790123457
CG11095	CG8728	0.0123456790123457
CG11095	UQCR-C1	0.0123456790123457
spheroide	EbpIII	0.0123456790123457
spheroide	fra	0.0123456790123457
spheroide	Dlc90F	0.0123456790123457
spheroide	Acp95EF	0.0123456790123457
spheroide	RN-tre	0.0123456790123457
spheroide	CG14823	0.0123456790123457
spheroide	Oscillin	0.0123456790123457
spheroide	Fer1HCH	0.0123456790123457
spheroide	Edc3	0.0123456790123457
spheroide	CG8300	0.0123456790123457
spheroide	Lam	0.0123456790123457
spheroide	Jon65Aiv	0.0123456790123457
spheroide	CG9581	0.0123456790123457
CG5641	CG9986	0.0123456790123457
CG5641	CG15564	0.0123456790123457
CG5641	qkr58E-2	0.0123456790123457
CG5641	Hat1	0.0123456790123457
CG5641	vari	0.0123456790123457
CG5641	Zn72D	0.0123456790123457
CG5641	CG15440	0.0123456790123457
CG5641	Oscillin	0.0123456790123457
