gene1	gene	score
Sam-S	CG17107	0.111111111111111
Sam-S	CG17841	0.111111111111111
Sam-S	Gpo-1	0.111111111111111
Sam-S	Galphas	0.111111111111111
Sam-S	Pdk1	0.111111111111111
Sam-S	CG3209	0.111111111111111
Sam-S	ago	0.111111111111111
Sam-S	Rpn5	0.111111111111111
Sam-S	CG8539	0.111111111111111
Sam-S	DIP-alpha	0.111111111111111
Sam-S	E(var)3-9	0.111111111111111
Sam-S	foxo	0.111111111111111
Sam-S	CG4880	0.111111111111111
Sam-S	RpLP0-like	0.111111111111111
Sam-S	sals	0.111111111111111
Sam-S	Akt1	0.111111111111111
Sam-S	Eip71CD	0.111111111111111
Sam-S	Cctgamma	0.111111111111111
Sam-S	CG10510	0.111111111111111
Sam-S	CG11889	0.111111111111111
Sam-S	Xpd	0.111111111111111
Sam-S	RpL4	0.111111111111111
Rpn5	Rpn9	0.037037037037037
ago	SkpA	0.0246913580246914
Rpn5	Rpn6	0.0246913580246914
DIP-alpha	dpr6	0.0246913580246914
DIP-alpha	dpr10	0.0246913580246914
foxo	14-3-3epsilon	0.0246913580246914
foxo	14-3-3zeta	0.0246913580246914
Akt1	wdb	0.0246913580246914
CG17107	thr	0.0123456790123457
CG17107	Sam-S	0.0123456790123457
CG17107	CG18284	0.0123456790123457
CG17107	GIIIspla2	0.0123456790123457
CG17107	Gycbeta100B	0.0123456790123457
CG17107	CG3618	0.0123456790123457
CG17107	CG43896	0.0123456790123457
CG17107	ics	0.0123456790123457
CG17107	Sesn	0.0123456790123457
CG17107	CG42674	0.0123456790123457
CG17107	CG6036	0.0123456790123457
CG17107	CG8170	0.0123456790123457
CG17107	tsr	0.0123456790123457
CG17107	CG14642	0.0123456790123457
CG17107	CG31872	0.0123456790123457
CG17107	CG17928	0.0123456790123457
CG17107	Alp1	0.0123456790123457
CG17107	CG10195	0.0123456790123457
CG17107	RpS20	0.0123456790123457
CG17107	CASK	0.0123456790123457
CG17107	CG11164	0.0123456790123457
CG17107	Cht6	0.0123456790123457
CG17107	CG13838	0.0123456790123457
CG17107	DCTN6-p27	0.0123456790123457
CG17107	CG7755	0.0123456790123457
CG17107	CG15530	0.0123456790123457
CG17841	Mer	0.0123456790123457
CG17841	Sam-S	0.0123456790123457
CG17841	CG13838	0.0123456790123457
CG17841	CG17776	0.0123456790123457
Gpo-1	Acon	0.0123456790123457
Gpo-1	Adh	0.0123456790123457
Gpo-1	kdn	0.0123456790123457
Gpo-1	Mlc2	0.0123456790123457
Gpo-1	Strn-Mlck	0.0123456790123457
Gpo-1	GstS1	0.0123456790123457
Gpo-1	CG34172	0.0123456790123457
Gpo-1	Hey	0.0123456790123457
Gpo-1	Sam-S	0.0123456790123457
Gpo-1	Fadd	0.0123456790123457
Gpo-1	Tm2	0.0123456790123457
Gpo-1	ND-18	0.0123456790123457
Gpo-1	fln	0.0123456790123457
Gpo-1	Mhc	0.0123456790123457
Gpo-1	Mlc1	0.0123456790123457
Gpo-1	Gpdh	0.0123456790123457
Gpo-1	Ald	0.0123456790123457
Gpo-1	Act88F	0.0123456790123457
Galphas	Vha36-1	0.0123456790123457
Galphas	RpS6	0.0123456790123457
Galphas	EF2	0.0123456790123457
Galphas	Sam-S	0.0123456790123457
Galphas	ttm50	0.0123456790123457
Galphas	Oda	0.0123456790123457
Galphas	RpL26	0.0123456790123457
Galphas	RpS13	0.0123456790123457
Pdk1	CG15784	0.0123456790123457
Pdk1	CG9281	0.0123456790123457
Pdk1	Tcp-1zeta	0.0123456790123457
Pdk1	RpL18A	0.0123456790123457
Pdk1	mahj	0.0123456790123457
Pdk1	RpL28	0.0123456790123457
