gene1	gene	score
Irp-1A	Xport-A	0.111111111111111
Irp-1A	CG17999	0.111111111111111
Irp-1A	CG9083	0.111111111111111
Irp-1A	Tm2	0.111111111111111
Irp-1A	CG2025	0.111111111111111
Irp-1A	CG17290	0.111111111111111
Irp-1B	Fas2	0.111111111111111
l(1)G0156	Fadd	0.111111111111111
l(1)G0156	CG16947	0.111111111111111
l(1)G0156	UQCR-C2	0.111111111111111
l(1)G0156	Glt	0.111111111111111
l(1)G0156	Chc	0.111111111111111
l(1)G0156	OstDelta	0.111111111111111
l(1)G0156	boca	0.111111111111111
l(1)G0156	Tcp-1eta	0.111111111111111
l(1)G0156	CG10425	0.111111111111111
l(1)G0156	Karybeta3	0.111111111111111
l(1)G0156	CG31729	0.111111111111111
l(1)G0156	Rpt6	0.111111111111111
l(1)G0156	Ost48	0.111111111111111
l(1)G0156	vnd	0.111111111111111
l(1)G0156	atl	0.111111111111111
l(1)G0156	CG2064	0.111111111111111
l(1)G0156	Pi3K68D	0.111111111111111
l(1)G0156	CG3008	0.111111111111111
l(1)G0156	CG12262	0.111111111111111
l(1)G0156	CG8258	0.111111111111111
l(1)G0156	Tm2	0.111111111111111
l(1)G0156	Kap-alpha3	0.111111111111111
l(1)G0156	TER94	0.111111111111111
l(1)G0156	r	0.111111111111111
l(1)G0156	Sc2	0.111111111111111
l(1)G0156	PCB	0.111111111111111
l(1)G0156	CG4729	0.111111111111111
l(1)G0156	Sec63	0.111111111111111
l(1)G0156	betaCOP	0.111111111111111
l(1)G0156	Tapdelta	0.111111111111111
l(1)G0156	CG7834	0.111111111111111
l(1)G0156	Rab5	0.111111111111111
l(1)G0156	CG2065	0.111111111111111
l(1)G0156	ssp	0.111111111111111
l(1)G0156	CG12264	0.111111111111111
l(1)G0156	Cnx99A	0.111111111111111
l(1)G0156	Kr-h2	0.111111111111111
l(1)G0156	UQCR-6.4	0.111111111111111
l(1)G0156	SerRS	0.111111111111111
l(1)G0156	Sec61alpha	0.111111111111111
l(1)G0156	wal	0.111111111111111
l(1)G0156	Gp93	0.111111111111111
l(1)G0156	Tcp-1zeta	0.111111111111111
l(1)G0156	CG5525	0.111111111111111
l(1)G0156	Actn	0.111111111111111
l(1)G0156	Prm	0.111111111111111
l(1)G0156	Cyt-c1	0.111111111111111
l(1)G0156	RpLP0	0.111111111111111
l(1)G0156	Argk	0.111111111111111
l(1)G0156	MRP	0.111111111111111
l(1)G0156	SERCA	0.111111111111111
l(1)G0156	skap	0.111111111111111
l(1)G0156	Cyp12d1-p	0.111111111111111
l(1)G0156	Sucb	0.111111111111111
l(1)G0156	CG33303	0.111111111111111
l(1)G0156	Vps4	0.111111111111111
l(1)G0156	fax	0.111111111111111
l(1)G0156	RpS5a	0.111111111111111
l(1)G0156	Ranbp9	0.111111111111111
l(1)G0156	Past1	0.111111111111111
l(1)G0156	scf	0.111111111111111
l(1)G0156	Pih1D1	0.111111111111111
l(1)G0156	Nacalpha	0.111111111111111
l(1)G0156	CG5028	0.111111111111111
l(1)G0156	alpha-Spec	0.111111111111111
l(1)G0156	Gfat2	0.111111111111111
l(1)G0156	CG9467	0.111111111111111
l(1)G0156	CG5854	0.111111111111111
l(1)G0156	lic	0.111111111111111
l(1)G0156	Gp210	0.111111111111111
l(1)G0156	GluProRS	0.111111111111111
l(1)G0156	Cctgamma	0.111111111111111
l(1)G0156	EfTuM	0.111111111111111
l(1)G0156	RpS10b	0.111111111111111
l(1)G0156	CG1371	0.111111111111111
l(1)G0156	CG16817	0.111111111111111
l(1)G0156	bor	0.111111111111111
l(1)G0156	Pp2A-29B	0.111111111111111
l(1)G0156	Mpcp	0.111111111111111
l(1)G0156	Rpt1	0.111111111111111
l(1)G0156	fu	0.111111111111111
l(1)G0156	Spindly	0.111111111111111
SdhBL	CG13138	0.111111111111111
SdhBL	Mst89B	0.111111111111111
SdhBL	Cp38	0.111111111111111
SdhBL	CG3078	0.111111111111111
SdhBL	Sld5	0.111111111111111
SdhBL	CG15764	0.111111111111111
SdhC	Vps39	0.111111111111111
SdhA	Snap29	0.111111111111111
SdhA	stc	0.111111111111111
SdhA	CG15136	0.111111111111111
SdhA	CG14036	0.111111111111111
SdhA	atl	0.111111111111111
SdhA	Nha2	0.111111111111111
SdhA	CG7787	0.111111111111111
SdhA	MED6	0.111111111111111
SdhA	CG1532	0.111111111111111
SdhA	CG18789	0.111111111111111
SdhA	SdhB	0.111111111111111
SdhA	Ccs	0.111111111111111
SdhA	MtnA	0.111111111111111
SdhB	Gbs-70E	0.111111111111111
SdhB	CG9784	0.111111111111111
SdhB	Mob2	0.111111111111111
SdhB	Rbsn-5	0.111111111111111
SdhB	Uba4	0.111111111111111
SdhB	Mpcp	0.111111111111111
SdhB	Cpr47Ea	0.111111111111111
SdhB	CG7430	0.111111111111111
SdhB	CG42788	0.111111111111111
SdhB	CG9399	0.111111111111111
SdhB	MED9	0.111111111111111
SdhB	CG31156	0.111111111111111
SdhB	CG8360	0.111111111111111
SdhB	CG12126	0.111111111111111
SdhB	SdhA	0.111111111111111
SdhB	Frq2	0.111111111111111
Mdh1	CG33213	0.111111111111111
Mdh1	Lim1	0.111111111111111
Mdh1	CG14499	0.111111111111111
Mdh1	Zif	0.111111111111111
Mdh1	Pura	0.111111111111111
Mdh1	betaggt-II	0.111111111111111
Mdh1	CG9014	0.111111111111111
Mdh2	kdn	0.111111111111111
Mdh2	fabp	0.111111111111111
Mdh2	regucalcin	0.111111111111111
Mdh2	CG2852	0.111111111111111
Mdh2	smt3	0.111111111111111
Mdh2	cib	0.111111111111111
Mdh2	Pgd	0.111111111111111
Mdh2	PHGPx	0.111111111111111
Mdh2	Phb2	0.111111111111111
Mdh2	RpS15Ab	0.111111111111111
Mdh2	Adh	0.111111111111111
Mdh2	Actn	0.111111111111111
Mdh2	eEF1delta	0.111111111111111
Mdh2	CG32219	0.111111111111111
Mdh2	Mf	0.111111111111111
Mdh2	GstS1	0.111111111111111
Mdh2	CG5174	0.111111111111111
Mdh2	Scp1	0.111111111111111
Mdh2	Gdi	0.111111111111111
Mdh2	Mhc	0.111111111111111
Mdh2	Rtnl1	0.111111111111111
Mdh2	capt	0.111111111111111
Mdh2	Sh3beta	0.111111111111111
Mdh2	CG14715	0.111111111111111
Mdh2	Nlp	0.111111111111111
Mdh2	scu	0.111111111111111
Mdh2	Prx2540-2	0.111111111111111
Mdh2	TER94	0.111111111111111
Mdh2	Nacalpha	0.111111111111111
Mdh2	PCNA	0.111111111111111
Mdh2	ATPsynbeta	0.111111111111111
Mdh2	Tm2	0.111111111111111
Mdh2	Pgk	0.111111111111111
Mdh2	Akap200	0.111111111111111
Mdh2	Pglym78	0.111111111111111
Mdh2	Argk	0.111111111111111
Mdh2	CG3226	0.111111111111111
Mdh2	Eb1	0.111111111111111
Mdh2	EF2	0.111111111111111
Mdh2	CG1910	0.111111111111111
Mdh2	Prosbeta5	0.111111111111111
Mdh2	awd	0.111111111111111
Mdh2	Calr	0.111111111111111
Mdh2	betaTub85D	0.111111111111111
Mdh2	CG2862	0.111111111111111
Mdh2	Fkbp14	0.111111111111111
Mdh2	FK506-bp2	0.111111111111111
Mdh2	Inos	0.111111111111111
Mdh2	CG8036	0.111111111111111
Mdh2	Mlc2	0.111111111111111
Mdh2	HisRS	0.111111111111111
Mdh2	Idh	0.111111111111111
Mdh2	up	0.111111111111111
Mdh2	Hop	0.111111111111111
Mdh2	Bacc	0.111111111111111
Mdh2	HmgD	0.111111111111111
Mdh2	l(1)G0255	0.111111111111111
Mdh2	Fas2	0.111111111111111
Mdh2	CG10638	0.111111111111111
Mdh2	Chd64	0.111111111111111
Mdh2	Moe	0.111111111111111
Mdh2	Df31	0.111111111111111
Mdh2	CG6084	0.111111111111111
Mdh2	Gapdh1	0.111111111111111
Mdh2	CG11267	0.111111111111111
Mdh2	Acon	0.111111111111111
Mdh2	Rab11	0.111111111111111
Mdh2	Clic	0.111111111111111
Mdh2	CG34172	0.111111111111111
Mdh2	CG8993	0.111111111111111
Mdh2	ATPsynCF6	0.111111111111111
Mdh2	Mlc1	0.111111111111111
Mdh2	Pdi	0.111111111111111
Mdh2	Eno	0.111111111111111
Mdh2	EndoGI	0.111111111111111
Mdh2	Ald	0.111111111111111
Mdh2	Trx-2	0.111111111111111
Mdh2	CG4598	0.111111111111111
Mdh2	AnxB10	0.111111111111111
Mdh2	eIF-5A	0.111111111111111
Mdh2	Gpdh	0.111111111111111
Mdh2	Uch	0.111111111111111
Mdh2	yip2	0.111111111111111
Mdh2	RhoGDI	0.111111111111111
Mdh2	CG30382	0.111111111111111
Mdh2	Trxr-1	0.111111111111111
Mdh2	wupA	0.111111111111111
Mdh2	CG10863	0.111111111111111
Mdh2	GstE6	0.111111111111111
Mdh2	GstO3	0.111111111111111
atl	atl	0.0987654320987654
fu	Su(fu)	0.0864197530864198
fu	cos	0.0864197530864198
fu	ci	0.0740740740740741
fu	smo	0.0740740740740741
smt3	lwr	0.0740740740740741
Actn	Zasp52	0.0617283950617284
alpha-Spec	kst	0.0617283950617284
Rab11	Rip11	0.0617283950617284
Fadd	Dredd	0.0493827160493827
alpha-Spec	beta-Spec	0.0493827160493827
Sld5	Psf1	0.0493827160493827
