gene1	gene	score
Inos	capt	0.111111111111111
Inos	Sh3beta	0.111111111111111
Inos	Calr	0.111111111111111
Inos	awd	0.111111111111111
Inos	Akap200	0.111111111111111
Inos	TER94	0.111111111111111
Inos	smt3	0.111111111111111
Inos	Pgd	0.111111111111111
Inos	regucalcin	0.111111111111111
Inos	FK506-bp2	0.111111111111111
Inos	chic	0.111111111111111
Inos	flr	0.111111111111111
Inos	CG8888	0.111111111111111
Inos	CG5174	0.111111111111111
Inos	fabp	0.111111111111111
Inos	cnk	0.111111111111111
Inos	Hsc70Cb	0.111111111111111
Inos	CG11807	0.111111111111111
Inos	CG7430	0.111111111111111
Inos	Nacalpha	0.111111111111111
Inos	Bacc	0.111111111111111
Inos	scu	0.111111111111111
Inos	dod	0.111111111111111
Inos	CG8036	0.111111111111111
Inos	CG6084	0.111111111111111
Inos	cib	0.111111111111111
Inos	Df31	0.111111111111111
Inos	CG1910	0.111111111111111
Inos	Prx2540-2	0.111111111111111
Inos	Eb1	0.111111111111111
Inos	CG14715	0.111111111111111
Inos	Fim	0.111111111111111
Inos	Moe	0.111111111111111
Inos	CG32549	0.111111111111111
Inos	yki	0.111111111111111
Inos	EF2	0.111111111111111
Inos	Uch	0.111111111111111
Inos	CG2862	0.111111111111111
Inos	Spindly	0.111111111111111
Inos	PCNA	0.111111111111111
Inos	fax	0.111111111111111
Inos	CG6543	0.111111111111111
Inos	Pdi	0.111111111111111
Inos	yip2	0.111111111111111
Inos	CG10638	0.111111111111111
Inos	CG2852	0.111111111111111
Inos	PHGPx	0.111111111111111
Inos	RpS10b	0.111111111111111
Inos	Snx3	0.111111111111111
Inos	Eno	0.111111111111111
Inos	CG10420	0.111111111111111
Inos	EndoGI	0.111111111111111
Inos	CG5355	0.111111111111111
Inos	Chd64	0.111111111111111
Inos	Nlp	0.111111111111111
Inos	Mdh2	0.111111111111111
Inos	AnxB10	0.111111111111111
Inos	eEF1delta	0.111111111111111
Inos	eIF-5A	0.111111111111111
Inos	ft	0.111111111111111
Inos	CG8891	0.111111111111111
Inos	CG16817	0.111111111111111
Inos	Fkbp14	0.111111111111111
Inos	ds	0.111111111111111
Inos	scf	0.111111111111111
Inos	GstO3	0.111111111111111
Inos	Ald	0.111111111111111
Inos	CG4598	0.111111111111111
Inos	RhoGDI	0.111111111111111
yki	wts	0.111111111111111
yki	sd	0.0987654320987654
smt3	lwr	0.0740740740740741
yki	14-3-3zeta	0.0617283950617284
yki	14-3-3epsilon	0.0617283950617284
yki	ex	0.0493827160493827
Ald	Ald	0.0493827160493827
yki	Tgi	0.037037037037037
yki	Wbp2	0.037037037037037
yki	mop	0.037037037037037
yki	Ack	0.037037037037037
PCNA	PCNA	0.037037037037037
ft	dco	0.037037037037037
ft	ds	0.037037037037037
ds	ft	0.037037037037037
capt	chic	0.0246913580246914
capt	Act42A	0.0246913580246914
capt	Act5C	0.0246913580246914
awd	Vhl	0.0246913580246914
awd	awd	0.0246913580246914
TER94	Gint3	0.0246913580246914
TER94	Npl4	0.0246913580246914
smt3	Uba2	0.0246913580246914
chic	capt	0.0246913580246914
cnk	Raf	0.0246913580246914
cnk	ave	0.0246913580246914
Nacalpha	bic	0.0246913580246914
scu	rswl	0.0246913580246914
Eb1	Eb1	0.0246913580246914
Eb1	shot	0.0246913580246914
Eb1	ncd	0.0246913580246914
Moe	conu	0.0246913580246914
Moe	Mer	0.0246913580246914
yki	Tab2	0.0246913580246914
yki	tai	0.0246913580246914
yki	Mad	0.0246913580246914
yki	mask	0.0246913580246914
yki	hpo	0.0246913580246914
yki	brm	0.0246913580246914
EF2	imd	0.0246913580246914
Spindly	Pp1-87B	0.0246913580246914
PCNA	dap	0.0246913580246914
fax	Snr1	0.0246913580246914
Eno	Cyp1	0.0246913580246914
Eno	Trxr-1	0.0246913580246914
Nlp	Nph	0.0246913580246914
Nlp	Nlp	0.0246913580246914
Nlp	His3:CG31613	0.0246913580246914
Nlp	His2B:CG17949	0.0246913580246914
Nlp	His2A:CG31618	0.0246913580246914
Nlp	His4:CG31611	0.0246913580246914
Nlp	ProtA	0.0246913580246914
ft	CG10933	0.0246913580246914
ft	Gug	0.0246913580246914
ft	ds	0.0246913580246914
ft	lft	0.0246913580246914
ft	fj	0.0246913580246914
ds	CG10933	0.0246913580246914
ds	lft	0.0246913580246914
ds	ft	0.0246913580246914
ds	pk	0.0246913580246914
ds	fj	0.0246913580246914
capt	eIF-4B	0.0123456790123457
capt	Nacalpha	0.0123456790123457
capt	Prx2540-2	0.0123456790123457
capt	Ntf-2	0.0123456790123457
capt	CG5174	0.0123456790123457
capt	CG8036	0.0123456790123457
capt	RpL28	0.0123456790123457
capt	Fim	0.0123456790123457
capt	loqs	0.0123456790123457
capt	TER94	0.0123456790123457
capt	FK506-bp2	0.0123456790123457
capt	Bacc	0.0123456790123457
capt	CG16817	0.0123456790123457
capt	scu	0.0123456790123457
capt	Pgd	0.0123456790123457
capt	CG1910	0.0123456790123457
capt	Uch	0.0123456790123457
capt	EndoGI	0.0123456790123457
capt	yip2	0.0123456790123457
capt	Inos	0.0123456790123457
capt	CG6084	0.0123456790123457
capt	CG2862	0.0123456790123457
capt	Ald	0.0123456790123457
capt	Sh3beta	0.0123456790123457
capt	CG30382	0.0123456790123457
capt	Moe	0.0123456790123457
capt	ft	0.0123456790123457
capt	Hop	0.0123456790123457
capt	Men	0.0123456790123457
capt	Fkbp14	0.0123456790123457
capt	Act57B	0.0123456790123457
capt	EF2	0.0123456790123457
capt	ptc	0.0123456790123457
capt	scf	0.0123456790123457
capt	CG10638	0.0123456790123457
capt	awd	0.0123456790123457
capt	Akap200	0.0123456790123457
capt	Eb1	0.0123456790123457
capt	Mdh2	0.0123456790123457
capt	CG17124	0.0123456790123457
capt	AnxB10	0.0123456790123457
capt	fabp	0.0123456790123457
capt	PCNA	0.0123456790123457
capt	Gdi	0.0123456790123457
capt	Calr	0.0123456790123457
capt	dUTPase	0.0123456790123457
capt	cib	0.0123456790123457
capt	Nsun2	0.0123456790123457
capt	CG14715	0.0123456790123457
capt	Chd64	0.0123456790123457
capt	GstE6	0.0123456790123457
capt	GstO3	0.0123456790123457
capt	Ef1gamma	0.0123456790123457
capt	CG4598	0.0123456790123457
capt	Abl	0.0123456790123457
capt	eEF1delta	0.0123456790123457
capt	CG17337	0.0123456790123457
capt	regucalcin	0.0123456790123457
capt	smt3	0.0123456790123457
capt	eIF-5A	0.0123456790123457
capt	PHGPx	0.0123456790123457
capt	fax	0.0123456790123457
capt	CG6543	0.0123456790123457
capt	Df31	0.0123456790123457
capt	Pdi	0.0123456790123457
capt	Eno	0.0123456790123457
capt	Picot	0.0123456790123457
capt	CG8173	0.0123456790123457
capt	Nlp	0.0123456790123457
capt	CG2852	0.0123456790123457
capt	Gip	0.0123456790123457
capt	RhoGDI	0.0123456790123457
Sh3beta	capt	0.0123456790123457
