gene1	gene	score
Nc73EF	CycG	0.111111111111111
Nc73EF	Adh	0.111111111111111
Nc73EF	CG13085	0.111111111111111
Nc73EF	CG17450	0.111111111111111
Nc73EF	Acon	0.111111111111111
Nc73EF	Cyt-c1	0.111111111111111
Nc73EF	CG32819	0.111111111111111
Nc73EF	Mf	0.111111111111111
Nc73EF	up	0.111111111111111
Nc73EF	Mlc2	0.111111111111111
Nc73EF	CG10075	0.111111111111111
Nc73EF	CG4328	0.111111111111111
Nc73EF	CG9090	0.111111111111111
Nc73EF	sima	0.111111111111111
Nc73EF	Scp1	0.111111111111111
Nc73EF	CG2025	0.111111111111111
Nc73EF	her	0.111111111111111
Nc73EF	Gdh	0.111111111111111
Nc73EF	osk	0.111111111111111
Nc73EF	Actn	0.111111111111111
Nc73EF	Tm2	0.111111111111111
Nc73EF	Gpdh	0.111111111111111
Nc73EF	wupA	0.111111111111111
Nc73EF	ND-PDSW	0.111111111111111
Nc73EF	Akt1	0.111111111111111
Actn	Zasp52	0.0617283950617284
CycG	wdb	0.0493827160493827
CG13085	SkpA	0.037037037037037
CycG	Cdk4	0.0246913580246914
CycG	Cdk2	0.0246913580246914
sima	ERR	0.0246913580246914
sima	tgo	0.0246913580246914
Actn	Zasp66	0.0246913580246914
Gpdh	Pglym78	0.0246913580246914
wupA	Argk	0.0246913580246914
Akt1	wdb	0.0246913580246914
CycG	heph	0.0123456790123457
CycG	EcR	0.0123456790123457
CycG	CG16892	0.0123456790123457
CycG	Nc73EF	0.0123456790123457
CycG	TBCC	0.0123456790123457
CycG	SP2637	0.0123456790123457
CycG	dap	0.0123456790123457
CycG	CG13900	0.0123456790123457
CycG	Vm26Ab	0.0123456790123457
CycG	dx	0.0123456790123457
CycG	CG10209	0.0123456790123457
CycG	CG12723	0.0123456790123457
CycG	CG43894	0.0123456790123457
CycG	Pp2A-29B	0.0123456790123457
CycG	CycC	0.0123456790123457
CycG	EF2	0.0123456790123457
CycG	RpL13A	0.0123456790123457
CycG	E5	0.0123456790123457
CycG	RASSF8	0.0123456790123457
CycG	Asator	0.0123456790123457
CycG	stumps	0.0123456790123457
CycG	CG15043	0.0123456790123457
CycG	CG13625	0.0123456790123457
CycG	Brca2	0.0123456790123457
CycG	ena	0.0123456790123457
CycG	Rbp6	0.0123456790123457
CycG	Usp2	0.0123456790123457
CycG	rev7	0.0123456790123457
CycG	sta	0.0123456790123457
CycG	CG31204	0.0123456790123457
CycG	CG3499	0.0123456790123457
CycG	CG8128	0.0123456790123457
CycG	tzn	0.0123456790123457
CycG	Sox21b	0.0123456790123457
CycG	Dfd	0.0123456790123457
CycG	SkpB	0.0123456790123457
CycG	Cul2	0.0123456790123457
CycG	CG9426	0.0123456790123457
CycG	Mad	0.0123456790123457
CycG	MED15	0.0123456790123457
CycG	BCAS2	0.0123456790123457
CycG	Ccp84Ab	0.0123456790123457
CycG	H	0.0123456790123457
CycG	CG3552	0.0123456790123457
CycG	Npl4	0.0123456790123457
CycG	Asx	0.0123456790123457
CycG	CBP	0.0123456790123457
CycG	CG5708	0.0123456790123457
CycG	plu	0.0123456790123457
CycG	CG11486	0.0123456790123457
CycG	pan	0.0123456790123457
CycG	Lim1	0.0123456790123457
CycG	CG10139	0.0123456790123457
CycG	CG13806	0.0123456790123457
CycG	Mer	0.0123456790123457
CycG	mts	0.0123456790123457
CycG	CycK	0.0123456790123457
CycG	CG18278	0.0123456790123457
CycG	bcd	0.0123456790123457
CycG	CG5003	0.0123456790123457
CycG	mRpS30	0.0123456790123457
CycG	Ccp84Aa	0.0123456790123457
CycG	SAK	0.0123456790123457
CycG	Pglym78	0.0123456790123457
CycG	RpL5	0.0123456790123457
CycG	CG18745	0.0123456790123457
CycG	CenG1A	0.0123456790123457
CycG	spn-A	0.0123456790123457
CycG	Rad9	0.0123456790123457
CycG	Np	0.0123456790123457
CycG	l(2)efl	0.0123456790123457
CycG	PP2A-B'	0.0123456790123457
CycG	26-29-p	0.0123456790123457
CycG	Tengl3	0.0123456790123457
CycG	CG30059	0.0123456790123457
CycG	Cdk1	0.0123456790123457
CycG	Ufl1	0.0123456790123457
CycG	Neto	0.0123456790123457
CycG	PHDP	0.0123456790123457
CycG	CG9184	0.0123456790123457
CycG	abd-A	0.0123456790123457
CycG	Csk	0.0123456790123457
CycG	CG5151	0.0123456790123457
CycG	gus	0.0123456790123457
CycG	corto	0.0123456790123457
CycG	CG13510	0.0123456790123457
CycG	unc-13-4A	0.0123456790123457
CycG	Stam	0.0123456790123457
CycG	fry	0.0123456790123457
Adh	Mf	0.0123456790123457
Adh	Lsp2	0.0123456790123457
Adh	Nplp2	0.0123456790123457
Adh	Adh	0.0123456790123457
Adh	up	0.0123456790123457
Adh	Cyt-c1	0.0123456790123457
Adh	Mlc2	0.0123456790123457
Adh	Rtnl1	0.0123456790123457
Adh	kdn	0.0123456790123457
Adh	apolpp	0.0123456790123457
Adh	CG42709	0.0123456790123457
Adh	ovo	0.0123456790123457
Adh	CG31343	0.0123456790123457
Adh	Nc73EF	0.0123456790123457
Adh	Cyt-c-p	0.0123456790123457
Adh	Pgk	0.0123456790123457
Adh	Mlc1	0.0123456790123457
Adh	CG5500	0.0123456790123457
Adh	Gpdh	0.0123456790123457
Adh	Eno	0.0123456790123457
Adh	wupA	0.0123456790123457
Adh	Fer2LCH	0.0123456790123457
