gene1	gene	score
HIPP1	Su(var)205	0.222222222222222
HIPP1	su(Hw)	0.222222222222222
Su(var)205	cav	0.222222222222222
Su(var)205	His3:CG31613	0.197530864197531
su(Hw)	Cp190	0.197530864197531
Su(var)205	Lhr	0.148148148148148
Su(var)205	Su(var)3-9	0.123456790123457
HIPP1	HP6	0.111111111111111
HIPP1	Ibf1	0.111111111111111
HIPP1	CAP	0.111111111111111
HIPP1	CTCF	0.111111111111111
HIPP1	CG1910	0.111111111111111
HIPP1	pita	0.111111111111111
HIPP1	Cp38	0.111111111111111
HIPP1	Ibf2	0.111111111111111
HIPP1	Su(var)205	0.111111111111111
HIPP1	pds5	0.111111111111111
HIPP1	CG10265	0.111111111111111
HIPP1	Cp190	0.111111111111111
HIPP1	mod(mdg4)	0.111111111111111
HIPP1	mip120	0.111111111111111
HIPP1	CG2118	0.111111111111111
HIPP1	ADD1	0.111111111111111
Cp190	mod(mdg4)	0.111111111111111
mod(mdg4)	Cp190	0.111111111111111
Su(var)205	Su(var)2-HP2	0.0987654320987654
Cp190	su(Hw)	0.0987654320987654
CTCF	Cp190	0.0864197530864198
Cp190	CTCF	0.0864197530864198
Su(var)205	Caf1-180	0.0740740740740741
Su(var)205	piwi	0.0740740740740741
Su(var)205	Su(var)205	0.0740740740740741
Su(var)205	CG7357	0.0740740740740741
Su(var)205	Hmr	0.0740740740740741
Su(var)205	HP5	0.0740740740740741
Cp190	Map60	0.0617283950617284
Su(var)205	HP4	0.0493827160493827
Su(var)205	Su(var)3-9	0.0493827160493827
Su(var)205	Stat92E	0.0493827160493827
Su(var)205	HIPP1	0.0493827160493827
Su(var)205	SuUR	0.0493827160493827
Su(var)205	Su(var)3-3	0.0493827160493827
Su(var)205	Kdm4A	0.0493827160493827
Su(var)205	E(z)	0.0493827160493827
Su(var)205	Mcm10	0.0493827160493827
Su(var)205	XNP	0.0493827160493827
Su(var)205	egg	0.0493827160493827
Su(var)205	HipHop	0.0493827160493827
Su(var)205	Su(var)3-7	0.0493827160493827
Su(var)205	His1:CG31617	0.0493827160493827
su(Hw)	HIPP1	0.0493827160493827
HP6	Lhr	0.037037037037037
Ibf1	Ibf2	0.037037037037037
Ibf2	Ibf1	0.037037037037037
mod(mdg4)	mod(mdg4)	0.037037037037037
mip120	mip130	0.037037037037037
mip120	Myb	0.037037037037037
Su(var)205	CG30101	0.0246913580246914
Su(var)205	rictor	0.0246913580246914
Su(var)205	Orc5	0.0246913580246914
Su(var)205	CG43736	0.0246913580246914
Su(var)205	Ssrp	0.0246913580246914
Su(var)205	mu2	0.0246913580246914
Su(var)205	CG7692	0.0246913580246914
Su(var)205	HP1c	0.0246913580246914
Su(var)205	HIPP1	0.0246913580246914
Su(var)205	SMC5	0.0246913580246914
Su(var)205	Su(var)2-10	0.0246913580246914
Su(var)205	CG1815	0.0246913580246914
Su(var)205	CAP	0.0246913580246914
Su(var)205	sle	0.0246913580246914
Su(var)205	qin	0.0246913580246914
Su(var)205	Su(z)12	0.0246913580246914
Su(var)205	SMARCA4	0.0246913580246914
Su(var)205	CG15293	0.0246913580246914
Su(var)205	rho-4	0.0246913580246914
Su(var)205	CG15356	0.0246913580246914
Su(var)205	dre4	0.0246913580246914
Su(var)205	Alh	0.0246913580246914
Su(var)205	Rrp6	0.0246913580246914
Su(var)205	woc	0.0246913580246914
Su(var)205	ADD1	0.0246913580246914
Su(var)205	eIF-2gamma	0.0246913580246914
Su(var)205	HP6	0.0246913580246914
Su(var)205	CG30403	0.0246913580246914
Su(var)205	HP4	0.0246913580246914
Su(var)205	qjt	0.0246913580246914
Su(var)205	CG8108	0.0246913580246914
Su(var)205	CG15109	0.0246913580246914
Su(var)205	Ndc80	0.0246913580246914
Su(var)205	Mt2	0.0246913580246914
Su(var)205	NSD	0.0246913580246914
Su(var)205	l(3)j2D3	0.0246913580246914
Su(var)205	Lpt	0.0246913580246914
Su(var)205	CG44247	0.0246913580246914
Su(var)205	ey	0.0246913580246914
Su(var)205	CG11474	0.0246913580246914
Su(var)205	moi	0.0246913580246914
Su(var)205	HP5	0.0246913580246914
Su(var)205	Sse	0.0246913580246914
Su(var)205	vtd	0.0246913580246914
Su(var)205	RpL22-like	0.0246913580246914
Su(var)205	HP1b	0.0246913580246914
Su(var)205	bon	0.0246913580246914
Su(var)205	His2Av	0.0246913580246914
Su(var)205	cuff	0.0246913580246914
Su(var)205	E(var)3-9	0.0246913580246914
Su(var)205	CG1737	0.0246913580246914
Su(var)205	jnj	0.0246913580246914
Su(var)205	CG14438	0.0246913580246914
Su(var)205	Hers	0.0246913580246914
Su(var)205	Yeti	0.0246913580246914
Su(var)205	Jra	0.0246913580246914
Su(var)205	CG30007	0.0246913580246914
Su(var)205	Orc6	0.0246913580246914
Su(var)205	Atf-2	0.0246913580246914
Su(var)205	Atg8a	0.0246913580246914
Su(var)205	borr	0.0246913580246914
Su(var)205	grk	0.0246913580246914
Su(var)205	Pc	0.0246913580246914
Su(var)205	ver	0.0246913580246914
Su(var)205	Mau2	0.0246913580246914
Su(var)205	Nipped-B	0.0246913580246914
Su(var)205	SMC1	0.0246913580246914
Su(var)205	Incenp	0.0246913580246914
Su(var)205	Orc2	0.0246913580246914
su(Hw)	Sec10	0.0246913580246914
su(Hw)	Xrcc2	0.0246913580246914
su(Hw)	Ssu72	0.0246913580246914
su(Hw)	Mer	0.0246913580246914
su(Hw)	Topors	0.0246913580246914
su(Hw)	Mfe2	0.0246913580246914
su(Hw)	e(y)2	0.0246913580246914
su(Hw)	dsh	0.0246913580246914
su(Hw)	toy	0.0246913580246914
