gene	node_type
ACCOAS	gene
ACCOAS	PPI
CG2025	PPI
SLMB	PPI
VAMP7	PPI
SKPA	PPI
SAK	PPI
CI	PPI
CUL1	PPI
SNAP29	PPI
SYX17	PPI
VRI	PPI
EX	PPI
ROC1A	PPI
PER	PPI
SYX1A	PPI
RME-8	PPI
IDGF4	PPI
CG12512	PPI
VHASFD	PPI
TRAP1	PPI
HSC70-5	PPI
CLU	PPI
NC73EF	PPI
LON	PPI
CG8036	PPI
14-3-3EPSILON	PPI
CG4538	PPI
CG6439	PPI
CG2118	PPI
SPN42DA	PPI
ARPC3B	PPI
CG3011	PPI
PGK	PPI
HSP60C	PPI
GDI	PPI
CG9331	PPI
SRPK	PPI
GSTE12	PPI
L(2)TID	PPI
CG3267	PPI
D2HGDH	PPI
R	PPI
FIM	PPI
MYO31DF	PPI
14-3-3ZETA	PPI
GSTE3	PPI
FABP	PPI
UQCR-C1	PPI
CYP12A5	PPI
CYP12A4	PPI
MOE	PPI
DPY	PPI
CG7322	PPI
CG3609	PPI
CG17597	PPI
ACT42A	PPI
FK506-BP2	PPI
LMPT	PPI
CG5538	PPI
BOR	PPI
ACT87E	PPI
LMANVI	PPI
IRP-1A	PPI
HSP70BBB	PPI
GDH	PPI
REG-2	PPI
BETATUB60D	PPI
TUN	PPI
RPS27A	PPI
GPDH	PPI
ROE1	PPI
CG5177	PPI
CG9914	PPI
EFTUM	PPI
SKPB	PPI
ANCE-4	PPI
ACHI	PPI
TEH4	PPI
TARA	PPI
DYS	PPI
LETM1	PPI
CG8223	PPI
TIM	PPI
RDGB	PPI
TER94	PPI
CG17162	PPI
MBS	PPI
NORPA	PPI
PCB	PPI
PAK	PPI
SU(TPL)	PPI
SEC10	PPI
PAR-1	PPI
PLP	PPI
E2F2	PPI
CG10933	PPI
BLIMP-1	PPI
E2F1	PPI
TWEEK	PPI
DCO	PPI
CG8206	PPI
FER1HCH	PPI
PPV	PPI
CG16953	PPI
EIF3-S10	PPI
AKT1	PPI
HIPK	PPI
HRD3	PPI
PDCD4	PPI
CG43902	PPI
CG17108	PPI
MORGUE	PPI
NERFIN-1	PPI
ATPSYNC	PPI
TOU	PPI
IA-2	PPI
CHC	PPI
GCM	PPI
CG17159	PPI
VPU	PPI
CG32219	PPI
CG7407	PPI
CG13088	PPI
EN	PPI
DBR	PPI
CAP-H2	PPI
ECR	PPI
DS	PPI
E(SPL)M8-HLH	PPI
SKPC	PPI
DEBCL	PPI
CG10543	PPI
SLH	PPI
SYX7	PPI
GOS28	PPI
SNAP25	PPI
LAP	PPI
TAF1	PPI
CTCF	PPI
VINC	PPI
L(1)G0193	PPI
SREBP	PPI
SEC22	PPI
YKT6	PPI
SYX13	PPI
SYX18	PPI
CHN	PPI
ZORMIN	PPI
SBF	PPI
IDH	PPI
KST	PPI
RPN9	PPI
CG9426	PPI
G	PPI
CG34376	PPI
SYX8	PPI
SYX5	PPI
BET1	PPI
VTI1A	PPI
NSF2	PPI
SYX4	PPI
MEMBRIN	PPI
ALPHASNAP	PPI
CG4294	PPI
CG2023	PPI
GAMMASNAP1	PPI
KOKO	PPI
USE1	PPI
CG17124	PPI
CG3797	PPI
SYX16	PPI
WOC	PPI
MESR4	PPI
RAB21	PPI
GAMMASNAP2	PPI
SNAP24	PPI
SYB	PPI
