gene1	gene	score
Mdh1	CG33213	0.111111111111111
Mdh1	Lim1	0.111111111111111
Mdh1	CG14499	0.111111111111111
Mdh1	Zif	0.111111111111111
Mdh1	Pura	0.111111111111111
Mdh1	betaggt-II	0.111111111111111
Mdh1	CG9014	0.111111111111111
Mdh2	kdn	0.111111111111111
Mdh2	fabp	0.111111111111111
Mdh2	regucalcin	0.111111111111111
Mdh2	CG2852	0.111111111111111
Mdh2	smt3	0.111111111111111
Mdh2	cib	0.111111111111111
Mdh2	Pgd	0.111111111111111
Mdh2	PHGPx	0.111111111111111
Mdh2	Phb2	0.111111111111111
Mdh2	RpS15Ab	0.111111111111111
Mdh2	Adh	0.111111111111111
Mdh2	Actn	0.111111111111111
Mdh2	eEF1delta	0.111111111111111
Mdh2	CG32219	0.111111111111111
Mdh2	Mf	0.111111111111111
Mdh2	GstS1	0.111111111111111
Mdh2	CG5174	0.111111111111111
Mdh2	Scp1	0.111111111111111
Mdh2	Gdi	0.111111111111111
Mdh2	Mhc	0.111111111111111
Mdh2	Rtnl1	0.111111111111111
Mdh2	capt	0.111111111111111
Mdh2	Sh3beta	0.111111111111111
Mdh2	CG14715	0.111111111111111
Mdh2	Nlp	0.111111111111111
Mdh2	scu	0.111111111111111
Mdh2	Prx2540-2	0.111111111111111
Mdh2	TER94	0.111111111111111
Mdh2	Nacalpha	0.111111111111111
Mdh2	PCNA	0.111111111111111
Mdh2	ATPsynbeta	0.111111111111111
Mdh2	Tm2	0.111111111111111
Mdh2	Pgk	0.111111111111111
Mdh2	Akap200	0.111111111111111
Mdh2	Pglym78	0.111111111111111
Mdh2	Argk	0.111111111111111
Mdh2	CG3226	0.111111111111111
Mdh2	Eb1	0.111111111111111
Mdh2	EF2	0.111111111111111
Mdh2	CG1910	0.111111111111111
Mdh2	Prosbeta5	0.111111111111111
Mdh2	awd	0.111111111111111
Mdh2	Calr	0.111111111111111
Mdh2	betaTub85D	0.111111111111111
Mdh2	CG2862	0.111111111111111
Mdh2	Fkbp14	0.111111111111111
Mdh2	FK506-bp2	0.111111111111111
Mdh2	Inos	0.111111111111111
Mdh2	CG8036	0.111111111111111
Mdh2	Mlc2	0.111111111111111
Mdh2	HisRS	0.111111111111111
Mdh2	Idh	0.111111111111111
Mdh2	up	0.111111111111111
Mdh2	Hop	0.111111111111111
Mdh2	Bacc	0.111111111111111
Mdh2	HmgD	0.111111111111111
Mdh2	l(1)G0255	0.111111111111111
Mdh2	Fas2	0.111111111111111
Mdh2	CG10638	0.111111111111111
Mdh2	Chd64	0.111111111111111
Mdh2	Moe	0.111111111111111
Mdh2	Df31	0.111111111111111
Mdh2	CG6084	0.111111111111111
Mdh2	Gapdh1	0.111111111111111
Mdh2	CG11267	0.111111111111111
Mdh2	Acon	0.111111111111111
Mdh2	Rab11	0.111111111111111
Mdh2	Clic	0.111111111111111
Mdh2	CG34172	0.111111111111111
Mdh2	CG8993	0.111111111111111
Mdh2	ATPsynCF6	0.111111111111111
Mdh2	Mlc1	0.111111111111111
Mdh2	Pdi	0.111111111111111
Mdh2	Eno	0.111111111111111
Mdh2	EndoGI	0.111111111111111
Mdh2	Ald	0.111111111111111
Mdh2	Trx-2	0.111111111111111
Mdh2	CG4598	0.111111111111111
Mdh2	AnxB10	0.111111111111111
Mdh2	eIF-5A	0.111111111111111
Mdh2	Gpdh	0.111111111111111
Mdh2	Uch	0.111111111111111
Mdh2	yip2	0.111111111111111
Mdh2	RhoGDI	0.111111111111111
Mdh2	CG30382	0.111111111111111
Mdh2	Trxr-1	0.111111111111111
Mdh2	wupA	0.111111111111111
Mdh2	CG10863	0.111111111111111
Mdh2	GstE6	0.111111111111111
Mdh2	GstO3	0.111111111111111
Got1	CG1218	0.111111111111111
Got1	CG7049	0.111111111111111
Got1	CG11777	0.111111111111111
Got1	Rae1	0.111111111111111
Got1	CG18789	0.111111111111111
Got1	Treh	0.111111111111111
Got1	Art8	0.111111111111111
Got1	BthD	0.111111111111111
Got1	CG18787	0.111111111111111
Got1	RpS21	0.111111111111111
Got1	Trx-2	0.111111111111111
Got1	CG1532	0.111111111111111
Got1	Sod1	0.111111111111111
Got1	Arc1	0.111111111111111
Got1	alpha-Est2	0.111111111111111
Got1	Ccs	0.111111111111111
Got1	Wdr82	0.111111111111111
Got1	sty	0.111111111111111
Got1	CG1129	0.111111111111111
Got1	CG7492	0.111111111111111
Got2	Cpr65Ea	0.111111111111111
Got2	Rtnl1	0.111111111111111
Got2	CG4998	0.111111111111111
Got2	CG14806	0.111111111111111
Got2	Nup93-1	0.111111111111111
Got2	Sap47	0.111111111111111
smt3	lwr	0.0740740740740741
Actn	Zasp52	0.0617283950617284
Rab11	Rip11	0.0617283950617284
Rab11	nuf	0.0493827160493827
Ald	Ald	0.0493827160493827
betaggt-II	CG12007	0.037037037037037
PCNA	PCNA	0.037037037037037
Rab11	Sec5	0.037037037037037
betaggt-II	temp	0.0246913580246914
smt3	Uba2	0.0246913580246914
Actn	Zasp66	0.0246913580246914
GstS1	GstS1	0.0246913580246914
GstS1	Tm1	0.0246913580246914
Gdi	Rab5	0.0246913580246914
Gdi	Rab35	0.0246913580246914
Gdi	Rab11	0.0246913580246914
Gdi	Rab7	0.0246913580246914
Mhc	fln	0.0246913580246914
capt	chic	0.0246913580246914
capt	Act42A	0.0246913580246914
capt	Act5C	0.0246913580246914
Nlp	Nph	0.0246913580246914
Nlp	Nlp	0.0246913580246914
Nlp	His3:CG31613	0.0246913580246914
Nlp	His2B:CG17949	0.0246913580246914
Nlp	His2A:CG31618	0.0246913580246914
Nlp	His4:CG31611	0.0246913580246914
Nlp	ProtA	0.0246913580246914
scu	rswl	0.0246913580246914
TER94	Gint3	0.0246913580246914
TER94	Npl4	0.0246913580246914
Nacalpha	bic	0.0246913580246914
PCNA	dap	0.0246913580246914
ATPsynbeta	blw	0.0246913580246914
ATPsynbeta	ATPsyndelta	0.0246913580246914
ATPsynbeta	ATPsynCF6	0.0246913580246914
ATPsynbeta	ATPsynO	0.0246913580246914
Pglym78	Gpdh	0.0246913580246914
Argk	wupA	0.0246913580246914
Eb1	Eb1	0.0246913580246914
Eb1	shot	0.0246913580246914
Eb1	ncd	0.0246913580246914
EF2	imd	0.0246913580246914
Prosbeta5	Prosbeta3	0.0246913580246914
Prosbeta5	Rpn11	0.0246913580246914
Prosbeta5	Prosbeta4	0.0246913580246914
Prosbeta5	Prosbeta7	0.0246913580246914
Prosbeta5	Prosalpha2	0.0246913580246914
Prosbeta5	Prosalpha6	0.0246913580246914
Prosbeta5	Prosalpha4	0.0246913580246914
awd	Vhl	0.0246913580246914
awd	awd	0.0246913580246914
Hop	Hsp83	0.0246913580246914
Moe	conu	0.0246913580246914
Moe	Mer	0.0246913580246914
Rab11	Gdi	0.0246913580246914
Rab11	didum	0.0246913580246914
Rab11	sau	0.0246913580246914
CG8993	Mad	0.0246913580246914
ATPsynCF6	blw	0.0246913580246914
ATPsynCF6	ATPsynE	0.0246913580246914
ATPsynCF6	ATPsynF	0.0246913580246914
ATPsynCF6	ATPsyndelta	0.0246913580246914
ATPsynCF6	ATPsynB	0.0246913580246914
ATPsynCF6	ATPsynD	0.0246913580246914
ATPsynCF6	ATPsynbeta	0.0246913580246914
ATPsynCF6	ATPsynO	0.0246913580246914
ATPsynCF6	sun	0.0246913580246914
ATPsynCF6	ATPsynG	0.0246913580246914
Eno	Cyp1	0.0246913580246914
Eno	Trxr-1	0.0246913580246914
Gpdh	Pglym78	0.0246913580246914
Trxr-1	Eno	0.0246913580246914
wupA	Argk	0.0246913580246914
Rae1	Nup98-96	0.0246913580246914
Sod1	Dredd	0.0246913580246914
Wdr82	su(sable)	0.0246913580246914
sty	CG13731	0.0246913580246914
sty	drk	0.0246913580246914
Nup93-1	didum	0.0246913580246914
CG33213	CG43143	0.0123456790123457
CG33213	term	0.0123456790123457
CG33213	Cpr64Ad	0.0123456790123457
CG33213	Cpr	0.0123456790123457
CG33213	CG6398	0.0123456790123457
CG33213	Csat	0.0123456790123457
CG33213	pxb	0.0123456790123457
CG33213	ctp	0.0123456790123457
CG33213	Cdlc2	0.0123456790123457
CG33213	alt	0.0123456790123457
CG33213	Mdh1	0.0123456790123457
CG33213	CG33970	0.0123456790123457
CG33213	CG12661	0.0123456790123457
CG33213	CG17440	0.0123456790123457
CG33213	CG4788	0.0123456790123457
CG33213	CG34404	0.0123456790123457
CG33213	RpL3	0.0123456790123457
Lim1	Chi	0.0123456790123457
Lim1	sol	0.0123456790123457
Lim1	Slip1	0.0123456790123457
Lim1	CG11696	0.0123456790123457
Lim1	CG12736	0.0123456790123457
Lim1	betaTub56D	0.0123456790123457
Lim1	CG31108	0.0123456790123457
Lim1	Hsp27	0.0123456790123457
Lim1	CG15631	0.0123456790123457
Lim1	CG7470	0.0123456790123457
Lim1	CycG	0.0123456790123457
Lim1	CkIIbeta	0.0123456790123457
Lim1	CG15436	0.0123456790123457
Lim1	CG3294	0.0123456790123457
Lim1	CG5516	0.0123456790123457
Lim1	Hakai	0.0123456790123457
Lim1	sage	0.0123456790123457
Lim1	OS9	0.0123456790123457
Lim1	ci	0.0123456790123457
Lim1	Mdh1	0.0123456790123457
Lim1	CG10395	0.0123456790123457
Lim1	RpS27	0.0123456790123457
Lim1	Rpp20	0.0123456790123457
Lim1	CG33932	0.0123456790123457
Lim1	CG2129	0.0123456790123457
CG14499	CG9425	0.0123456790123457
CG14499	CG11164	0.0123456790123457
CG14499	S6KL	0.0123456790123457
CG14499	CG12546	0.0123456790123457
CG14499	dpn	0.0123456790123457
CG14499	RpL3	0.0123456790123457
CG14499	Sesn	0.0123456790123457
CG14499	Mob2	0.0123456790123457
CG14499	Mdh1	0.0123456790123457
CG14499	eIF-4a	0.0123456790123457
CG14499	RpLP1	0.0123456790123457
Zif	sol	0.0123456790123457
Zif	Zif	0.0123456790123457
Zif	Pura	0.0123456790123457
Zif	Hakai	0.0123456790123457
Zif	Tab2	0.0123456790123457
Zif	Dll	0.0123456790123457
Zif	cad	0.0123456790123457
Zif	CG4957	0.0123456790123457
Zif	CG15436	0.0123456790123457
Zif	Eip71CD	0.0123456790123457
Zif	chm	0.0123456790123457
Zif	Mdh1	0.0123456790123457
Zif	CG7386	0.0123456790123457
Zif	CG14540	0.0123456790123457
Zif	RpS15Aa	0.0123456790123457
Zif	Snr1	0.0123456790123457
Zif	CG12379	0.0123456790123457
Zif	TM9SF2	0.0123456790123457
Pura	Zif	0.0123456790123457
Pura	RpS14a	0.0123456790123457
Pura	CG11076	0.0123456790123457
Pura	galectin	0.0123456790123457
Pura	Sfmbt	0.0123456790123457
Pura	mad2	0.0123456790123457
Pura	CG43143	0.0123456790123457
Pura	Nnf1a	0.0123456790123457
Pura	CG17744	0.0123456790123457
Pura	CG13741	0.0123456790123457
Pura	rux	0.0123456790123457
Pura	Cul2	0.0123456790123457
Pura	eIF-4a	0.0123456790123457
Pura	Mdh1	0.0123456790123457
Pura	bsk	0.0123456790123457
Pura	Rac1	0.0123456790123457
