gene	node_type
PLE	gene
SKELETOR	gene
OLF413	gene
DMEL\CG5235	gene
DDC	gene
PLE	PPI
SKELETOR	PPI
OLF413	PPI
DMEL\CG5235	PPI
DDC	PPI
CG14684	PPI
MED19	PPI
S6KL	PPI
NUP107	PPI
SDC	PPI
PLAP	PPI
HB	PPI
MEI-S332	PPI
PRP3	PPI
SMG	PPI
CG5112	PPI
CG11380	PPI
MLD	PPI
CG6175	PPI
RPS30	PPI
CATSUP	PPI
NULL	PPI
CG7824	PPI
CG3342	PPI
CACTIN	PPI
UBI-P5E	PPI
CG11700	PPI
MAP60	PPI
ASCIZ	PPI
RCA1	PPI
KDM2	PPI
TFAM	PPI
CG2199	PPI
CG34168	PPI
CG44774	PPI
CP16	PPI
LSN	PPI
CG6933	PPI
KHC	PPI
CG14764	PPI
CG31140	PPI
MXT	PPI
CG13339	PPI
CG15706	PPI
CKIIALPHA	PPI
RPS7	PPI
CG32647	PPI
EF1ALPHA48D	PPI
NOC	PPI
