gene	node_type
PLE	gene
SKELETOR	gene
OLF413	gene
DMEL\CG5235	gene
DDC	gene
PLE	PPI
SKELETOR	PPI
OLF413	PPI
DMEL\CG5235	PPI
DDC	PPI
CG14684	PPI
MED19	PPI
S6KL	PPI
NUP107	PPI
SDC	PPI
PLAP	PPI
HB	PPI
MEI-S332	PPI
PRP3	PPI
SMG	PPI
CG5112	PPI
CG11380	PPI
MLD	PPI
CG6175	PPI
RPS30	PPI
CATSUP	PPI
CG7824	PPI
CG3342	PPI
CACTIN	PPI
UBI-P5E	PPI
CG11700	PPI
MAP60	PPI
ASCIZ	PPI
RCA1	PPI
KDM2	PPI
TFAM	PPI
CG2199	PPI
CG34168	PPI
CG44774	PPI
CP16	PPI
LSN	PPI
CG6933	PPI
KHC	PPI
CG14764	PPI
CG31140	PPI
MXT	PPI
CG13339	PPI
CG15706	PPI
CKIIALPHA	PPI
RPS7	PPI
CG32647	PPI
EF1ALPHA48D	PPI
NOC	PPI
CKIIBETA	PPI
KLC	PPI
CP190	PPI
WDB	PPI
MTS	PPI
CTP	PPI
CKIIBETA2	PPI
TKV	PPI
LAR	PPI
PP2A-29B	PPI
CG4709	PPI
TWIN	PPI
ORB2	PPI
CYLD	PPI
SCE	PPI
RYBP	PPI
PSC	PPI
TM1	PPI
CG3225	PPI
EIF4E-5	PPI
EIF4E-7	PPI
EIF-4E	PPI
E(SPL)M8-HLH	PPI
TIM	PPI
PER	PPI
YURI	PPI
BLOS1	PPI
CG34404	PPI
RPL3	PPI
CYCC	PPI
TBC1D5	PPI
PCNA	PPI
CG5062	PPI
RPLP1	PPI
CSN8	PPI
PIH1D1	PPI
LIPRIN-ALPHA	PPI
PB	PPI
CG12470	PPI
LAB	PPI
SBB	PPI
CG44838	PPI
RPL10AB	PPI
CG3294	PPI
SRP68	PPI
RPS12	PPI
MED1	PPI
CG17672	PPI
CG8620	PPI
ANTP	PPI
SCR	PPI
HSP27	PPI
DFD	PPI
LCS	PPI
RPL36A	PPI
MRPL53	PPI
GALPHAI	PPI
ODA	PPI
SQD	PPI
YKI	PPI
UBX	PPI
B9D1	PPI
CG8368	PPI
CG15881	PPI
CG10086	PPI
ABD-A	PPI
ABD-B	PPI
CG15167	PPI
UBA1	PPI
DOD	PPI
GT	PPI
RAW	PPI
YIP3	PPI
DENR	PPI
GRP	PPI
CG3085	PPI
NSE4	PPI
M1BP	PPI
CG5466	PPI
HIL	PPI
SUN	PPI
VPS25	PPI
INC	PPI
MATS	PPI
CHT10	PPI
TEKTIN-A	PPI
CG14499	PPI
CG9510	PPI
GEM	PPI
FD59A	PPI
CG11275	PPI
CG12725	PPI
RCD-1R	PPI
UBCE2M	PPI
ZASP66	PPI
NWK	PPI
SQU	PPI
RDGA	PPI
GLEC	PPI
GBS-70E	PPI
SXL	PPI
RPB4	PPI
CG12362	PPI
ARP10	PPI
LBL	PPI
CG10053	PPI
SIRT7	PPI
CG42235	PPI
VHA26	PPI
CG8292	PPI
CG3308	PPI
LIMK1	PPI
BLOW	PPI
APPL	PPI
SOD3	PPI
TINC	PPI
MYO95E	PPI
UBE3A	PPI
CG6660	PPI
CG15219	PPI
APC10	PPI
PTEN	PPI
YP2	PPI
JAR	PPI
ES2	PPI
CG1635	PPI
CG3295	PPI
CG14204	PPI
SLI	PPI
THIOLASE	PPI
ROBO1	PPI
MED31	PPI
SIDPN	PPI
PKC98E	PPI
C901	PPI
SRPK79D	PPI
P5CDH1	PPI
ATTA	PPI
CV-C	PPI
CG1999	PPI
CG15109	PPI
CG4896	PPI
FLW	PPI
CG17265	PPI
CINDR	PPI
ADF1	PPI
SOFE	PPI
CG5089	PPI
CG17802	PPI
XRP1	PPI
KAT-60L1	PPI
CG18011	PPI
PINS	PPI
CG5151	PPI
NOP17L	PPI
MFAP1	PPI
CG14546	PPI
CG7386	PPI
CKIIALPHA-I3	PPI
RCD5	PPI
GRAU	PPI
CG5882	PPI
CG17168	PPI
PRM	PPI
CG11882	PPI
CG16812	PPI
TWS	PPI
POLO	PPI
ANXB11	PPI
B4	PPI
CG15073	PPI
YIN	PPI
CG2926	PPI
CG6654	PPI
CG5973	PPI
CG4820	PPI
TOMB	PPI
CG3517	PPI
CG13733	PPI
KTUB	PPI
CG13032	PPI
CG12491	PPI
CG10513	PPI
CG13138	PPI
CG8079	PPI
FZO	PPI
CG5009	PPI
CG6569	PPI
CG8319	PPI
NON1	PPI
KRI	PPI
CG13405	PPI
HFP	PPI
SIP2	PPI
PCS	PPI
CG32100	PPI
CG15676	PPI
U2AF50	PPI
P115	PPI
ELFLESS	PPI
RAD23	PPI
NSF2	PPI
