gene	node_type
LACE	gene
GHI	gene
LACE	PPI
GHI	PPI
MEIGO	PPI
CG32758	PPI
GCS2BETA	PPI
RPS27A	PPI
CG6126	PPI
CG4287	PPI
HSC70-4	PPI
VHA13	PPI
RPL31	PPI
DHD	PPI
SPT-I	PPI
CG9986	PPI
RPS16	PPI
CID	PPI
UBI-P63E	PPI
CAL1	PPI
HIS4:CG31611	PPI
CENP-C	PPI
CAF1-55	PPI
SMO	PPI
SAK	PPI
RNGO	PPI
RPN10	PPI
P53	PPI
STV	PPI
FU	PPI
MOD	PPI
HRS	PPI
CYLD	PPI
MARF	PPI
MED4	PPI
TBC1D5	PPI
CG7379	PPI
CG3386	PPI
UFL1	PPI
CG15459	PPI
TCP-1ZETA	PPI
RPT4	PPI
OATP58DB	PPI
UQCR-C2	PPI
RAF	PPI
KEY	PPI
DIAP2	PPI
GP210	PPI
WAL	PPI
ARF102F	PPI
FADD	PPI
SERCA	PPI
KSR	PPI
CG33303	PPI
CNX99A	PPI
KR-H2	PPI
TAB2	PPI
PGRP-LC	PPI
KAP-ALPHA3	PPI
PP2A-29B	PPI
RAP2L	PPI
PDK1	PPI
GP93	PPI
DSOR1	PPI
TSPO	PPI
PGRP-LE	PPI
RPT1	PPI
RANBP9	PPI
AKT1	PPI
TAK1	PPI
CG1416	PPI
IMPL3	PPI
CG12262	PPI
RPT6	PPI
SPIDEY	PPI
IKKBETA	PPI
SUCB	PPI
REL	PPI
OX	PPI
DROJ2	PPI
IMD	PPI
DREDD	PPI
MEC2	PPI
SOX21B	PPI
ELFLESS	PPI
KEK2	PPI
CG10694	PPI
CG5009	PPI
CG12721	PPI
CG7546	PPI
CG17568	PPI
DAP	PPI
RPR	PPI
BICD	PPI
HSP26	PPI
CG8209	PPI
CG15118	PPI
HIP	PPI
DUTPASE	PPI
CG1910	PPI
14-3-3ZETA	PPI
HTS	PPI
CG15109	PPI
HER	PPI
GIG	PPI
RPL40	PPI
HFP	PPI
CG13405	PPI
CG5111	PPI
CG9119	PPI
CG7386	PPI
DL	PPI
CG7987	PPI
PAR-1	PPI
CI	PPI
TRAF6	PPI
ATPALPHA	PPI
FAX	PPI
FAS3	PPI
ENO	PPI
FLO2	PPI
RAD23	PPI
TER94	PPI
RPS10B	PPI
RIN	PPI
CG8223	PPI
EIF-4A	PPI
DNAPOL-ETA	PPI
S-CUP	PPI
CG15561	PPI
SLGA	PPI
CG15440	PPI
MOE	PPI
CG3225	PPI
CG31373	PPI
CLK	PPI
N	PPI
GRIM	PPI
ALPHATUB84B	PPI
RPN13	PPI
UCH-L5	PPI
CG7033	PPI
P47	PPI
EPS-15	PPI
DF31	PPI
PABP	PPI
COMM	PPI
CALYPSO	PPI
BCD	PPI
UBQN	PPI
NETO	PPI
MABI	PPI
CG4887	PPI
CG8079	PPI
DIAP1	PPI
VAS	PPI
HSP83	PPI
HSP27	PPI
ARGK	PPI
BETATUB56D	PPI
RPT5	PPI
NRT	PPI
USP5	PPI
14-3-3EPSILON	PPI
SRC42A	PPI
RPS7	PPI
AKAP200	PPI
FAS2	PPI
CG2025	PPI
SLIM	PPI
BBX	PPI
DDR	PPI
FT	PPI
DENR	PPI
CG31211	PPI
CG8974	PPI
CG32581	PPI
FER3	PPI
DAB	PPI
SSTN	PPI
TSP42EG	PPI
CPR64AA	PPI
NF-YA	PPI
TOY	PPI
SUD1	PPI
CG9133	PPI
CG13287	PPI
UBX	PPI
USP	PPI
SPAG	PPI
EBO	PPI
CG17343	PPI
HOP	PPI
CG7945	PPI
CG13627	PPI
CG11523	PPI
AGO	PPI
ND-MNLL	PPI
STUB1	PPI
CG8219	PPI
CG9331	PPI
MAD2	PPI
ZWILCH	PPI
CG2926	PPI
CG9510	PPI
DNAJ-1	PPI
CUP	PPI
SSU72	PPI
CDK7	PPI
P32	PPI
CALR	PPI
ATL	PPI
CG43996	PPI
RAW	PPI
CG13022	PPI
PH-P	PPI
RAU	PPI
LIMK1	PPI
CG7970	PPI
CSP	PPI
ZW10	PPI
PIG-S	PPI
TCS3	PPI
CG9130	PPI
SGT	PPI
CG8155	PPI
BRM	PPI
PROSALPHA2	PPI
ECR	PPI
CG45057	PPI
VHA26	PPI
CG9630	PPI
TRS33	PPI
ZIPIC	PPI
EAF	PPI
ORB	PPI
CG15443	PPI
DREP3	PPI
CPR72EA	PPI
RICTOR	PPI
S6KII	PPI
CG2246	PPI
PP2C1	PPI
SIMA	PPI
CG14861	PPI
LKB1	PPI
CG3847	PPI
CG4835	PPI
MIL	PPI
CG2116	PPI
CG8414	PPI
CG14369	PPI
