gene1	gene	score
Pld	Moe	0.111111111111111
Pld	hpo	0.111111111111111
Pld	RecQ4	0.111111111111111
hpo	wts	0.0864197530864198
hpo	hpo	0.0740740740740741
hpo	Rassf	0.0740740740740741
hpo	ex	0.037037037037037
Moe	conu	0.0246913580246914
Moe	Mer	0.0246913580246914
hpo	RpS18	0.0246913580246914
hpo	yki	0.0246913580246914
hpo	Strip	0.0246913580246914
hpo	Slmap	0.0246913580246914
hpo	Diap1	0.0246913580246914
hpo	mats	0.0246913580246914
Moe	Caf1-180	0.0123456790123457
Moe	CG32512	0.0123456790123457
Moe	zfh1	0.0123456790123457
Moe	Lrch	0.0123456790123457
Moe	CG5645	0.0123456790123457
Moe	CG16812	0.0123456790123457
Moe	CG2519	0.0123456790123457
Moe	REPTOR	0.0123456790123457
Moe	Phf7	0.0123456790123457
Moe	CG16798	0.0123456790123457
Moe	CG4294	0.0123456790123457
Moe	CG15099	0.0123456790123457
Moe	CG5991	0.0123456790123457
Moe	e(y)3	0.0123456790123457
Moe	fabp	0.0123456790123457
Moe	CG7927	0.0123456790123457
Moe	Pld	0.0123456790123457
Moe	Rlip	0.0123456790123457
Moe	RpL22	0.0123456790123457
Moe	CG10638	0.0123456790123457
Moe	regucalcin	0.0123456790123457
Moe	Sh3beta	0.0123456790123457
Moe	Inos	0.0123456790123457
Moe	Df31	0.0123456790123457
Moe	cib	0.0123456790123457
Moe	CG6084	0.0123456790123457
Moe	Fim	0.0123456790123457
Moe	Akap200	0.0123456790123457
Moe	Lamp1	0.0123456790123457
Moe	Moe	0.0123456790123457
Moe	conu	0.0123456790123457
Moe	ex	0.0123456790123457
Moe	BRWD3	0.0123456790123457
Moe	cmet	0.0123456790123457
Moe	Slik	0.0123456790123457
Moe	crb	0.0123456790123457
Moe	capt	0.0123456790123457
Moe	wgn	0.0123456790123457
Moe	CG2926	0.0123456790123457
Moe	CG14322	0.0123456790123457
Moe	Calr	0.0123456790123457
Moe	CG8036	0.0123456790123457
Moe	Nacalpha	0.0123456790123457
Moe	Hsc70Cb	0.0123456790123457
Moe	Eb1	0.0123456790123457
Moe	Gdi	0.0123456790123457
Moe	chic	0.0123456790123457
Moe	Pgk	0.0123456790123457
Moe	Pglym78	0.0123456790123457
Moe	smt3	0.0123456790123457
Moe	Ntf-2	0.0123456790123457
Moe	Sec16	0.0123456790123457
Moe	wb	0.0123456790123457
Moe	cpb	0.0123456790123457
Moe	CG14074	0.0123456790123457
Moe	CG3902	0.0123456790123457
Moe	Ced-12	0.0123456790123457
Moe	CG14967	0.0123456790123457
Moe	btsz	0.0123456790123457
Moe	Rab11	0.0123456790123457
Moe	Patj	0.0123456790123457
Moe	CG8939	0.0123456790123457
Moe	ptc	0.0123456790123457
Moe	Wnk	0.0123456790123457
Moe	Cont	0.0123456790123457
Moe	Prx2540-2	0.0123456790123457
Moe	scu	0.0123456790123457
Moe	CG14715	0.0123456790123457
Moe	flr	0.0123456790123457
Moe	TER94	0.0123456790123457
Moe	CG17337	0.0123456790123457
Moe	Pgd	0.0123456790123457
Moe	FK506-bp2	0.0123456790123457
Moe	Bacc	0.0123456790123457
Moe	Men	0.0123456790123457
Moe	CG11322	0.0123456790123457
Moe	otu	0.0123456790123457
Moe	nom	0.0123456790123457
Moe	Actn	0.0123456790123457
Moe	chinmo	0.0123456790123457
Moe	sced	0.0123456790123457
Moe	east	0.0123456790123457
Moe	CG6040	0.0123456790123457
Moe	nolo	0.0123456790123457
Moe	BtbVII	0.0123456790123457
Moe	Pp1-87B	0.0123456790123457
Moe	awd	0.0123456790123457
Moe	Fkbp14	0.0123456790123457
Moe	CG2852	0.0123456790123457
Moe	Prosbeta5	0.0123456790123457
Moe	Tudor-SN	0.0123456790123457
Moe	PCID2	0.0123456790123457
Moe	ft	0.0123456790123457
Moe	fax	0.0123456790123457
Moe	InR	0.0123456790123457
Moe	EF2	0.0123456790123457
Moe	Mal-B2	0.0123456790123457
Moe	Pdi	0.0123456790123457
Moe	Trxr-1	0.0123456790123457
Moe	EndoGI	0.0123456790123457
Moe	scf	0.0123456790123457
Moe	CG12325	0.0123456790123457
Moe	Top1	0.0123456790123457
Moe	CG2862	0.0123456790123457
Moe	CG11267	0.0123456790123457
Moe	Ndg	0.0123456790123457
Moe	CG4598	0.0123456790123457
Moe	AnxB10	0.0123456790123457
Moe	CG30382	0.0123456790123457
Moe	eEF1delta	0.0123456790123457
Moe	PHDP	0.0123456790123457
Moe	Eno	0.0123456790123457
Moe	yip2	0.0123456790123457
Moe	GstE6	0.0123456790123457
Moe	PCNA	0.0123456790123457
Moe	eIF-5A	0.0123456790123457
Moe	PHGPx	0.0123456790123457
Moe	RpS27A	0.0123456790123457
Moe	CG16817	0.0123456790123457
Moe	Taldo	0.0123456790123457
Moe	CG30339	0.0123456790123457
Moe	CG17109	0.0123456790123457
Moe	dlg1	0.0123456790123457
Moe	Nlp	0.0123456790123457
Moe	CG6686	0.0123456790123457
Moe	RhoGDI	0.0123456790123457
Moe	Sema1a	0.0123456790123457
Moe	CG2767	0.0123456790123457
Moe	flw	0.0123456790123457
Moe	Hop	0.0123456790123457
Moe	Mer	0.0123456790123457
Moe	Uch	0.0123456790123457
Moe	CG2025	0.0123456790123457
Moe	pigs	0.0123456790123457
Moe	Chd64	0.0123456790123457
Moe	arm	0.0123456790123457
Moe	GstO3	0.0123456790123457
Moe	CG10939	0.0123456790123457
Moe	Mdh2	0.0123456790123457
hpo	CG11180	0.0123456790123457
hpo	CycD	0.0123456790123457
hpo	RpS20	0.0123456790123457
hpo	bru1	0.0123456790123457
hpo	wdb	0.0123456790123457
hpo	Nup75	0.0123456790123457
hpo	ed	0.0123456790123457
hpo	Cka	0.0123456790123457
hpo	Mob4	0.0123456790123457
hpo	Mer	0.0123456790123457
hpo	RtGEF	0.0123456790123457
hpo	SERCA	0.0123456790123457
hpo	kibra	0.0123456790123457
hpo	ci	0.0123456790123457
hpo	CG13366	0.0123456790123457
hpo	Pld	0.0123456790123457
hpo	Cdk2	0.0123456790123457
hpo	CG31108	0.0123456790123457
hpo	ds	0.0123456790123457
hpo	mts	0.0123456790123457
hpo	dikar	0.0123456790123457
hpo	chinmo	0.0123456790123457
hpo	CG3919	0.0123456790123457
hpo	Sox102F	0.0123456790123457
hpo	Rack1	0.0123456790123457
hpo	MFS15	0.0123456790123457
hpo	klar	0.0123456790123457
hpo	CG6707	0.0123456790123457
hpo	par-1	0.0123456790123457
hpo	Tao	0.0123456790123457
hpo	CG7033	0.0123456790123457
hpo	Dap160	0.0123456790123457
hpo	Arf79F	0.0123456790123457
hpo	trc	0.0123456790123457
hpo	Cdk4	0.0123456790123457
hpo	amos	0.0123456790123457
hpo	kuk	0.0123456790123457
hpo	BtbVII	0.0123456790123457
hpo	CG2678	0.0123456790123457
hpo	mod	0.0123456790123457
hpo	Eps-15	0.0123456790123457
hpo	Ran	0.0123456790123457
hpo	sav	0.0123456790123457
hpo	gammaSnap1	0.0123456790123457
hpo	Fgop2	0.0123456790123457
hpo	l(2)03659	0.0123456790123457
hpo	His4:CG31611	0.0123456790123457
hpo	CG13705	0.0123456790123457
hpo	CG3253	0.0123456790123457
hpo	disco	0.0123456790123457
hpo	RpS26	0.0123456790123457
hpo	Drep3	0.0123456790123457
hpo	CG11534	0.0123456790123457
hpo	Ublcp1	0.0123456790123457
hpo	CG7841	0.0123456790123457
hpo	EfTuM	0.0123456790123457
hpo	Git	0.0123456790123457
hpo	eEF1delta	0.0123456790123457
hpo	CG30447	0.0123456790123457
hpo	Pp2A-29B	0.0123456790123457
hpo	ago	0.0123456790123457
RecQ4	Lip3	0.0123456790123457
RecQ4	CG6923	0.0123456790123457
RecQ4	Np	0.0123456790123457
RecQ4	CG5009	0.0123456790123457
RecQ4	Pld	0.0123456790123457
RecQ4	CG18273	0.0123456790123457
RecQ4	seq	0.0123456790123457
RecQ4	cno	0.0123456790123457
RecQ4	Fas2	0.0123456790123457
RecQ4	wech	0.0123456790123457
RecQ4	fus	0.0123456790123457
RecQ4	Cct1	0.0123456790123457
RecQ4	nau	0.0123456790123457
RecQ4	CG42674	0.0123456790123457
RecQ4	Cen	0.0123456790123457
RecQ4	spn-A	0.0123456790123457
RecQ4	BtbVII	0.0123456790123457
RecQ4	skap	0.0123456790123457
RecQ4	mei-P22	0.0123456790123457
RecQ4	CheA75a	0.0123456790123457
RecQ4	pea	0.0123456790123457
RecQ4	CG5731	0.0123456790123457
RecQ4	AnxB9	0.0123456790123457
RecQ4	CG5568	0.0123456790123457
RecQ4	CG18094	0.0123456790123457
RecQ4	Dfd	0.0123456790123457
RecQ4	TwdlE	0.0123456790123457
RecQ4	CG15676	0.0123456790123457
RecQ4	Hr39	0.0123456790123457
RecQ4	chn	0.0123456790123457
RecQ4	Dek	0.0123456790123457
RecQ4	Mes2	0.0123456790123457
RecQ4	CG12428	0.0123456790123457
RecQ4	robo1	0.0123456790123457
RecQ4	r	0.0123456790123457
RecQ4	Grasp65	0.0123456790123457
RecQ4	Eps-15	0.0123456790123457
