gene	node_type
RNRS	gene
RNRL	gene
TS	gene
DUTPASE	gene
AWD	gene
NMDYN-D6	gene
NMDYN-D7	gene
DMEL\CG15547	gene
DMEL\CG14221	gene
RNRS	PPI
RNRL	PPI
TS	PPI
DUTPASE	PPI
AWD	PPI
NMDYN-D6	PPI
NMDYN-D7	PPI
DMEL\CG15547	PPI
DMEL\CG14221	PPI
TSC1	PPI
CG9723	PPI
KTUB	PPI
FT	PPI
NULL	PPI
MSB1L	PPI
CG15080	PPI
CG9083	PPI
KOI	PPI
FRM	PPI
R-L	PPI
ACP29AB	PPI
C(3)G	PPI
CG11275	PPI
PEX14	PPI
H2.0	PPI
ADK2	PPI
ACT5C	PPI
CG5174	PPI
REGUCALCIN	PPI
FKBP59	PPI
CAPT	PPI
VARI	PPI
NACALPHA	PPI
PRX2540-2	PPI
PHGPX	PPI
RPS27A	PPI
CG10638	PPI
GSTE6	PPI
GSTO3	PPI
PROSALPHA7	PPI
ANXB10	PPI
EEF1DELTA	PPI
FKBP14	PPI
USP39	PPI
CG10576	PPI
GV1	PPI
SEC5	PPI
ENO	PPI
SH3BETA	PPI
NLP	PPI
DLC90F	PPI
CG13962	PPI
CG1986	PPI
FABP	PPI
CG14715	PPI
CIB	PPI
BACC	PPI
DOD	PPI
CHIC	PPI
CG8036	PPI
PGD	PPI
CG1910	PPI
TPNC25D	PPI
CG15818	PPI
CG32100	PPI
KDN	PPI
VHL	PPI
FK506-BP2	PPI
CYP1	PPI
ATPSYNBETA	PPI
CG6084	PPI
SCU	PPI
PROSALPHA4	PPI
RTNL1	PPI
MYO10A	PPI
DF31	PPI
SMT3	PPI
CG8993	PPI
TER94	PPI
CG5674	PPI
SOD1	PPI
NTF-2	PPI
EB1	PPI
HSC70CB	PPI
L(2)37CB	PPI
EIF-5A	PPI
HOP	PPI
CG16817	PPI
SNX3	PPI
EF2	PPI
INOS	PPI
CG5445	PPI
DNASEII	PPI
AKAP200	PPI
COMM3	PPI
RPS21	PPI
ALD	PPI
TRX-2	PPI
TCTP	PPI
RHOGDI	PPI
SEMA1A	PPI
CAM	PPI
14-3-3EPSILON	PPI
CG7372	PPI
CG30339	PPI
CG8117	PPI
CG15141	PPI
CG5355	PPI
CG2852	PPI
CG4598	PPI
ZIPIC	PPI
JUPITER	PPI
CALR	PPI
ARFRP1	PPI
CG10265	PPI
SCF	PPI
YIP2	PPI
CG2862	PPI
CG11267	PPI
CG7430	PPI
PGLYM78	PPI
MDH2	PPI
CG30382	PPI
CG7054	PPI
ZIP	PPI
MOE	PPI
HMGD	PPI
ATPSYNCF6	PPI
PCNA	PPI
CG8891	PPI
EAF6	PPI
PGK	PPI
HSP60A	PPI
PHDP	PPI
ACT57B	PPI
PDI	PPI
TRXR-1	PPI
UCH	PPI
ENDOGI	PPI
SGF11	PPI
MIP	PPI
CHD64	PPI
14-3-3ZETA	PPI
SOB	PPI
ERP60	PPI
CG9813	PPI
CPR73D	PPI
SPARTIN	PPI
CG13955	PPI
CG17230	PPI
