gene	node_type
ACSL	gene
BGM	gene
FATP1	gene
DMEL\CG3961	gene
FATP3	gene
ACSL	PPI
BGM	PPI
FATP1	PPI
DMEL\CG3961	PPI
FATP3	PPI
CG31431	PPI
CNX99A	PPI
MPCP	PPI
RTNL1	PPI
MSK	PPI
FAX	PPI
NINAE	PPI
SNR1	PPI
HRB98DE	PPI
EMC1	PPI
CG2064	PPI
UQCR-C2	PPI
TCP-1ZETA	PPI
CG12264	PPI
PI3K68D	PPI
RAB5	PPI
CG3008	PPI
GCS2BETA	PPI
CG13397	PPI
VPS4	PPI
CP1	PPI
SINAH	PPI
MRP	PPI
ASPRS	PPI
TER94	PPI
BETACOP	PPI
TRPRS	PPI
CYP12D1-P	PPI
DROJ2	PPI
GLT	PPI
GP93	PPI
CCTGAMMA	PPI
SERRS	PPI
SPINDLY	PPI
CG33303	PPI
RPS10B	PPI
CG4729	PPI
CG2918	PPI
WAL	PPI
GFAT2	PPI
PCB	PPI
PEN	PPI
SERCA	PPI
LIC	PPI
SUCB	PPI
L(1)G0156	PPI
CG16817	PPI
BOR	PPI
KAP-ALPHA3	PPI
SEC61ALPHA	PPI
SCF	PPI
RPN1	PPI
BOCA	PPI
CG5525	PPI
EFTUM	PPI
R	PPI
SKAP	PPI
CATHD	PPI
CG9947	PPI
CG3902	PPI
CG1371	PPI
UQCR-6.4	PPI
CG17765	PPI
RPS5A	PPI
GP210	PPI
PP2A-29B	PPI
CG1092	PPI
SEC63	PPI
CG8258	PPI
GLUPRORS	PPI
CABP1	PPI
CG12262	PPI
RPT1	PPI
LANB1	PPI
OSTDELTA	PPI
CG10425	PPI
SPT-I	PPI
CG5854	PPI
CG31999	PPI
RPS19A	PPI
SCU	PPI
NBS	PPI
DS	PPI
HHEX	PPI
DIAP2	PPI
TCP-1ETA	PPI
TAPDELTA	PPI
OST48	PPI
SC2	PPI
CYT-C1	PPI
COROLLA	PPI
CPR64AA	PPI
SPIDEY	PPI
RAB39	PPI
JAFRAC2	PPI
CG2070	PPI
SDHB	PPI
SSTN	PPI
4E-T	PPI
NF-YA	PPI
CHC	PPI
MTDNA-HELICASE	PPI
CG13325	PPI
FASN1	PPI
ATPSYNGAMMA	PPI
MATS	PPI
KR-H2	PPI
RANBP9	PPI
CG5823	PPI
COLT	PPI
MEC2	PPI
PASI1	PPI
CG9986	PPI
CG9674	PPI
IDGF4	PPI
CAP	PPI
CG42795	PPI
CG1418	PPI
PLX	PPI
CG4042	PPI
TRAL	PPI
YT521-B	PPI
CG4744	PPI
ROW	PPI
CG32026	PPI
CG43343	PPI
BIN1	PPI
CG42321	PPI
CG6191	PPI
PP1-87B	PPI
KLP68D	PPI
PIF1A	PPI
SYP	PPI
UQCR-C1	PPI
CKIIALPHA-I3	PPI
TOC	PPI
NST	PPI
SNRPG	PPI
DCR-2	PPI
FHOS	PPI
CG11417	PPI
CG2269	PPI
TYLER	PPI
ASCIZ	PPI
CAM	PPI
CG9485	PPI
CG42390	PPI
CG31805	PPI
STI	PPI
CG14260	PPI
VHASFD	PPI
CG13551	PPI
HERS	PPI
CG6362	PPI
CG10445	PPI
CG14352	PPI
CG5986	PPI
TEN-M	PPI
EAR	PPI
SGG	PPI
CG11980	PPI
CG3308	PPI
TYF	PPI
ETL1	PPI
GR59E	PPI
CG6454	PPI
JAFRAC1	PPI
TBCMF46	PPI
LETM1	PPI
ARGK	PPI
NLP	PPI
PH4ALPHAEFB	PPI
GRAF	PPI
FS(1)H	PPI
CG14438	PPI
ADD1	PPI
CG11698	PPI
ATG2	PPI
ARS2	PPI
GOT2	PPI
VHA68-2	PPI
KARYBETA3	PPI
LILLI	PPI
LARP7	PPI
CG15145	PPI
CG9389	PPI
SYN2	PPI
CG8545	PPI
LIPRIN-ALPHA	PPI
CYCE	PPI
CG8915	PPI
SENS-2	PPI
TWEEK	PPI
TPI	PPI
CG3339	PPI
CHT9	PPI
EPH	PPI
L(2)K09848	PPI
CG3457	PPI
MCM5	PPI
MDH2	PPI
ZMYND10	PPI
GLYP	PPI
MUS301	PPI
SPN43AA	PPI
APOLPP	PPI
UPSET	PPI
CG9010	PPI
L(2)37CD	PPI
PHB2	PPI
CG9436	PPI
SQD	PPI
CG11882	PPI
CG12316	PPI
CG8152	PPI
NEB	PPI
GIRDIN	PPI
HSP23	PPI
CYP1	PPI
TUDOR-SN	PPI
CKIIALPHA	PPI
SOYB	PPI
CG30447	PPI
CG7856	PPI
CV-2	PPI
RPL10	PPI
TSR	PPI
CIC	PPI
ATPSYNO	PPI
SPDS	PPI
L(1)1BI	PPI
FANCI	PPI
CG6084	PPI
CG30287	PPI
CG5390	PPI
BARK	PPI
AWD	PPI
CG5004	PPI
CG1850	PPI
MRPL50	PPI
ATPSYNF	PPI
GRIP163	PPI
RASSF	PPI
MARS	PPI
SCHLANK	PPI
