gene1	gene	score
Ts	H2.0	0.111111111111111
Dhfr	Epac	0.111111111111111
Dhfr	Rbp4	0.111111111111111
Dhfr	vg	0.111111111111111
Dhfr	CG11999	0.111111111111111
vg	sd	0.0740740740740741
Rbp4	fest	0.0246913580246914
H2.0	CG15141	0.0123456790123457
H2.0	loqs	0.0123456790123457
H2.0	CG1486	0.0123456790123457
H2.0	pelo	0.0123456790123457
H2.0	CG7017	0.0123456790123457
H2.0	CG5791	0.0123456790123457
H2.0	CG15529	0.0123456790123457
H2.0	Teh4	0.0123456790123457
H2.0	CG9572	0.0123456790123457
H2.0	gbb	0.0123456790123457
H2.0	Pif1B	0.0123456790123457
H2.0	scramb1	0.0123456790123457
H2.0	Snr1	0.0123456790123457
H2.0	P32	0.0123456790123457
H2.0	Ts	0.0123456790123457
H2.0	CG4000	0.0123456790123457
H2.0	gro	0.0123456790123457
H2.0	Chd64	0.0123456790123457
H2.0	CG17666	0.0123456790123457
H2.0	Pif1A	0.0123456790123457
H2.0	CG10650	0.0123456790123457
H2.0	CG11164	0.0123456790123457
H2.0	yl	0.0123456790123457
H2.0	ninaE	0.0123456790123457
H2.0	Zyx	0.0123456790123457
H2.0	pasi2	0.0123456790123457
H2.0	CG7611	0.0123456790123457
H2.0	CG15602	0.0123456790123457
H2.0	RpL13A	0.0123456790123457
Epac	Rap2l	0.0123456790123457
Epac	galla-2	0.0123456790123457
Epac	AOX3	0.0123456790123457
Epac	AdamTS-A	0.0123456790123457
Epac	Pten	0.0123456790123457
Epac	Wee1	0.0123456790123457
Epac	cnc	0.0123456790123457
Epac	loco	0.0123456790123457
Epac	Cyp1	0.0123456790123457
Epac	Adhr	0.0123456790123457
Epac	Cyp6a20	0.0123456790123457
Epac	CG8620	0.0123456790123457
Epac	janA	0.0123456790123457
Epac	scu	0.0123456790123457
Epac	sano	0.0123456790123457
Epac	CG4729	0.0123456790123457
Epac	twe	0.0123456790123457
Epac	CG8929	0.0123456790123457
Epac	CG32164	0.0123456790123457
Epac	Adh	0.0123456790123457
Epac	RpL27A	0.0123456790123457
Epac	Dhfr	0.0123456790123457
Epac	Ubi-p63E	0.0123456790123457
Epac	CG4415	0.0123456790123457
Epac	CG16836	0.0123456790123457
Epac	RpL27	0.0123456790123457
Epac	Hsp23	0.0123456790123457
Epac	CG14983	0.0123456790123457
Epac	CG8206	0.0123456790123457
Epac	Pkc98E	0.0123456790123457
Epac	RpS7	0.0123456790123457
Epac	CG5515	0.0123456790123457
Epac	RpS9	0.0123456790123457
Epac	TwdlM	0.0123456790123457
Epac	Ubi-p5E	0.0123456790123457
Epac	CG32165	0.0123456790123457
Epac	CG3831	0.0123456790123457
Epac	CG42820	0.0123456790123457
Epac	CG18094	0.0123456790123457
Epac	ATPsynGL	0.0123456790123457
Epac	foi	0.0123456790123457
Epac	PlexB	0.0123456790123457
Epac	CG42542	0.0123456790123457
Rbp4	CG4645	0.0123456790123457
Rbp4	CG15676	0.0123456790123457
Rbp4	akirin	0.0123456790123457
Rbp4	UQCR-C1	0.0123456790123457
Rbp4	Zyx	0.0123456790123457
Rbp4	CG5791	0.0123456790123457
Rbp4	Sap47	0.0123456790123457
Rbp4	GlyP	0.0123456790123457
Rbp4	bsk	0.0123456790123457
Rbp4	CG2493	0.0123456790123457
Rbp4	RpS3	0.0123456790123457
Rbp4	CG11899	0.0123456790123457
Rbp4	spoon	0.0123456790123457
Rbp4	EloC	0.0123456790123457
Rbp4	CG9173	0.0123456790123457
Rbp4	CycB	0.0123456790123457
Rbp4	26-29-p	0.0123456790123457
Rbp4	Dhfr	0.0123456790123457
Rbp4	D1	0.0123456790123457
Rbp4	CG32452	0.0123456790123457
Rbp4	Gs1	0.0123456790123457
Rbp4	CG7879	0.0123456790123457
Rbp4	CG8854	0.0123456790123457
Rbp4	CG15422	0.0123456790123457
vg	Mef2	0.0123456790123457
vg	Dhfr	0.0123456790123457
vg	yki	0.0123456790123457
CG11999	PGRP-LC	0.0123456790123457
CG11999	Raf	0.0123456790123457
CG11999	wts	0.0123456790123457
CG11999	IKKbeta	0.0123456790123457
CG11999	Rel	0.0123456790123457
CG11999	Tab2	0.0123456790123457
CG11999	fj	0.0123456790123457
CG11999	FK506-bp1	0.0123456790123457
CG11999	Dhfr	0.0123456790123457
