gene	node_type
TS	gene
SHMT	gene
DHFR	gene
TS	PPI
SHMT	PPI
DHFR	PPI
H2.0	PPI
EPAC	PPI
RBP4	PPI
VG	PPI
CG11999	PPI
SD	PPI
FEST	PPI
CG15141	PPI
LOQS	PPI
CG1486	PPI
PELO	PPI
CG7017	PPI
CG5791	PPI
CG15529	PPI
TEH4	PPI
CG9572	PPI
GBB	PPI
PIF1B	PPI
SCRAMB1	PPI
SNR1	PPI
P32	PPI
CG4000	PPI
GRO	PPI
CHD64	PPI
CG17666	PPI
PIF1A	PPI
CG10650	PPI
CG11164	PPI
YL	PPI
NINAE	PPI
ZYX	PPI
PASI2	PPI
CG7611	PPI
CG15602	PPI
RPL13A	PPI
RAP2L	PPI
GALLA-2	PPI
AOX3	PPI
ADAMTS-A	PPI
PTEN	PPI
WEE1	PPI
CNC	PPI
LOCO	PPI
CYP1	PPI
ADHR	PPI
CYP6A20	PPI
CG8620	PPI
JANA	PPI
SCU	PPI
SANO	PPI
CG4729	PPI
TWE	PPI
CG8929	PPI
CG32164	PPI
ADH	PPI
RPL27A	PPI
UBI-P63E	PPI
CG4415	PPI
CG16836	PPI
RPL27	PPI
HSP23	PPI
CG14983	PPI
CG8206	PPI
PKC98E	PPI
RPS7	PPI
CG5515	PPI
RPS9	PPI
TWDLM	PPI
UBI-P5E	PPI
CG32165	PPI
CG3831	PPI
CG42820	PPI
CG18094	PPI
ATPSYNGL	PPI
FOI	PPI
PLEXB	PPI
CG42542	PPI
CG4645	PPI
CG15676	PPI
AKIRIN	PPI
UQCR-C1	PPI
SAP47	PPI
GLYP	PPI
BSK	PPI
CG2493	PPI
RPS3	PPI
CG11899	PPI
SPOON	PPI
ELOC	PPI
CG9173	PPI
CYCB	PPI
26-29-P	PPI
D1	PPI
CG32452	PPI
GS1	PPI
CG7879	PPI
CG8854	PPI
CG15422	PPI
MEF2	PPI
YKI	PPI
PGRP-LC	PPI
RAF	PPI
WTS	PPI
IKKBETA	PPI
REL	PPI
TAB2	PPI
FJ	PPI
FK506-BP1	PPI
