gene	node_type
GDH	gene
GDH	PPI
UP	PPI
ACON	PPI
ARGK	PPI
ATPSYNB	PPI
ACT79B	PPI
ATPSYND	PPI
ACTN	PPI
CG9090	PPI
NC73EF	PPI
ATPSYNF	PPI
ATL	PPI
CG2025	PPI
WUPA	PPI
TM2	PPI
CG15564	PPI
RTNL1	PPI
KDN	PPI
MF	PPI
ND-PDSW	PPI
MLC2	PPI
SCP1	PPI
ADH	PPI
PRM	PPI
MLC1	PPI
CG12006	PPI
GPDH	PPI
ZASP52	PPI
ATPSYNDELTA	PPI
BLW	PPI
ATPSYNE	PPI
ATPSYNCF6	PPI
ATPSYNO	PPI
ATPSYNG	PPI
SUN	PPI
ZASP66	PPI
PGLYM78	PPI
MYO10A	PPI
PORIN	PPI
CG7920	PPI
CYT-C1	PPI
LASP	PPI
FER2LCH	PPI
OSK	PPI
TPNC4	PPI
ICLN	PPI
TPNC41C	PPI
SGG	PPI
CG10581	PPI
MHC	PPI
ALD	PPI
MDH2	PPI
CG14207	PPI
CYT-C-P	PPI
CG5177	PPI
CG7409	PPI
MED6	PPI
STUMPS	PPI
CG31140	PPI
GSTS1	PPI
CG34172	PPI
TRS33	PPI
ATG5	PPI
GPO-1	PPI
ND-18	PPI
CG8230	PPI
FLN	PPI
ENO	PPI
ACT88F	PPI
CG3225	PPI
BLOS1	PPI
CG3335	PPI
PPO1	PPI
YP2	PPI
YP1	PPI
GAPDH2	PPI
M-CUP	PPI
HLH4C	PPI
PRP18	PPI
FABP	PPI
APOLPP	PPI
CG12256	PPI
GLYP	PPI
NPLP2	PPI
LSP2	PPI
FER1HCH	PPI
OBP56D	PPI
CG31343	PPI
SU(VAR)3-9	PPI
PARP	PPI
YP3	PPI
PGK	PPI
CG14315	PPI
FK506-BP1	PPI
L(1)G0156	PPI
TSF1	PPI
CG16826	PPI
FT	PPI
CG5506	PPI
RPS27A	PPI
CG5500	PPI
PNT	PPI
SRC64B	PPI
CG9331	PPI
ATPSYNBETA	PPI
CG31522	PPI
CG14829	PPI
CG3847	PPI
NIMC1	PPI
SAV	PPI
HN	PPI
M1BP	PPI
CPR78E	PPI
GM130	PPI
CG12170	PPI
CG15141	PPI
VPS20	PPI
ATPSYNGAMMA	PPI
JAGN	PPI
CG4797	PPI
GCM2	PPI
SERCA	PPI
CF2	PPI
PGRP-LE	PPI
ACP1	PPI
CG4962	PPI
SCRA	PPI
CG5160	PPI
CG5050	PPI
PATRONIN	PPI
DGT6	PPI
CG6688	PPI
RPB4	PPI
CG44001	PPI
CDK1	PPI
EXD	PPI
CG15435	PPI
CCN	PPI
PEX7	PPI
INVADOLYSIN	PPI
CG10510	PPI
SMN	PPI
ROLS	PPI
CG7352	PPI
TAB2	PPI
EXO70	PPI
HRS	PPI
MOE	PPI
ELBA3	PPI
RHEB	PPI
TSG101	PPI
SEC6	PPI
MLP84B	PPI
KIRRE	PPI
DOS	PPI
CG11753	PPI
FRC	PPI
CYCG	PPI
CG13085	PPI
CG17450	PPI
CG32819	PPI
CG10075	PPI
CG4328	PPI
SIMA	PPI
HER	PPI
AKT1	PPI
COX4	PPI
CG13405	PPI
COX5A	PPI
CG5645	PPI
MOD(MDG4)	PPI
OST48	PPI
CG10425	PPI
CG7834	PPI
RABX1	PPI
RAB35	PPI
RPT4	PPI
PSA	PPI
UQCR-C1	PPI
MTPALPHA	PPI
PDH	PPI
ND-13B	PPI
RPN3	PPI
MUL1	PPI
LAM	PPI
ADE5	PPI
HSP68	PPI
PABP	PPI
MAL-A1	PPI
RAB14	PPI
RAB8	PPI
MGSTL	PPI
SPAS	PPI
OSTDELTA	PPI
HSP70BA	PPI
CAZ	PPI
RAB39	PPI
CATHD	PPI
ANT2	PPI
ND-75	PPI
HSC70-2	PPI
SDHA	PPI
RAB19	PPI
HSC70-1	PPI
RAB26	PPI
ND-B12	PPI
DMRT93B	PPI
RETN	PPI
ND-20L	PPI
RAB3	PPI
PPN	PPI
STWL	PPI
PU	PPI
SCA	PPI
HSC70-4	PPI
RAB6	PPI
PGM	PPI
RACK1	PPI
NHP2	PPI
ACC	PPI
ERP60	PPI
PYK	PPI
RABX4	PPI
TER94	PPI
CG1105	PPI
MFE2	PPI
RPT6R	PPI
SQD	PPI
VHA68-3	PPI
SEC61ALPHA	PPI
FAS1	PPI
HSC70-3	PPI
YIP2	PPI
RPN9	PPI
ND-B17.2	PPI
GLYS	PPI
SNZ	PPI
RAB4	PPI
RPT6	PPI
VHA36-1	PPI
CG31381	PPI
IDGF4	PPI
CG12512	PPI
VHASFD	PPI
TRAP1	PPI
HSC70-5	PPI
CLU	PPI
LON	PPI
CG8036	PPI
14-3-3EPSILON	PPI
