gene	node_type
GS2	gene
GS2-RC	gene
GS1	gene
GS2	PPI
GS2-RC	PPI
GS1	PPI
CI	PPI
CG32486	PPI
CG32819	PPI
CG8568	PPI
SSTN	PPI
CG17450	PPI
CG7737	PPI
RBP4	PPI
CG43427	PPI
MSI	PPI
SYND	PPI
RABX1	PPI
RIM2	PPI
CG8204	PPI
HIP	PPI
CG5044	PPI
CLIC	PPI
CG32631	PPI
AMYREL	PPI
DRONC	PPI
DIAP1	PPI
RDX	PPI
FU	PPI
SLMB	PPI
DRICE	PPI
DARK	PPI
DCO	PPI
PKA-C1	PPI
CKIALPHA	PPI
NEJ	PPI
SMO	PPI
SKD	PPI
CUL1	PPI
KAP-ALPHA3	PPI
SGG	PPI
SXL	PPI
UBC4	PPI
FEST	PPI
SU(FU)	PPI
CYSU	PPI
NONC	PPI
UQCR-C1	PPI
MGL	PPI
PXT	PPI
LID	PPI
PZG	PPI
SPRED	PPI
KNI	PPI
FWD	PPI
PX	PPI
NOI	PPI
GCS2ALPHA	PPI
KST	PPI
NOT10	PPI
UBA1	PPI
FTZ-F1	PPI
BTBVII	PPI
CG17475	PPI
CAF1-180	PPI
USP7	PPI
CUL3	PPI
PTC	PPI
GARZ	PPI
ASPP	PPI
BRU1	PPI
CG17754	PPI
CDA5	PPI
SMYDA-8	PPI
VERM	PPI
KLP98A	PPI
RAPGAP1	PPI
LYSB	PPI
CYCE	PPI
CG7017	PPI
CG8079	PPI
BR140	PPI
KIS	PPI
CV-D	PPI
WDP	PPI
CG3558	PPI
MAT89BA	PPI
YKI	PPI
HYD	PPI
KTO	PPI
GUG	PPI
MEN	PPI
TWEEK	PPI
CDEP	PPI
CG6933	PPI
ELB	PPI
SLI	PPI
LIM1	PPI
CANA-14F	PPI
GSTO2	PPI
CG10211	PPI
CG34401	PPI
EIF3-S8	PPI
BX	PPI
MID	PPI
CG9184	PPI
LANB1	PPI
CASK	PPI
BOTV	PPI
L(2)K14710	PPI
CDA4	PPI
CHC	PPI
CG7837	PPI
IA-2	PPI
TROL	PPI
PIAS1	PPI
ADA2B	PPI
STAT92E	PPI
UNC-89	PPI
CNO	PPI
PCF11	PPI
LRP1	PPI
CG3764	PPI
FUCTC	PPI
RFX	PPI
TEP2	PPI
CG11700	PPI
BI	PPI
CG12134	PPI
PDCD4	PPI
EDEM1	PPI
CG33127	PPI
CG10011	PPI
MEI-41	PPI
DOC1	PPI
PPO2	PPI
D2HGDH	PPI
CG1486	PPI
SEC16	PPI
SUR-8	PPI
PINS	PPI
ODA	PPI
RBFOX1	PPI
SKPA	PPI
TRN	PPI
MSP300	PPI
MTPAP	PPI
JBUG	PPI
NAU	PPI
PLC21C	PPI
PRD	PPI
WOC	PPI
SERP	PPI
PP2B-14D	PPI
ZFH2	PPI
SLPR	PPI
PI3K92E	PPI
ACT57B	PPI
CG15445	PPI
HYX	PPI
HPO	PPI
COS	PPI
CG6910	PPI
CG16863	PPI
ART7	PPI
PGM	PPI
RPS27A	PPI
CG3645	PPI
DANR	PPI
SEC5	PPI
CG5938	PPI
JUB	PPI
BUR	PPI
CG3108	PPI
NRT	PPI
NPL4	PPI
TIG	PPI
CG7290	PPI
PLOD	PPI
UBI-P63E	PPI
JON25BI	PPI
BAP55	PPI
EIF2B-DELTA	PPI
HDAC1	PPI
CG43163	PPI
NOC	PPI
JING	PPI
SU(Z)2	PPI
HTH	PPI
RPII215	PPI
DBR	PPI
SEC6	PPI
VHA55	PPI
BIN3	PPI
FZ3	PPI
CG9914	PPI
ALPHASNAP	PPI
NUP93-1	PPI
CENG1A	PPI
DIMM	PPI
SCPX	PPI
NEOS	PPI
CG13084	PPI
CG13407	PPI
CSN4	PPI
SMYDA-3	PPI
CG6543	PPI
AEF1	PPI
EF2	PPI
CG31108	PPI
CG3689	PPI
CG8854	PPI
CG10814	PPI
EY	PPI
SAS-6	PPI
CHI	PPI
YELLOW-G2	PPI
CG5966	PPI
AMA	PPI
CP1	PPI
NUCB1	PPI
RPS3A	PPI
NC73EF	PPI
CG14438	PPI
CG5028	PPI
CG17777	PPI
JON99CII	PPI
CYCB	PPI
CPR56F	PPI
CG8206	PPI
CG18745	PPI
D1	PPI
G9A	PPI
CG31820	PPI
CG17666	PPI
NOA36	PPI
CG13157	PPI
CP7FC	PPI
CG9411	PPI
MTS	PPI
E(BX)	PPI
CLECT27	PPI
SOD1	PPI
CAND1	PPI
CG10933	PPI
TAB2	PPI
CG9911	PPI
CG12645	PPI
STEP	PPI
SERCA	PPI
PAX	PPI
AAY	PPI
CPR72EA	PPI
