V1	V2
GstE11	CG5757
GstE11	GstD4
GstE11	GstD11
GstD9	GstD4
GstD9	GstD5
GstD9	GstD2
GstD9	GstD7
GstD9	CG5642
GstD9	GstD1
GstD9	GstD10
GstD10	GstD1
GstD10	GstD2
GstD10	GstD4
GstD10	REPTOR
GstD10	GstD9
GstT1	Fkbp14
GstT1	GstE6
GstT1	rols
GstT1	Uch
GstT1	scu
GstT1	GstE3
GstT1	CG1354
GstT1	Prx2540-2
GstT1	RhoGDI
AIMP3	MetRS
GstD11	GstD4
GstD11	GstE11
GstD11	RagA-B
GstE10	Rca1
GstE10	HIP
Mgstl	atl
gfzf	CG14641
gfzf	her
GstE3	tamo
GstE3	GATAe
GstE3	CG8128
GstE3	GstT1
GstE3	CG2025
GstE3	DNApol-iota
GstE3	NA
GstE3	RhoGDI
GstE1	NA
GstE1	sba
GstE1	kermit
GstE1	CG10914
GstE1	CG11964
GstE1	ATPsynbeta
GstE1	FER
GstE1	cnc
GstE1	CG17486
GstE1	Fpps
GstE1	CG15602
GstE1	CG8206
GstE13	GstD4
GstE9	NA
GstE9	RpL15
GstE9	betaTub56D
GstE9	CG12081
GstE9	Trl
GstE9	RpS8
GstE12	CG2025
GstT3	Cchl
GstT3	NA
GstT3	Pex6
GstT3	tamo
GstT3	CycE
GstT3	CG18003
Gdap1	NA
Gdap1	Antp
Gdap1	Vha36-1
Gdap1	Sec31
Gdap1	ix
Gdap1	CG5626
GstE8	Hsp70Aa
GstE8	Hsp68
GstE8	ref(2)P
GstE8	jdp
GstE8	Hsp22
GstE8	Hsp23
GstE8	Hsp27
GstE2	CycB
GstE2	NA
GstE2	Pak
GstE2	mad2
GstE2	CG8128
GstE2	rux
GstE7	Akt1
GstE7	koi
GstE7	CanA1
GstE7	GstE6
GstE7	Pp2B-14D
GstE7	CG13339
GstE5	GstE6
GstT2	Cpr76Ba
GstE6	Uch
GstE6	CG10638
GstE6	dUTPase
GstE6	Fim
GstE6	CG13887
GstE6	scu
GstE6	smt3
GstE6	GstE5
GstE6	Nacalpha
GstE6	Prx2540-2
GstE6	Sh3beta
GstE6	Calr
GstE6	Moe
GstE6	CG6084
GstE6	capt
GstE6	AnxB10
GstE6	eEF1delta
GstE6	Chd64
GstE6	Nlp
GstE6	regucalcin
GstE6	PCNA
GstE6	Eb1
GstE6	fabp
GstE6	Fkbp14
GstE6	Mdh2
GstE6	CG5174
GstE6	Akap200
GstE6	Hop
GstE6	Gdi
GstE6	CG16817
GstE6	GstT1
GstE6	CG4598
GstE6	Hsp23
GstE6	GstO3
GstE6	Pdi
GstE6	Eno
GstE6	GstE7
GstE6	RhoGDI
GstD5	GstD4
GstD5	GstD2
GstD5	GstD1
GstD5	GstD9
GstD5	GstD7
GstD6	GstD4
GstD6	Pbp45
GstS1	GstS1
GstS1	Acon
GstS1	Gpo-1
GstS1	Strn-Mlck
GstS1	ATPsyndelta
GstS1	Adh
GstS1	COX4
GstS1	atl
GstS1	Tm1
GstS1	Mlc2
GstS1	kdn
GstS1	COX5A
GstS1	Sema1a
GstS1	danr
GstS1	Gpdh
GstS1	fln
GstS1	Ald
GstS1	TpnC4
GstS1	Mdh2
GstS1	CG6330
GstS1	CG34172
GstS1	wupA
GstS1	Mhc
GstS1	spi
GstS1	Tm2
GstS1	Mlc1
GstS1	Eno
GstS1	ND-18
GstS1	Act88F
GstD2	GstD1
GstD2	GstD7
GstD2	GstD10
GstD2	GstD9
GstD2	GstD5
GstD2	GstD4
GstD4	Fibp
GstD4	GstE13
GstD4	GstD1
GstD4	fabp
GstD4	NA
GstD4	GstE11
GstD4	GstD6
GstD4	GstD2
GstD4	GstD5
GstD4	GstD9
GstD4	GstD11
GstD4	GstD7
GstD4	GstD10
GstD7	GstD2
GstD7	GstD4
GstD7	GstD1
GstD7	GstD5
GstD7	CG3226
GstD7	GstD9
