gene1	gene	score
GstD6	GstD4	0.222222222222222
GstS1	GstS1	0.222222222222222
GstS1	Tm1	0.222222222222222
GstD4	GstD6	0.222222222222222
GstE11	CG5757	0.111111111111111
GstE11	GstD4	0.111111111111111
GstE11	GstD11	0.111111111111111
GstD9	GstD4	0.111111111111111
GstD9	GstD5	0.111111111111111
GstD9	GstD2	0.111111111111111
GstD9	GstD7	0.111111111111111
GstD9	CG5642	0.111111111111111
GstD9	GstD1	0.111111111111111
GstD9	GstD10	0.111111111111111
GstD10	GstD1	0.111111111111111
GstD10	GstD2	0.111111111111111
GstD10	GstD4	0.111111111111111
GstD10	REPTOR	0.111111111111111
GstD10	GstD9	0.111111111111111
GstT1	Fkbp14	0.111111111111111
GstT1	GstE6	0.111111111111111
GstT1	rols	0.111111111111111
GstT1	Uch	0.111111111111111
GstT1	scu	0.111111111111111
GstT1	GstE3	0.111111111111111
GstT1	CG1354	0.111111111111111
GstT1	Prx2540-2	0.111111111111111
GstT1	RhoGDI	0.111111111111111
AIMP3	MetRS	0.111111111111111
GstD11	GstD4	0.111111111111111
GstD11	GstE11	0.111111111111111
GstD11	RagA-B	0.111111111111111
GstE10	Rca1	0.111111111111111
GstE10	HIP	0.111111111111111
Mgstl	atl	0.111111111111111
gfzf	CG14641	0.111111111111111
gfzf	her	0.111111111111111
GstE3	tamo	0.111111111111111
GstE3	GATAe	0.111111111111111
GstE3	CG8128	0.111111111111111
GstE3	GstT1	0.111111111111111
GstE3	CG2025	0.111111111111111
GstE3	DNApol-iota	0.111111111111111
GstE3	RhoGDI	0.111111111111111
GstE1	sba	0.111111111111111
GstE1	kermit	0.111111111111111
GstE1	CG10914	0.111111111111111
GstE1	CG11964	0.111111111111111
GstE1	ATPsynbeta	0.111111111111111
GstE1	FER	0.111111111111111
GstE1	cnc	0.111111111111111
GstE1	CG17486	0.111111111111111
GstE1	Fpps	0.111111111111111
GstE1	CG15602	0.111111111111111
GstE1	CG8206	0.111111111111111
GstE13	GstD4	0.111111111111111
GstE9	RpL15	0.111111111111111
GstE9	betaTub56D	0.111111111111111
GstE9	CG12081	0.111111111111111
GstE9	Trl	0.111111111111111
GstE9	RpS8	0.111111111111111
GstE12	CG2025	0.111111111111111
GstT3	Cchl	0.111111111111111
GstT3	Pex6	0.111111111111111
GstT3	tamo	0.111111111111111
GstT3	CycE	0.111111111111111
GstT3	CG18003	0.111111111111111
Gdap1	Antp	0.111111111111111
Gdap1	Vha36-1	0.111111111111111
Gdap1	Sec31	0.111111111111111
Gdap1	ix	0.111111111111111
Gdap1	CG5626	0.111111111111111
GstE8	Hsp70Aa	0.111111111111111
GstE8	Hsp68	0.111111111111111
GstE8	ref(2)P	0.111111111111111
GstE8	jdp	0.111111111111111
GstE8	Hsp22	0.111111111111111
GstE8	Hsp23	0.111111111111111
GstE8	Hsp27	0.111111111111111
GstE2	CycB	0.111111111111111
GstE2	Pak	0.111111111111111
GstE2	mad2	0.111111111111111
GstE2	CG8128	0.111111111111111
GstE2	rux	0.111111111111111
GstE7	Akt1	0.111111111111111
GstE7	koi	0.111111111111111
GstE7	CanA1	0.111111111111111
GstE7	GstE6	0.111111111111111
GstE7	Pp2B-14D	0.111111111111111
GstE7	CG13339	0.111111111111111
GstE5	GstE6	0.111111111111111
GstT2	Cpr76Ba	0.111111111111111
GstE6	Uch	0.111111111111111
GstE6	CG10638	0.111111111111111
GstE6	dUTPase	0.111111111111111
GstE6	Fim	0.111111111111111
GstE6	CG13887	0.111111111111111
GstE6	scu	0.111111111111111
GstE6	smt3	0.111111111111111
GstE6	GstE5	0.111111111111111
GstE6	Nacalpha	0.111111111111111
GstE6	Prx2540-2	0.111111111111111
GstE6	Sh3beta	0.111111111111111
GstE6	Calr	0.111111111111111
GstE6	Moe	0.111111111111111
GstE6	CG6084	0.111111111111111
GstE6	capt	0.111111111111111
GstE6	AnxB10	0.111111111111111
GstE6	eEF1delta	0.111111111111111
GstE6	Chd64	0.111111111111111
GstE6	Nlp	0.111111111111111
GstE6	regucalcin	0.111111111111111
GstE6	PCNA	0.111111111111111
GstE6	Eb1	0.111111111111111
GstE6	fabp	0.111111111111111
GstE6	Fkbp14	0.111111111111111
GstE6	Mdh2	0.111111111111111
GstE6	CG5174	0.111111111111111
GstE6	Akap200	0.111111111111111
GstE6	Hop	0.111111111111111
GstE6	Gdi	0.111111111111111
GstE6	CG16817	0.111111111111111
GstE6	GstT1	0.111111111111111
GstE6	CG4598	0.111111111111111
GstE6	Hsp23	0.111111111111111
GstE6	GstO3	0.111111111111111
GstE6	Pdi	0.111111111111111
GstE6	Eno	0.111111111111111
GstE6	GstE7	0.111111111111111
GstE6	RhoGDI	0.111111111111111
GstD5	GstD4	0.111111111111111
GstD5	GstD2	0.111111111111111
GstD5	GstD1	0.111111111111111
GstD5	GstD9	0.111111111111111
GstD5	GstD7	0.111111111111111
GstD6	Pbp45	0.111111111111111
GstS1	Acon	0.111111111111111
GstS1	Gpo-1	0.111111111111111
GstS1	Strn-Mlck	0.111111111111111
GstS1	ATPsyndelta	0.111111111111111
GstS1	Adh	0.111111111111111
GstS1	COX4	0.111111111111111
GstS1	atl	0.111111111111111
GstS1	Mlc2	0.111111111111111
GstS1	kdn	0.111111111111111
GstS1	COX5A	0.111111111111111
GstS1	Sema1a	0.111111111111111
GstS1	danr	0.111111111111111
GstS1	Gpdh	0.111111111111111
GstS1	fln	0.111111111111111
GstS1	Ald	0.111111111111111
GstS1	TpnC4	0.111111111111111
GstS1	Mdh2	0.111111111111111
GstS1	CG6330	0.111111111111111
GstS1	CG34172	0.111111111111111
GstS1	wupA	0.111111111111111
GstS1	Mhc	0.111111111111111
GstS1	spi	0.111111111111111
GstS1	Tm2	0.111111111111111
GstS1	Mlc1	0.111111111111111
GstS1	Eno	0.111111111111111
GstS1	ND-18	0.111111111111111
GstS1	Act88F	0.111111111111111
GstD2	GstD1	0.111111111111111
GstD2	GstD7	0.111111111111111
GstD2	GstD10	0.111111111111111
GstD2	GstD9	0.111111111111111
GstD2	GstD5	0.111111111111111
GstD2	GstD4	0.111111111111111
GstD4	Fibp	0.111111111111111
GstD4	GstE13	0.111111111111111
GstD4	GstD1	0.111111111111111
GstD4	fabp	0.111111111111111
GstD4	GstE11	0.111111111111111
GstD4	GstD2	0.111111111111111
GstD4	GstD5	0.111111111111111
GstD4	GstD9	0.111111111111111
GstD4	GstD11	0.111111111111111
GstD4	GstD7	0.111111111111111
GstD4	GstD10	0.111111111111111
GstD7	GstD2	0.111111111111111
GstD7	GstD4	0.111111111111111
GstD7	GstD1	0.111111111111111
GstD7	GstD5	0.111111111111111
GstD7	CG3226	0.111111111111111
GstD7	GstD9	0.111111111111111
atl	atl	0.0987654320987654
CycB	Cdk1	0.0864197530864198
spi	rho	0.0864197530864198
Tm1	Tm1	0.0740740740740741
Pak	Rac1	0.0740740740740741
smt3	lwr	0.0740740740740741
CycE	Cdk2	0.0617283950617284
GstD4	GstD6	0.0493827160493827
GstS1	GstS1	0.0493827160493827
GstS1	Tm1	0.0493827160493827
Tm1	GstS1	0.0493827160493827
Tm1	Khc	0.0493827160493827
GstD6	GstD4	0.0493827160493827
cnc	maf-S	0.0493827160493827
Trl	Trl	0.0493827160493827
CycE	Cdk1	0.0493827160493827
Ald	Ald	0.0493827160493827
REPTOR	REPTOR-BP	0.037037037037037
atl	atl	0.037037037037037
Trl	lolal	0.037037037037037
Trl	Hira	0.037037037037037
ref(2)P	Keap1	0.037037037037037
Pak	Rac1	0.037037037037037
PCNA	PCNA	0.037037037037037
Pbp45	Pbp49	0.037037037037037
Pbp45	Pbp95	0.037037037037037
spi	aos	0.037037037037037
spi	rho-4	0.037037037037037
GstD4	Fibp	0.0246913580246914
GstD4	GstE13	0.0246913580246914
GstD4	GstD1	0.0246913580246914
GstD4	fabp	0.0246913580246914
GstD4	GstE11	0.0246913580246914
GstD4	GstD2	0.0246913580246914
GstD4	GstD5	0.0246913580246914
GstD4	GstD9	0.0246913580246914
GstD4	GstD11	0.0246913580246914
GstD4	GstD7	0.0246913580246914
GstD4	GstD10	0.0246913580246914
GstS1	Acon	0.0246913580246914
GstS1	Gpo-1	0.0246913580246914
GstS1	Strn-Mlck	0.0246913580246914
GstS1	ATPsyndelta	0.0246913580246914
GstS1	Adh	0.0246913580246914
GstS1	COX4	0.0246913580246914
GstS1	atl	0.0246913580246914
GstS1	Mlc2	0.0246913580246914
GstS1	kdn	0.0246913580246914
GstS1	COX5A	0.0246913580246914
GstS1	Sema1a	0.0246913580246914
GstS1	danr	0.0246913580246914
GstS1	Gpdh	0.0246913580246914
GstS1	fln	0.0246913580246914
GstS1	Ald	0.0246913580246914
GstS1	TpnC4	0.0246913580246914
GstS1	Mdh2	0.0246913580246914
GstS1	CG6330	0.0246913580246914
GstS1	CG34172	0.0246913580246914
GstS1	wupA	0.0246913580246914
GstS1	Mhc	0.0246913580246914
GstS1	spi	0.0246913580246914
GstS1	Tm2	0.0246913580246914
GstS1	Mlc1	0.0246913580246914
GstS1	Eno	0.0246913580246914
GstS1	ND-18	0.0246913580246914
