gene	node_type
PPOX	gene
UPDO	gene
COPROX	gene
FECH	gene
PPOX	PPI
UPDO	PPI
COPROX	PPI
FECH	PPI
HRS	PPI
COX6B	PPI
P53	PPI
JAFRAC2	PPI
MYO10A	PPI
DL	PPI
DIAP2	PPI
MTDNA-HELICASE	PPI
LWR	PPI
TWI	PPI
TUB	PPI
UBI-P63E	PPI
STAM	PPI
MEP-1	PPI
CG6923	PPI
TOPORS	PPI
RPS27A	PPI
ADA2B	PPI
FIP1	PPI
DLIP3	PPI
DSP1	PPI
GRO	PPI
PLL	PPI
REL	PPI
DRK	PPI
KTO	PPI
AMPH	PPI
MTPALPHA	PPI
RHOGEF2	PPI
USP8	PPI
MSP300	PPI
SHOT	PPI
COG7	PPI
CDEP	PPI
CACT	PPI
CTBP	PPI
RICTOR	PPI
TRIO	PPI
HH	PPI
SIP1	PPI
N	PPI
BIB	PPI
STX	PPI
FBXO11	PPI
MOP	PPI
HTH	PPI
CDK2	PPI
FT	PPI
L(2)K09022	PPI
LMGB	PPI
CHC	PPI
VPS28	PPI
CG14451	PPI
NUP205	PPI
ACTN	PPI
TBC1D15-17	PPI
SMO	PPI
FJ	PPI
VHAAC39-1	PPI
ANXB11	PPI
L(2)K14710	PPI
ALPHASNAP	PPI
SGL	PPI
DIA	PPI
POLYBROMO	PPI
SRY-ALPHA	PPI
JNJ	PPI
CHER	PPI
BETA-SPEC	PPI
VPS35	PPI
DYSB	PPI
TL	PPI
LEVY	PPI
HSP83	PPI
PEX6	PPI
CG44838	PPI
PGI	PPI
RPN6	PPI
RPS3	PPI
COX4	PPI
COX5A	PPI
CYT-C-P	PPI
CYPE	PPI
RPN1	PPI
CDC6	PPI
CG18003	PPI
DIMM	PPI
AL	PPI
SU(VAR)2-10	PPI
CYP6A22	PPI
CG1602	PPI
CG1958	PPI
TM1	PPI
CG5919	PPI
CG7387	PPI
IF	PPI
CG1024	PPI
CG42360	PPI
BIP2	PPI
CG11035	PPI
IMP	PPI
CG45186	PPI
CYT-C1	PPI
TOU	PPI
TUD	PPI
CG1324	PPI
POF	PPI
ERR	PPI
CG5568	PPI
CG32495	PPI
CG31108	PPI
HSF	PPI
MURA	PPI
CYCK	PPI
CG2865	PPI
CENG1A	PPI
CG11486	PPI
USP7	PPI
UBA2	PPI
NPRL3	PPI
NON1	PPI
CG6333	PPI
CG4622	PPI
TWDLE	PPI
MICAL	PPI
CG4753	PPI
BSF	PPI
CG10333	PPI
CG1074	PPI
CG7379	PPI
MRN	PPI
BRD8	PPI
ULP1	PPI
BCD	PPI
CG7139	PPI
CG32985	PPI
SPOON	PPI
RPA-70	PPI
CG2926	PPI
GAS8	PPI
NNA1	PPI
CG8728	PPI
CG7634	PPI
CG8712	PPI
FDL	PPI
RTCB	PPI
140UP	PPI
CG17612	PPI
CG4496	PPI
DYL	PPI
HAY	PPI
DAXX	PPI
CG8236	PPI
SPN-A	PPI
TFB1	PPI
WOC	PPI
GRY	PPI
VHA36-2	PPI
CG12861	PPI
MRJ	PPI
HMW	PPI
CG6325	PPI
YKI	PPI
TWDLW	PPI
CG1137	PPI
LOST	PPI
CG42232	PPI
CG18269	PPI
MRPL16	PPI
SSX	PPI
CG13436	PPI
TOY	PPI
SAS-6	PPI
ADY43A	PPI
BTBVII	PPI
SQH	PPI
UTX	PPI
SKAP	PPI
PR-SET7	PPI
CORT	PPI
CG30059	PPI
SIMA	PPI
WDE	PPI
MTTF	PPI
HSP26	PPI
TAF11	PPI
CG42389	PPI
MU2	PPI
FDH	PPI
CG4854	PPI
CG11652	PPI
ND-51L2	PPI
DSX	PPI
CG8851	PPI
BAP60	PPI
GCN5	PPI
SIP3	PPI
UBC6	PPI
ZCCHC7	PPI
ICE2	PPI
CEP89	PPI
ASP	PPI
CG4049	PPI
MMP2	PPI
AUB	PPI
CORP	PPI
PPO2	PPI
MED26	PPI
TBRD-1	PPI
SA	PPI
BOLY	PPI
ASF1	PPI
INPP5E	PPI
DUP	PPI
HSP23	PPI
JP	PPI
CG12723	PPI
ACT57B	PPI
GRAU	PPI
CG42684	PPI
GUS	PPI
CYP6D5	PPI
ADA3	PPI
CG10932	PPI
NORD	PPI
CHB	PPI
AP	PPI
CP110	PPI
AGO2	PPI
CG6686	PPI
TOM40	PPI
CG3610	PPI
AHCY	PPI
FAS	PPI
ND-B22	PPI
PEZ	PPI
DIAP1	PPI
CG2371	PPI
SER12	PPI
MPCP	PPI
PR	PPI
SU(HW)	PPI
VPS51	PPI
CG14995	PPI
BICC	PPI
ALPHATUB84D	PPI
