gene1	gene	score
Glo1	CG2852	0.111111111111111
Glo1	CG14715	0.111111111111111
Glo1	Sh3beta	0.111111111111111
Glo1	Fkbp14	0.111111111111111
Glo1	CG2004	0.111111111111111
Glo1	Pgd	0.111111111111111
Glo1	CG10638	0.111111111111111
Glo1	fabp	0.111111111111111
Glo1	Ntf-2	0.111111111111111
Glo1	Uch	0.111111111111111
Glo1	GstO3	0.111111111111111
Glo1	EndoGI	0.111111111111111
Glo1	Ald	0.111111111111111
Glo1	AnxB10	0.111111111111111
Glo1	CG9624	0.111111111111111
tzn	CG31029	0.111111111111111
tzn	CycG	0.111111111111111
tzn	YL-1	0.111111111111111
Ald	Ald	0.0493827160493827
CycG	wdb	0.0493827160493827
CycG	Cdk4	0.0246913580246914
CycG	Cdk2	0.0246913580246914
CG2852	Sh3beta	0.0123456790123457
CG2852	regucalcin	0.0123456790123457
CG2852	Df31	0.0123456790123457
CG2852	CG14715	0.0123456790123457
CG2852	dod	0.0123456790123457
CG2852	Eb1	0.0123456790123457
CG2852	CG2865	0.0123456790123457
CG2852	fabp	0.0123456790123457
CG2852	awd	0.0123456790123457
CG2852	Inos	0.0123456790123457
CG2852	Bacc	0.0123456790123457
CG2852	CG6084	0.0123456790123457
CG2852	scu	0.0123456790123457
CG2852	Ntf-2	0.0123456790123457
CG2852	Pgd	0.0123456790123457
CG2852	CG8036	0.0123456790123457
CG2852	CG3226	0.0123456790123457
CG2852	CG8993	0.0123456790123457
CG2852	Sod1	0.0123456790123457
CG2852	CG9705	0.0123456790123457
CG2852	p38c	0.0123456790123457
CG2852	smt3	0.0123456790123457
CG2852	FK506-bp2	0.0123456790123457
CG2852	Prx2540-2	0.0123456790123457
CG2852	Akap200	0.0123456790123457
CG2852	CG1910	0.0123456790123457
CG2852	eIF-1A	0.0123456790123457
CG2852	CG8219	0.0123456790123457
CG2852	Cpr76Ba	0.0123456790123457
CG2852	capt	0.0123456790123457
CG2852	Calr	0.0123456790123457
CG2852	cib	0.0123456790123457
CG2852	Uev1A	0.0123456790123457
CG2852	Nacalpha	0.0123456790123457
CG2852	PCNA	0.0123456790123457
CG2852	Hop	0.0123456790123457
CG2852	Glo1	0.0123456790123457
CG2852	CG5355	0.0123456790123457
CG2852	Nlp	0.0123456790123457
CG2852	Mdh2	0.0123456790123457
CG2852	AnxB10	0.0123456790123457
CG2852	eIF-5A	0.0123456790123457
CG2852	Sgt	0.0123456790123457
CG2852	CG10265	0.0123456790123457
CG2852	CG11267	0.0123456790123457
CG2852	Prosalpha6	0.0123456790123457
CG2852	p38a	0.0123456790123457
CG2852	CG8891	0.0123456790123457
CG2852	Trxr-1	0.0123456790123457
CG2852	mRpL38	0.0123456790123457
CG2852	Uch	0.0123456790123457
CG2852	CG10638	0.0123456790123457
CG2852	Trx-2	0.0123456790123457
CG2852	CG4598	0.0123456790123457
CG2852	Moe	0.0123456790123457
CG2852	PHGPx	0.0123456790123457
CG2852	Fkbp14	0.0123456790123457
CG2852	Pdi	0.0123456790123457
CG2852	Eno	0.0123456790123457
CG2852	EndoGI	0.0123456790123457
CG2852	CG2862	0.0123456790123457
CG2852	Chd64	0.0123456790123457
CG2852	GstO3	0.0123456790123457
CG2852	sxc	0.0123456790123457
CG2852	CG11300	0.0123456790123457
CG2852	Ald	0.0123456790123457
CG2852	RhoGDI	0.0123456790123457
CG2852	CG30382	0.0123456790123457
CG2852	Clic	0.0123456790123457
CG14715	FK506-bp2	0.0123456790123457
CG14715	CG8036	0.0123456790123457
CG14715	cib	0.0123456790123457
CG14715	Prx2540-2	0.0123456790123457
CG14715	Pgd	0.0123456790123457
CG14715	Ntf-2	0.0123456790123457
CG14715	Nacalpha	0.0123456790123457
CG14715	capt	0.0123456790123457
CG14715	Df31	0.0123456790123457
CG14715	Sod1	0.0123456790123457
CG14715	Fie	0.0123456790123457
CG14715	Bacc	0.0123456790123457
CG14715	Hsc70Cb	0.0123456790123457
CG14715	fabp	0.0123456790123457
CG14715	regucalcin	0.0123456790123457
CG14715	CG6084	0.0123456790123457
CG14715	chic	0.0123456790123457
CG14715	l(1)G0004	0.0123456790123457
CG14715	eIF-5A	0.0123456790123457
CG14715	Glo1	0.0123456790123457
CG14715	Pdi	0.0123456790123457
CG14715	scf	0.0123456790123457
CG14715	CG5355	0.0123456790123457
CG14715	CG2862	0.0123456790123457
CG14715	awd	0.0123456790123457
CG14715	Ald	0.0123456790123457
CG14715	Sh3beta	0.0123456790123457
CG14715	Nlp	0.0123456790123457
CG14715	CG2852	0.0123456790123457
CG14715	smt3	0.0123456790123457
CG14715	PHGPx	0.0123456790123457
CG14715	scu	0.0123456790123457
CG14715	EndoGI	0.0123456790123457
CG14715	CG8117	0.0123456790123457
CG14715	CG10638	0.0123456790123457
CG14715	CG11267	0.0123456790123457
CG14715	GstO3	0.0123456790123457
CG14715	Mdh2	0.0123456790123457
CG14715	AnxB10	0.0123456790123457
CG14715	Moe	0.0123456790123457
CG14715	PCNA	0.0123456790123457
CG14715	CG15067	0.0123456790123457
CG14715	Jupiter	0.0123456790123457
CG14715	Calr	0.0123456790123457
CG14715	Uch	0.0123456790123457
CG14715	yip2	0.0123456790123457
CG14715	Pglym78	0.0123456790123457
CG14715	CG4598	0.0123456790123457
CG14715	Pgk	0.0123456790123457
CG14715	Fkbp14	0.0123456790123457
CG14715	Trxr-1	0.0123456790123457
CG14715	Eno	0.0123456790123457
CG14715	Inos	0.0123456790123457
CG14715	AnxB9	0.0123456790123457
CG14715	Chd64	0.0123456790123457
CG14715	meso18E	0.0123456790123457
CG14715	RpS21	0.0123456790123457
CG14715	Prosalpha4	0.0123456790123457
CG14715	Trx-2	0.0123456790123457
CG14715	Tctp	0.0123456790123457
CG14715	RhoGDI	0.0123456790123457
Sh3beta	capt	0.0123456790123457
Sh3beta	FK506-bp2	0.0123456790123457
Sh3beta	CG14715	0.0123456790123457
Sh3beta	cib	0.0123456790123457
Sh3beta	Bacc	0.0123456790123457
Sh3beta	CG8036	0.0123456790123457
Sh3beta	Nph	0.0123456790123457
Sh3beta	chic	0.0123456790123457
Sh3beta	Pgd	0.0123456790123457
Sh3beta	Prosbeta5	0.0123456790123457
Sh3beta	Df31	0.0123456790123457
Sh3beta	CG6084	0.0123456790123457
Sh3beta	scu	0.0123456790123457
Sh3beta	Prosalpha4	0.0123456790123457
Sh3beta	Hsc70Cb	0.0123456790123457
Sh3beta	ATPsynbeta	0.0123456790123457
Sh3beta	FKBP59	0.0123456790123457
Sh3beta	TER94	0.0123456790123457
Sh3beta	Fim	0.0123456790123457
Sh3beta	mRpS25	0.0123456790123457
Sh3beta	smt3	0.0123456790123457
Sh3beta	Nacalpha	0.0123456790123457
Sh3beta	CG8993	0.0123456790123457
Sh3beta	Eb1	0.0123456790123457
Sh3beta	Cyp1	0.0123456790123457
Sh3beta	Ntf-2	0.0123456790123457
Sh3beta	CG9705	0.0123456790123457
Sh3beta	eIF-1A	0.0123456790123457
Sh3beta	dUTPase	0.0123456790123457
Sh3beta	fabp	0.0123456790123457
Sh3beta	regucalcin	0.0123456790123457
Sh3beta	Prx2540-2	0.0123456790123457
Sh3beta	dod	0.0123456790123457
Sh3beta	Sod1	0.0123456790123457
Sh3beta	CG1910	0.0123456790123457
Sh3beta	CG13887	0.0123456790123457
Sh3beta	l(2)37Cb	0.0123456790123457
Sh3beta	Moe	0.0123456790123457
Sh3beta	PHGPx	0.0123456790123457
Sh3beta	CG8891	0.0123456790123457
