gene	node_type
HMGS	gene
MVD	gene
HMGCR	gene
HMGCR-RA	gene
CG16804	gene
HMGS	PPI
MVD	PPI
HMGCR	PPI
HMGCR-RA	PPI
JBUG	PPI
PSR	PPI
ATG4A	PPI
NWK	PPI
CG4407	PPI
LST8	PPI
EXU	PPI
CG3344	PPI
CG11504	PPI
TANGO2	PPI
CG8654	PPI
CG32698	PPI
PGLYM78	PPI
MTS	PPI
OTE	PPI
CYP9F2	PPI
FAL	PPI
CG10880	PPI
VHA55	PPI
TAP42	PPI
HSP60A	PPI
CYP6A13	PPI
ND-75	PPI
CG10420	PPI
BOCKS	PPI
CG6712	PPI
MRG15	PPI
IGL	PPI
CG8814	PPI
DNK	PPI
FER1HCH	PPI
CCT2	PPI
VHA26	PPI
CG8026	PPI
SPE	PPI
CG10585	PPI
CG10347	PPI
CYP6D4	PPI
ICA69	PPI
LAM	PPI
WASP	PPI
MEI-S332	PPI
RAPTOR	PPI
TOR	PPI
ME31B	PPI
GPDH	PPI
BAF	PPI
CAP-H2	PPI
FER2LCH	PPI
VHASFD	PPI
PICK1	PPI
HR39	PPI
GRK	PPI
CG10418	PPI
CG12206	PPI
ALDH	PPI
GATAD	PPI
RPL11	PPI
NPH	PPI
CI	PPI
CG11164	PPI
REG	PPI
PH4ALPHAEFB	PPI
P32	PPI
CG30393	PPI
FT	PPI
CG1307	PPI
RCD7	PPI
ALC	PPI
CG8230	PPI
CG42404	PPI
FU	PPI
CHAS	PPI
GNU	PPI
WEE1	PPI
CG15445	PPI
DMRT11E	PPI
CG2246	PPI
OSCILLIN	PPI
CG3793	PPI
CG5538	PPI
OSK	PPI
CG6357	PPI
PHERS-M	PPI
HSP26	PPI
DRP1	PPI
ADK2	PPI
CG4434	PPI
CF2	PPI
BRP	PPI
DLC90F	PPI
CG8560	PPI
ATG8B	PPI
ATG8A	PPI
S6KL	PPI
RAD23	PPI
DCTN2-P50	PPI
SNX16	PPI
CG8888	PPI
GRP	PPI
CG7763	PPI
DAP160	PPI
SHI	PPI
SQU	PPI
CDC42	PPI
SANTA-MARIA	PPI
SH3PX1	PPI
CG14641	PPI
HP1E	PPI
CYP4E1	PPI
CYP4E2	PPI
GGAMMA1	PPI
CG12207	PPI
CG17323	PPI
GBETA13F	PPI
TCP-1ZETA	PPI
SYP	PPI
THOR	PPI
SEC23	PPI
UNK	PPI
TSC1	PPI
CG7206	PPI
RICTOR	PPI
SIN1	PPI
TCP-1ETA	PPI
PFDN2	PPI
SEC24AB	PPI
RPS3A	PPI
RPL10	PPI
CG9173	PPI
HOP	PPI
CUP	PPI
CG13126	PPI
CPR47EF	PPI
SEMA1A	PPI
LRPPRC2	PPI
BSF	PPI
CBP80	PPI
CG14566	PPI
YPS	PPI
EIF-4E	PPI
ROX8	PPI
CG30344	PPI
PPS	PPI
CG7239	PPI
TMOD	PPI
CYP4AE1	PPI
CG4335	PPI
CG13405	PPI
POXM	PPI
SHAL	PPI
NTF-2	PPI
DUBAI	PPI
ARU	PPI
SOD1	PPI
CG3630	PPI
HDLY	PPI
CG2004	PPI
TSR	PPI
CYP1	PPI
SMT3	PPI
HSC70-2	PPI
14-3-3ZETA	PPI
NLP	PPI
14-3-3EPSILON	PPI
EIP55E	PPI
MTSSB	PPI
TRXR-1	PPI
CHD64	PPI
CG2010	PPI
SPINDLY	PPI
RPS30	PPI
ZNT63C	PPI
SERCA	PPI
CG16817	PPI
CG2493	PPI
SH3BETA	PPI
CALR	PPI
BACC	PPI
RAB11	PPI
DF31	PPI
S-LAP3	PPI
CIB	PPI
LSP2	PPI
BETANACTES1	PPI
NACALPHA	PPI
CYCG	PPI
FABP	PPI
CG16826	PPI
CG6084	PPI
AWD	PPI
SCU	PPI
CG14715	PPI
ADH	PPI
YP2	PPI
GLYP	PPI
PGLYM87	PPI
PRX2540-2	PPI
REGUCALCIN	PPI
ARGK	PPI
APOLPP	PPI
SCP1	PPI
CG8353	PPI
MOE	PPI
CG5500	PPI
PDI	PPI
MDH2	PPI
CG5506	PPI
PGK	PPI
FKBP14	PPI
ENO	PPI
ALD	PPI
CG4598	PPI
CG17027	PPI
CG31343	PPI
PHGPX	PPI
CG10638	PPI
PROSALPHA6	PPI
RHOGDI	PPI
ANXB10	PPI
YP3	PPI
CG6443	PPI
ZASP66	PPI
PEN-2	PPI
TERM	PPI
C15	PPI
SRPK79D	PPI
CG2224	PPI
SOL	PPI
CG14207	PPI
TIF-IA	PPI
GCM	PPI
CG11566	PPI
P38B	PPI
ARL2	PPI
APKC	PPI
CG31626	PPI
MYO10A	PPI
AMA	PPI
CG12607	PPI
HAKAI	PPI
BR	PPI
LIPRIN-ALPHA	PPI
CKA	PPI
PP2A-B'	PPI
