gene1	gene	score
Desat1	CG30480	0.111111111111111
Desat1	PK2-R1	0.111111111111111
Desat1	CG14005	0.111111111111111
Desat1	CG2064	0.111111111111111
Desat1	PAN2	0.111111111111111
Desat1	AstC-R1	0.111111111111111
Desat1	CG13526	0.111111111111111
Desat1	SERCA	0.111111111111111
Desat1	Akt1	0.111111111111111
PAN2	CG11486	0.037037037037037
SERCA	Dredd	0.0246913580246914
Akt1	wdb	0.0246913580246914
CG30480	Psn	0.0123456790123457
CG30480	CG17337	0.0123456790123457
CG30480	Desat1	0.0123456790123457
CG30480	CG13337	0.0123456790123457
CG30480	RpL4	0.0123456790123457
CG30480	GCC88	0.0123456790123457
PK2-R1	mip40	0.0123456790123457
PK2-R1	Desat1	0.0123456790123457
PK2-R1	CG15080	0.0123456790123457
CG14005	Desat1	0.0123456790123457
CG14005	CG46025	0.0123456790123457
CG14005	CG18609	0.0123456790123457
CG14005	CG15764	0.0123456790123457
CG14005	zfh1	0.0123456790123457
CG14005	E(spl)m7-HLH	0.0123456790123457
CG14005	CG15096	0.0123456790123457
CG14005	Cdc5	0.0123456790123457
CG14005	l(2)37Cc	0.0123456790123457
CG14005	CG13733	0.0123456790123457
CG14005	CG34377	0.0123456790123457
CG2064	MRP	0.0123456790123457
CG2064	CG2070	0.0123456790123457
CG2064	Ost48	0.0123456790123457
CG2064	CG3164	0.0123456790123457
CG2064	Nup358	0.0123456790123457
CG2064	Rpt4	0.0123456790123457
CG2064	Tcp-1eta	0.0123456790123457
CG2064	Tcp-1zeta	0.0123456790123457
CG2064	CG13887	0.0123456790123457
CG2064	CG5447	0.0123456790123457
CG2064	CG13220	0.0123456790123457
CG2064	ZnT63C	0.0123456790123457
CG2064	Tspo	0.0123456790123457
CG2064	CG11857	0.0123456790123457
CG2064	Vap33	0.0123456790123457
CG2064	Past1	0.0123456790123457
CG2064	Desat1	0.0123456790123457
CG2064	CG33129	0.0123456790123457
CG2064	Vps4	0.0123456790123457
CG2064	UQCR-C2	0.0123456790123457
CG2064	blw	0.0123456790123457
CG2064	Rab5	0.0123456790123457
CG2064	Rab2	0.0123456790123457
CG2064	CG3008	0.0123456790123457
CG2064	CG12264	0.0123456790123457
