gene	node_type
IRC	gene
CAT	gene
ALDH	gene
150697_AT	gene
DMEL\CG31075	gene
ACCOAS	gene
IRC	PPI
CAT	PPI
ALDH	PPI
150697_AT	PPI
DMEL\CG31075	PPI
ACCOAS	PPI
TREH	PPI
VAP33	PPI
REL	PPI
FADD	PPI
PGRP-LE	PPI
PGRP-LC	PPI
YP2	PPI
CG16826	PPI
TAB2	PPI
CG31343	PPI
E2F2	PPI
CG5380	PPI
IKKBETA	PPI
IMD	PPI
TAK1	PPI
CG11581	PPI
DIAP2	PPI
KEY	PPI
JBUG	PPI
TSR1	PPI
RAF	PPI
RICTOR	PPI
CHC	PPI
FOXO	PPI
GALE	PPI
TSC1	PPI
PDK1	PPI
S6K	PPI
S6KII	PPI
CG2025	PPI
SLMB	PPI
VAMP7	PPI
SKPA	PPI
RBF	PPI
SAK	PPI
CI	PPI
CG5118	PPI
DREDD	PPI
PIRK	PPI
CUL1	PPI
RBF2	PPI
DSOR1	PPI
RAS85D	PPI
GIG	PPI
CDC37	PPI
SNAP29	PPI
SYX17	PPI
CG1513	PPI
SAC1	PPI
DMAP1	PPI
CACT	PPI
DL	PPI
DIF	PPI
MAP205	PPI
UQCR-C1	PPI
YKI	PPI
DP	PPI
CG11138	PPI
MIP130	PPI
RPS20	PPI
RACK1	PPI
EF2	PPI
JAFRAC2	PPI
CNK	PPI
KSR	PPI
RAP1	PPI
SIN1	PPI
BICD	PPI
CG11882	PPI
14-3-3EPSILON	PPI
14-3-3ZETA	PPI
EIF4G	PPI
RM62	PPI
RPL35	PPI
RPL23A	PPI
VRI	PPI
EX	PPI
ROC1A	PPI
PER	PPI
SYX1A	PPI
RME-8	PPI
CG14450	PPI
CM	PPI
GOT1	PPI
GRSM	PPI
CG1218	PPI
CG18787	PPI
SOD1	PPI
ZW	PPI
CG2091	PPI
TRX-2	PPI
E23	PPI
RAE1	PPI
HIP	PPI
ARC1	PPI
ART8	PPI
UGP	PPI
CG10672	PPI
CG4603	PPI
CG11777	PPI
PATSAS	PPI
CG1532	PPI
CG18789	PPI
CG6218	PPI
CG14543	PPI
CG3544	PPI
CCS	PPI
CG7049	PPI
CG18081	PPI
CG13893	PPI
RPS21	PPI
NF-YA	PPI
DSCAM1	PPI
CG13220	PPI
CG4729	PPI
CG8765	PPI
CG9723	PPI
CG5742	PPI
CG8188	PPI
CG33523	PPI
CG9205	PPI
REEP1	PPI
DL	PPI
D	PPI
MRG15	PPI
CG2064	PPI
FT	PPI
CCT2	PPI
MEP-1	PPI
RPS14A	PPI
TCP-1ZETA	PPI
BLW	PPI
TSR	PPI
RPS28B	PPI
ALPHATUB84B	PPI
UQCR-C2	PPI
CP1	PPI
ARU	PPI
NOCTE	PPI
NSL1	PPI
CP190	PPI
SMD2	PPI
BETATUB56D	PPI
SERCA	PPI
SCU	PPI
CG7033	PPI
RPL22	PPI
ALPHATUB84D	PPI
RPL12	PPI
CG6084	PPI
CNOT4	PPI
CUP	PPI
CG15011	PPI
CG9586	PPI
HTK	PPI
MSL-3	PPI
RPS17	PPI
CINDR	PPI
CG33303	PPI
CG15356	PPI
SOYB	PPI
HSP60C	PPI
PONT	PPI
GRAF	PPI
EF1ALPHA100E	PPI
CTBP	PPI
BR	PPI
PZG	PPI
SMR	PPI
CG8258	PPI
GCS2BETA	PPI
HSP60A	PPI
CG3800	PPI
CG5174	PPI
TCP-1ETA	PPI
NUP358	PPI
EF1ALPHA48D	PPI
CREBB	PPI
ZASP52	PPI
TACC	PPI
AKIRIN	PPI
JUPITER	PPI
ALPHATUB85E	PPI
NUP50	PPI
LIG	PPI
CG9391	PPI
DGT5	PPI
EIF-2ALPHA	PPI
CG30349	PPI
TAF6	PPI
BEAG	PPI
MAP60	PPI
BOR	PPI
CABP1	PPI
GCN5	PPI
CCTGAMMA	PPI
ZIP99C	PPI
BUB3	PPI
TIM10	PPI
HOIP	PPI
SCRA	PPI
RPS16	PPI
RPS27	PPI
BLANKS	PPI
CG11999	PPI
TAF4	PPI
HCF	PPI
HSC70-4	PPI
RPL7A	PPI
RPS3	PPI
MITOFILIN	PPI
SESB	PPI
NCD	PPI
STIM	PPI
JAFRAC1	PPI
NUP153	PPI
CG12182	PPI
RPS5B	PPI
GPO-1	PPI
CG10208	PPI
DCTN5-P25	PPI
ARI-2	PPI
SLE	PPI
L(2)TID	PPI
RPL30	PPI
CG12592	PPI
CG7834	PPI
BETATUB85D	PPI
FRL	PPI
LOST	PPI
NUP214	PPI
HSC70-5	PPI
BETATUB97EF	PPI
MYD88	PPI
CDK2	PPI
L(1)G0156	PPI
LVA	PPI
MESR4	PPI
SKAP	PPI
REPT	PPI
BETATUB60D	PPI
PYK	PPI
PRTP	PPI
RPS5A	PPI
