gene	node_type
PCD	gene
HN	gene
HENNA	gene
PCD	PPI
HN	PPI
HENNA	PPI
2MIT	PPI
TOBI	PPI
FAS2	PPI
BOCKS	PPI
CG4116	PPI
NURF-38	PPI
CG14053	PPI
MAP60	PPI
CNMA	PPI
GLO	PPI
ND-SGDH	PPI
CG7600	PPI
CG12256	PPI
JDP	PPI
REPH	PPI
MINO	PPI
NELF-E	PPI
FER1HCH	PPI
FD59A	PPI
CG14245	PPI
ATPSYNB	PPI
WISP	PPI
TWDLC	PPI
QKR58E-3	PPI
CG3645	PPI
SPZ4	PPI
SKPB	PPI
CG9135	PPI
SU(VAR)3-9	PPI
SGG	PPI
SXL	PPI
CV-C	PPI
CG32428	PPI
KIBRA	PPI
CG8036	PPI
CG3625	PPI
TFAP-2	PPI
SE	PPI
ND-19	PPI
INVADOLYSIN	PPI
VDUP1	PPI
RPS19A	PPI
RHOGAP54D	PPI
OSK	PPI
CCP84AA	PPI
CG14246	PPI
CG42446	PPI
CCP84AB	PPI
B9D1	PPI
SEMA1A	PPI
CG13622	PPI
CG17931	PPI
CG13737	PPI
CP190	PPI
SU(VAR)205	PPI
HIS3:CG31613	PPI
ISWI	PPI
MER	PPI
E(BX)	PPI
CAF1-55	PPI
FSN	PPI
CG7148	PPI
ARM	PPI
BAF	PPI
LAM	PPI
FER2LCH	PPI
ATPSYNDELTA	PPI
ATPSYND	PPI
BLW	PPI
ATPSYNE	PPI
ATPSYNF	PPI
ATPSYNCF6	PPI
ATPSYNO	PPI
ATPSYNG	PPI
SUN	PPI
NTC	PPI
HIS1:CG31617	PPI
COS	PPI
CI	PPI
AXN	PPI
CG11523	PPI
SNF	PPI
UNR	PPI
EX	PPI
PEZ	PPI
TCTP	PPI
APOLPP	PPI
WDN	PPI
TSR	PPI
CALR	PPI
STUB1	PPI
CG4325	PPI
I-2	PPI
CLU	PPI
ERP60	PPI
TTM50	PPI
CG10600	PPI
CG18304	PPI
NCOA6	PPI
CG2926	PPI
TBCD	PPI
RECQ4	PPI
RPL10AB	PPI
BBG	PPI
SHTD	PPI
SDT	PPI
UPF2	PPI
CG2861	PPI
CG11380	PPI
LRP1	PPI
CG30460	PPI
TOU	PPI
MPS1	PPI
MSP300	PPI
HSC70-2	PPI
DNAPOL-ALPHA180	PPI
RPS4	PPI
SRP	PPI
SIF	PPI
BETA-SPEC	PPI
PINK1	PPI
TAM	PPI
UNC-89	PPI
BTSZ	PPI
CG2469	PPI
TER94	PPI
EAST	PPI
CG7065	PPI
CG31029	PPI
SWS	PPI
CG3744	PPI
CG6695	PPI
CG11391	PPI
JVL	PPI
CG10841	PPI
CG5270	PPI
CG43143	PPI
CG9932	PPI
PIH1D1	PPI
PAPLA1	PPI
MTD	PPI
IN	PPI
ZIR	PPI
HOP	PPI
S-LAP1	PPI
CG43658	PPI
MYO10A	PPI
OSEG2	PPI
SA-2	PPI
CG13887	PPI
SNAMA	PPI
ASAP	PPI
MIP120	PPI
INTS8	PPI
BETATUB56D	PPI
PHB2	PPI
RPT6	PPI
RACK1	PPI
ALPHATUB84B	PPI
EF2	PPI
OGRE	PPI
ST	PPI
SSRP	PPI
SHN	PPI
TN	PPI
CG7137	PPI
WDE	PPI
CG33310	PPI
ASNS	PPI
UNC-13	PPI
CG5815	PPI
MYO28B1	PPI
CG6512	PPI
VIG2	PPI
RPL21	PPI
CG42748	PPI
CINDR	PPI
NUP358	PPI
DIS3	PPI
BRWD3	PPI
CG42788	PPI
VHAPPA1-1	PPI
CG14395	PPI
PPS	PPI
X11L	PPI
APPL	PPI
CG33543	PPI
L(2)37CB	PPI
CG6700	PPI
NACHRALPHA6	PPI
AKAP200	PPI
CG9044	PPI
PITSLRE	PPI
CG4042	PPI
CG2247	PPI
CG12020	PPI
TUDOR-SN	PPI
SLIK	PPI
CG3499	PPI
CG42797	PPI
TROL	PPI
DIDUM	PPI
PDS5	PPI
SLIM	PPI
PAR-1	PPI
CG8908	PPI
CG30120	PPI
CG43729	PPI
AUB	PPI
TM1	PPI
ACT5C	PPI
PCX	PPI
SERCA	PPI
BNK	PPI
DAB	PPI
CG34124	PPI
IRBP	PPI
CUL4	PPI
ARMI	PPI
CG7768	PPI
ZN72D	PPI
CG31465	PPI
GUG	PPI
PIO	PPI
VIG	PPI
DHC98D	PPI
NUP93-2	PPI
RRP6	PPI
CG15630	PPI
LMANII	PPI
CG12163	PPI
RPP30	PPI
CG14339	PPI
HERC2	PPI
LTL	PPI
IR67B	PPI
HERS	PPI
CG7879	PPI
CG30183	PPI
RTF1	PPI
RPL17	PPI
CG14441	PPI
CG14811	PPI
TRAP1	PPI
BABO	PPI
CAP	PPI
SHOT	PPI
