gene	node_type
EAS	gene
EAS	PPI
HSP27	PPI
CG8993	PPI
RPS3	PPI
CG12321	PPI
MAD	PPI
HSP26	PPI
TGT	PPI
CG8950	PPI
LIS-1	PPI
ALH	PPI
CG32313	PPI
CG9130	PPI
VRET	PPI
CG3726	PPI
ADA2B	PPI
HSP70AA	PPI
GSTE8	PPI
PHB2	PPI
CG12256	PPI
LK6	PPI
ASTC-R1	PPI
CG9596	PPI
XPORT-A	PPI
CG8155	PPI
RPT1	PPI
HSP70BA	PPI
LIM1	PPI
E(Z)	PPI
CG31029	PPI
REF(2)P	PPI
HSP68	PPI
CG18004	PPI
CNN	PPI
LWR	PPI
SU(VAR)3-9	PPI
RPS27A	PPI
RPT5	PPI
HSP23	PPI
CG3434	PPI
BUR	PPI
MED19	PPI
HSP22	PPI
TRXR-2	PPI
NTF-2	PPI
DF31	PPI
FK506-BP2	PPI
PRX2540-2	PPI
REGUCALCIN	PPI
CALR	PPI
SOD1	PPI
CG14042	PPI
FKBP14	PPI
CDK5	PPI
CG5445	PPI
GSTO3	PPI
ANXB10	PPI
SMT3	PPI
CG10638	PPI
NLP	PPI
CG2852	PPI
DPR14	PPI
CG2862	PPI
AWD	PPI
CG2004	PPI
SH3BETA	PPI
TRX-2	PPI
ENO	PPI
MDH2	PPI
FABP	PPI
TOY	PPI
MOB2	PPI
RBP4	PPI
BOCKS	PPI
MST89B	PPI
ZASP52	PPI
FOR	PPI
PGRP-LC	PPI
TAB2	PPI
RPL10AB	PPI
MEI-W68	PPI
TRAF-LIKE	PPI
HPS4	PPI
SPOCK	PPI
ZASP67	PPI
ELBA3	PPI
E2F2	PPI
CG15067	PPI
NANS	PPI
MYO10A	PPI
ND-B14.5A	PPI
CG4896	PPI
CG11380	PPI
SU(SABLE)	PPI
PHYL	PPI
CG32581	PPI
ARI-2	PPI
CG5642	PPI
CP38	PPI
IMD	PPI
NETO	PPI
PAR-1	PPI
TWDLJ	PPI
SPARC	PPI
CG15576	PPI
CG45057	PPI
COX6B	PPI
USP16-45	PPI
MMD	PPI
FADD	PPI
FAS2	PPI
GALPHAO	PPI
CG31731	PPI
CPR73D	PPI
CG8974	PPI
PPN	PPI
RDX	PPI
DGT6	PPI
CG4286	PPI
CG7860	PPI
MTS	PPI
RUMP	PPI
PGRP-LE	PPI
IKKBETA	PPI
REL	PPI
KOI	PPI
LTV1	PPI
E(R)	PPI
NIMC1	PPI
H-CUP	PPI
KEY	PPI
CG33017	PPI
NAPI-III	PPI
RBSN-5	PPI
TAK1	PPI
TWDLW	PPI
CG9510	PPI
CG7264	PPI
A	PPI
MABI	PPI
EWG	PPI
CG16884	PPI
AGO	PPI
CPR92F	PPI
L(2)K14505	PPI
CG7787	PPI
CP36	PPI
TWDLE	PPI
DIAP2	PPI
DREDD	PPI
TWDLD	PPI
VILYA	PPI
CG8368	PPI
ATG5	PPI
CG14667	PPI
CG31999	PPI
CG2046	PPI
PROSBETA3	PPI
RPT4	PPI
RPT2	PPI
POMP	PPI
PROSALPHA3	PPI
CG13319	PPI
PROSBETA5	PPI
RPT6	PPI
PROSBETA6	PPI
PROSBETA2R1	PPI
RPN2	PPI
PROSALPHA7	PPI
PROSALPHA4	PPI
PROSBETA7	PPI
UFD1-LIKE	PPI
CG11885	PPI
REG	PPI
PROSALPHA5	PPI
PROSALPHA2	PPI
PROSALPHA6	PPI
RPT3	PPI
CG30382	PPI
RPN13	PPI
RPN1	PPI
PROSBETA2	PPI
CG14480	PPI
PROSBETA4	PPI
PROSBETA1	PPI
