gene	node_type
APRT	gene
ADGF-A	gene
ADGF-C	gene
ADGF-B	gene
ADGF-A2	gene
ADGF-E	gene
ADGF-D	gene
RY	gene
APRT	PPI
ADGF-A	PPI
ADGF-C	PPI
ADGF-B	PPI
ADGF-A2	PPI
ADGF-E	PPI
ADGF-D	PPI
RY	PPI
SUCB	PPI
CG13220	PPI
TSPO	PPI
MCTS1	PPI
GMD	PPI
RAB7	PPI
TRPRS	PPI
FLW	PPI
MYPT-75D	PPI
I-2	PPI
GDI	PPI
SARA	PPI
PNUTS	PPI
MBS	PPI
SQH	PPI
RPS8	PPI
ZASP66	PPI
PP1-87B	PPI
MOB2	PPI
UQCR-C2	PPI
PI3K68D	PPI
R	PPI
PCB	PPI
MRP	PPI
CSK	PPI
RAB5	PPI
CG12264	PPI
VPS4	PPI
RAB2	PPI
CG3008	PPI
RPT2	PPI
CG11486	PPI
CNX99A	PPI
FASN1	PPI
CP1	PPI
KAP-ALPHA3	PPI
KRZ	PPI
LIP3	PPI
CUL3	PPI
TCP-1ZETA	PPI
CG2064	PPI
TCP-1ETA	PPI
GCS2BETA	PPI
GE-1	PPI
CATHD	PPI
ARF79F	PPI
CG1371	PPI
RAB1	PPI
UQCR-6.4	PPI
VHA68-2	PPI
CYP12D1-P	PPI
GP210	PPI
PP2A-29B	PPI
BCD	PPI
CG8258	PPI
PDK1	PPI
S6K	PPI
BOCA	PPI
PEN	PPI
KLHL10	PPI
SEC13	PPI
MCM7	PPI
AKT1	PPI
SSRBETA	PPI
CG16817	PPI
MPCP	PPI
GLT	PPI
IMPL3	PPI
GLUPRORS	PPI
CAS	PPI
CG5525	PPI
RBP6	PPI
HEL25E	PPI
MEC2	PPI
RPT6	PPI
CG14215	PPI
EFTUM	PPI
SERRS	PPI
CHC	PPI
RANBP9	PPI
LWR	PPI
CG5854	PPI
PORIN	PPI
SIMA	PPI
RPS10B	PPI
KR-H2	PPI
BETACOP	PPI
CG1416	PPI
SU(DX)	PPI
DROJ2	PPI
ASNRS	PPI
GFAT2	PPI
GP93	PPI
CCTGAMMA	PPI
RPT1	PPI
OSTDELTA	PPI
SPIDEY	PPI
CG7787	PPI
SKAP	PPI
CG33303	PPI
L(1)G0156	PPI
WAL	PPI
CG12393	PPI
GALE	PPI
CG12262	PPI
DSOR1	PPI
GIE	PPI
ATPSYNGAMMA	PPI
SERCA	PPI
TAPDELTA	PPI
VAP33	PPI
PAST1	PPI
CG9662	PPI
OST48	PPI
SC2	PPI
SURF4	PPI
PPT1	PPI
CG13601	PPI
RAP2L	PPI
KDELR	PPI
CG2608	PPI
SEC61ALPHA	PPI
BAP60	PPI
PHM	PPI
SLX1	PPI
OX	PPI
TBCB	PPI
BBC	PPI
CG2070	PPI
RAB8	PPI
CG11857	PPI
INTS1	PPI
CG32638	PPI
L(1)G0320	PPI
HSP67BA	PPI
CG11876	PPI
RAB6	PPI
CG10694	PPI
CG8498	PPI
ZPR1	PPI
RAP1	PPI
COX4	PPI
CG12096	PPI
CG15098	PPI
COX2	PPI
MRPL22	PPI
CG8219	PPI
DENR	PPI
MER	PPI
FNTA	PPI
CG6613	PPI
CG11534	PPI
EPG5	PPI
MON1	PPI
JAGN	PPI
CG12012	PPI
E(SPL)M8-HLH	PPI
C11.1	PPI
LRRK	PPI
VPS39	PPI
VPS13	PPI
FLII	PPI
SEC24AB	PPI
VPS35	PPI
ZIP	PPI
RAB14	PPI
RPN1	PPI
RHO	PPI
FZ4	PPI
RPT4	PPI
PSA	PPI
PIH1D1	PPI
CG31974	PPI
KTO	PPI
DNAH3	PPI
OSEG2	PPI
ZORMIN	PPI
SHA	PPI
DPY	PPI
CG43729	PPI
IP3K2	PPI
SOS	PPI
PROMININ-LIKE	PPI
TWDLJ	PPI
DHC93AB	PPI
MEKK1	PPI
CG13157	PPI
ENA	PPI
IDGF4	PPI
ELM	PPI
CG31244	PPI
COROLLA	PPI
PICO	PPI
GBS-76A	PPI
MYO28B1	PPI
CG13991	PPI
CG7856	PPI
TRAP1	PPI
CG30275	PPI
ABL	PPI
VPS13B	PPI
CG5521	PPI
CG5986	PPI
MHCL	PPI
NIPP1	PPI
TM1	PPI
CPR47EG	PPI
CG3262	PPI
PITSLRE	PPI
TOC	PPI
CG6084	PPI
CG9674	PPI
KST	PPI
SLIK	PPI
CG14441	PPI
DCR-2	PPI
MSP300	PPI
ITP-R83A	PPI
UNC-13	PPI
L(3)MBT	PPI
CG2865	PPI
GBS-70E	PPI
CG42748	PPI
CG7029	PPI
TM2	PPI
ZAP3	PPI
CG10889	PPI
PLAP	PPI
SVR	PPI
CG2926	PPI
SMR	PPI
CHT6	PPI
MHC	PPI
TRPL	PPI
CAZ	PPI
LPIN	PPI
MOE	PPI
NOP17L	PPI
EC	PPI
A16	PPI
CG18190	PPI
HLH4C	PPI
