gene1	gene	score
l(2)k01209	kri	0.222222222222222
awd	Vhl	0.222222222222222
awd	awd	0.222222222222222
l(2)k01209	Cda5	0.111111111111111
l(2)k01209	Prp3	0.111111111111111
l(2)k01209	Sem1	0.111111111111111
l(2)k01209	Sk2	0.111111111111111
l(2)k01209	kri	0.111111111111111
l(2)k01209	GAPcenA	0.111111111111111
l(2)k01209	CG1513	0.111111111111111
l(2)k01209	Ask1	0.111111111111111
l(2)k01209	phyl	0.111111111111111
l(2)k01209	CG9986	0.111111111111111
l(2)k01209	CG7818	0.111111111111111
l(2)k01209	CG5376	0.111111111111111
l(2)k01209	RpS29	0.111111111111111
l(2)k01209	CG10494	0.111111111111111
l(2)k01209	CG10650	0.111111111111111
l(2)k01209	CG4908	0.111111111111111
l(2)k01209	RanGAP	0.111111111111111
l(2)k01209	AIF	0.111111111111111
l(2)k01209	CG9205	0.111111111111111
l(2)k01209	Rab30	0.111111111111111
l(2)k01209	CG1603	0.111111111111111
l(2)k01209	az2	0.111111111111111
l(2)k01209	cert	0.111111111111111
l(2)k01209	rdgB	0.111111111111111
Dak1	CG8132	0.111111111111111
awd	Dlc90F	0.111111111111111
awd	CG13962	0.111111111111111
awd	CG1986	0.111111111111111
awd	fabp	0.111111111111111
awd	Sh3beta	0.111111111111111
awd	regucalcin	0.111111111111111
awd	CG14715	0.111111111111111
awd	cib	0.111111111111111
awd	Bacc	0.111111111111111
awd	Nacalpha	0.111111111111111
awd	dod	0.111111111111111
awd	chic	0.111111111111111
awd	CG8036	0.111111111111111
awd	Pgd	0.111111111111111
awd	CG1910	0.111111111111111
awd	TpnC25D	0.111111111111111
awd	CG15818	0.111111111111111
awd	CG32100	0.111111111111111
awd	kdn	0.111111111111111
awd	capt	0.111111111111111
awd	FK506-bp2	0.111111111111111
awd	Cyp1	0.111111111111111
awd	ATPsynbeta	0.111111111111111
awd	CG6084	0.111111111111111
awd	scu	0.111111111111111
awd	Prosalpha4	0.111111111111111
awd	Rtnl1	0.111111111111111
awd	Myo10A	0.111111111111111
awd	Df31	0.111111111111111
awd	smt3	0.111111111111111
awd	CG8993	0.111111111111111
awd	TER94	0.111111111111111
awd	CG5674	0.111111111111111
awd	Prx2540-2	0.111111111111111
awd	Sod1	0.111111111111111
awd	Ntf-2	0.111111111111111
awd	Eb1	0.111111111111111
awd	Hsc70Cb	0.111111111111111
awd	l(2)37Cb	0.111111111111111
awd	eIF-5A	0.111111111111111
awd	PHGPx	0.111111111111111
awd	Hop	0.111111111111111
awd	CG16817	0.111111111111111
awd	Snx3	0.111111111111111
awd	EF2	0.111111111111111
awd	Inos	0.111111111111111
awd	CG5445	0.111111111111111
awd	DNaseII	0.111111111111111
awd	Akap200	0.111111111111111
awd	comm3	0.111111111111111
awd	RpS21	0.111111111111111
awd	Ald	0.111111111111111
awd	Trx-2	0.111111111111111
awd	Tctp	0.111111111111111
awd	RhoGDI	0.111111111111111
awd	AnxB10	0.111111111111111
awd	Sema1a	0.111111111111111
awd	Cam	0.111111111111111
awd	14-3-3epsilon	0.111111111111111
awd	CG7372	0.111111111111111
awd	CG30339	0.111111111111111
awd	CG8117	0.111111111111111
awd	CG15141	0.111111111111111
awd	CG5355	0.111111111111111
awd	CG2852	0.111111111111111
awd	CG4598	0.111111111111111
awd	ZIPIC	0.111111111111111
awd	Jupiter	0.111111111111111
awd	Calr	0.111111111111111
awd	Arfrp1	0.111111111111111
awd	CG10265	0.111111111111111
awd	scf	0.111111111111111
awd	yip2	0.111111111111111
awd	CG2862	0.111111111111111
awd	CG11267	0.111111111111111
awd	GstO3	0.111111111111111
awd	CG7430	0.111111111111111
awd	Pglym78	0.111111111111111
awd	Mdh2	0.111111111111111
awd	CG30382	0.111111111111111
awd	CG7054	0.111111111111111
awd	zip	0.111111111111111
awd	Moe	0.111111111111111
awd	HmgD	0.111111111111111
awd	ATPsynCF6	0.111111111111111
awd	PCNA	0.111111111111111
awd	CG8891	0.111111111111111
awd	Eaf6	0.111111111111111
awd	Pgk	0.111111111111111
awd	Hsp60A	0.111111111111111
awd	Fkbp14	0.111111111111111
awd	PHDP	0.111111111111111
awd	Act57B	0.111111111111111
awd	Pdi	0.111111111111111
awd	Trxr-1	0.111111111111111
awd	Eno	0.111111111111111
awd	Uch	0.111111111111111
awd	EndoGI	0.111111111111111
awd	Sgf11	0.111111111111111
awd	CG10638	0.111111111111111
awd	Mip	0.111111111111111
awd	Chd64	0.111111111111111
awd	14-3-3zeta	0.111111111111111
awd	Nlp	0.111111111111111
awd	sob	0.111111111111111
awd	ERp60	0.111111111111111
awd	eEF1delta	0.111111111111111
nmdyn-D7	CG9813	0.111111111111111
nmdyn-D7	Cpr73D	0.111111111111111
nmdyn-D7	spartin	0.111111111111111
nmdyn-D7	CG13955	0.111111111111111
nmdyn-D7	CG17230	0.111111111111111
phyl	sina	0.0864197530864198
smt3	lwr	0.0740740740740741
14-3-3epsilon	yki	0.0617283950617284
14-3-3zeta	yki	0.0617283950617284
kri	l(2)k01209	0.0493827160493827
Vhl	awd	0.0493827160493827
Vhl	betaTub56D	0.0493827160493827
awd	Vhl	0.0493827160493827
awd	awd	0.0493827160493827
phyl	ttk	0.0493827160493827
Dlc90F	sw	0.0493827160493827
Ald	Ald	0.0493827160493827
14-3-3epsilon	chico	0.0493827160493827
14-3-3zeta	chico	0.0493827160493827
CG7818	Ime4	0.037037037037037
PCNA	PCNA	0.037037037037037
Sgf11	not	0.037037037037037
Sgf11	Ada2b	0.037037037037037
kri	CG2278	0.0246913580246914
kri	cpb	0.0246913580246914
kri	Rab6	0.0246913580246914
kri	Prp3	0.0246913580246914
kri	l(2)k01209	0.0246913580246914
kri	opa	0.0246913580246914
kri	CG31008	0.0246913580246914
kri	CG12428	0.0246913580246914
kri	Ns3	0.0246913580246914
kri	CG5111	0.0246913580246914
kri	koi	0.0246913580246914
Vhl	Trc8	0.0246913580246914
Vhl	Vhl	0.0246913580246914
Vhl	betaTub97EF	0.0246913580246914
Vhl	aPKC	0.0246913580246914
Vhl	betaTub60D	0.0246913580246914
Vhl	mgr	0.0246913580246914
awd	Dlc90F	0.0246913580246914
awd	CG13962	0.0246913580246914
awd	CG1986	0.0246913580246914
awd	fabp	0.0246913580246914
awd	Sh3beta	0.0246913580246914
awd	regucalcin	0.0246913580246914
awd	CG14715	0.0246913580246914
awd	cib	0.0246913580246914
awd	Bacc	0.0246913580246914
awd	Nacalpha	0.0246913580246914
awd	dod	0.0246913580246914
awd	chic	0.0246913580246914
awd	CG8036	0.0246913580246914
awd	Pgd	0.0246913580246914
awd	CG1910	0.0246913580246914
awd	TpnC25D	0.0246913580246914
awd	CG15818	0.0246913580246914
awd	CG32100	0.0246913580246914
awd	kdn	0.0246913580246914
awd	capt	0.0246913580246914
awd	FK506-bp2	0.0246913580246914
awd	Cyp1	0.0246913580246914
awd	ATPsynbeta	0.0246913580246914
awd	CG6084	0.0246913580246914
awd	scu	0.0246913580246914
awd	Prosalpha4	0.0246913580246914
awd	Rtnl1	0.0246913580246914
awd	Myo10A	0.0246913580246914
awd	Df31	0.0246913580246914
awd	smt3	0.0246913580246914
awd	CG8993	0.0246913580246914
awd	TER94	0.0246913580246914
awd	CG5674	0.0246913580246914
awd	Prx2540-2	0.0246913580246914
awd	Sod1	0.0246913580246914
awd	Ntf-2	0.0246913580246914
awd	Eb1	0.0246913580246914
awd	Hsc70Cb	0.0246913580246914
awd	l(2)37Cb	0.0246913580246914
awd	eIF-5A	0.0246913580246914
awd	PHGPx	0.0246913580246914
awd	Hop	0.0246913580246914
awd	CG16817	0.0246913580246914
awd	Snx3	0.0246913580246914
awd	EF2	0.0246913580246914
awd	Inos	0.0246913580246914
awd	CG5445	0.0246913580246914
awd	DNaseII	0.0246913580246914
awd	Akap200	0.0246913580246914
awd	comm3	0.0246913580246914
awd	RpS21	0.0246913580246914
awd	Ald	0.0246913580246914
awd	Trx-2	0.0246913580246914
awd	Tctp	0.0246913580246914
awd	RhoGDI	0.0246913580246914
awd	AnxB10	0.0246913580246914
awd	Sema1a	0.0246913580246914
awd	Cam	0.0246913580246914
awd	14-3-3epsilon	0.0246913580246914
awd	CG7372	0.0246913580246914
awd	CG30339	0.0246913580246914
awd	CG8117	0.0246913580246914
awd	CG15141	0.0246913580246914
awd	CG5355	0.0246913580246914
awd	CG2852	0.0246913580246914
awd	CG4598	0.0246913580246914
awd	ZIPIC	0.0246913580246914
awd	Jupiter	0.0246913580246914
awd	Calr	0.0246913580246914
awd	Arfrp1	0.0246913580246914
awd	CG10265	0.0246913580246914
awd	scf	0.0246913580246914
awd	yip2	0.0246913580246914
awd	CG2862	0.0246913580246914
awd	CG11267	0.0246913580246914
awd	GstO3	0.0246913580246914
awd	CG7430	0.0246913580246914
awd	Pglym78	0.0246913580246914
awd	Mdh2	0.0246913580246914
awd	CG30382	0.0246913580246914
