gene	node_type
L(2)K01209	gene
UCK	gene
DAK1	gene
DMEL\CG3788	gene
BCDNA:LP03131	gene
DMEL\CG8353	gene
DMEL\CG8349	gene
AWD	gene
NMDYN-D6	gene
NMDYN-D7	gene
DMEL\CG15547	gene
DMEL\CG14221	gene
L(2)K01209	PPI
UCK	PPI
DAK1	PPI
DMEL\CG3788	PPI
BCDNA:LP03131	PPI
DMEL\CG8353	PPI
DMEL\CG8349	PPI
AWD	PPI
NMDYN-D6	PPI
NMDYN-D7	PPI
DMEL\CG15547	PPI
DMEL\CG14221	PPI
KRI	PPI
VHL	PPI
CDA5	PPI
PRP3	PPI
SEM1	PPI
SK2	PPI
GAPCENA	PPI
CG1513	PPI
ASK1	PPI
PHYL	PPI
CG9986	PPI
CG7818	PPI
CG5376	PPI
RPS29	PPI
CG10494	PPI
CG10650	PPI
CG4908	PPI
RANGAP	PPI
AIF	PPI
CG9205	PPI
RAB30	PPI
CG1603	PPI
AZ2	PPI
CERT	PPI
RDGB	PPI
CG8132	PPI
DLC90F	PPI
CG13962	PPI
CG1986	PPI
FABP	PPI
SH3BETA	PPI
REGUCALCIN	PPI
CG14715	PPI
CIB	PPI
BACC	PPI
NACALPHA	PPI
DOD	PPI
CHIC	PPI
CG8036	PPI
PGD	PPI
CG1910	PPI
TPNC25D	PPI
CG15818	PPI
CG32100	PPI
KDN	PPI
CAPT	PPI
FK506-BP2	PPI
CYP1	PPI
ATPSYNBETA	PPI
CG6084	PPI
SCU	PPI
PROSALPHA4	PPI
RTNL1	PPI
MYO10A	PPI
DF31	PPI
SMT3	PPI
CG8993	PPI
TER94	PPI
CG5674	PPI
PRX2540-2	PPI
SOD1	PPI
NTF-2	PPI
EB1	PPI
HSC70CB	PPI
L(2)37CB	PPI
EIF-5A	PPI
PHGPX	PPI
HOP	PPI
CG16817	PPI
SNX3	PPI
EF2	PPI
INOS	PPI
CG5445	PPI
DNASEII	PPI
AKAP200	PPI
COMM3	PPI
RPS21	PPI
ALD	PPI
TRX-2	PPI
TCTP	PPI
RHOGDI	PPI
ANXB10	PPI
SEMA1A	PPI
CAM	PPI
14-3-3EPSILON	PPI
CG7372	PPI
CG30339	PPI
CG8117	PPI
CG15141	PPI
CG5355	PPI
CG2852	PPI
CG4598	PPI
ZIPIC	PPI
JUPITER	PPI
CALR	PPI
ARFRP1	PPI
CG10265	PPI
SCF	PPI
YIP2	PPI
CG2862	PPI
CG11267	PPI
GSTO3	PPI
CG7430	PPI
PGLYM78	PPI
MDH2	PPI
CG30382	PPI
CG7054	PPI
ZIP	PPI
MOE	PPI
HMGD	PPI
ATPSYNCF6	PPI
PCNA	PPI
CG8891	PPI
EAF6	PPI
PGK	PPI
HSP60A	PPI
FKBP14	PPI
PHDP	PPI
ACT57B	PPI
PDI	PPI
TRXR-1	PPI
ENO	PPI
UCH	PPI
ENDOGI	PPI
SGF11	PPI
CG10638	PPI
MIP	PPI
CHD64	PPI
14-3-3ZETA	PPI
NLP	PPI
SOB	PPI
ERP60	PPI
EEF1DELTA	PPI
CG9813	PPI
CPR73D	PPI
SPARTIN	PPI
CG13955	PPI
CG17230	PPI
SINA	PPI
LWR	PPI
YKI	PPI
BETATUB56D	PPI
TTK	PPI
SW	PPI
CHICO	PPI
IME4	PPI
NOT	PPI
ADA2B	PPI
CG2278	PPI
CPB	PPI
RAB6	PPI
OPA	PPI
CG31008	PPI
CG12428	PPI
NS3	PPI
CG5111	PPI
KOI	PPI
TRC8	PPI
BETATUB97EF	PPI
APKC	PPI
BETATUB60D	PPI
MGR	PPI
CG4709	PPI
VAP33	PPI
BICD	PPI
IKKEPSILON	PPI
CBS	PPI
GOLGIN245	PPI
P115	PPI
GM130	PPI
REP	PPI
CG7324	PPI
GCC88	PPI
BIC	PPI
ACT42A	PPI
ACT5C	PPI
BLW	PPI
ATPSYNDELTA	PPI
ATPSYNO	PPI
RSWL	PPI
PROSBETA5	PPI
PROSBETA3	PPI
FIP1	PPI
UBA2	PPI
MAD	PPI
GINT3	PPI
NPL4	PPI
DREDD	PPI
SHOT	PPI
NCD	PPI
HSP83	PPI
IMD	PPI
RHEB	PPI
NINAC	PPI
KCNQ	PPI
DIDUM	PPI
CRAG	PPI
D	PPI
CAMKII	PPI
TRPL	PPI
RIC	PPI
CK	PPI
JAR	PPI
ASP	PPI
INAD	PPI
CENP-C	PPI
TSC1	PPI
FOXO	PPI
GIG	PPI
GPDH	PPI
MLC-C	PPI
CONU	PPI
MER	PPI
ATPSYNE	PPI
ATPSYNF	PPI
ATPSYNB	PPI
ATPSYND	PPI
SUN	PPI
ATPSYNG	PPI
DAP	PPI
E(Y)2	PPI
GCN5	PPI
NPH	PPI
HIS3:CG31613	PPI
HIS2B:CG17949	PPI
HIS2A:CG31618	PPI
HIS4:CG31611	PPI
PROTA	PPI
CG14641	PPI
CP38	PPI
FD59A	PPI
ELB	PPI
CI	PPI
CP36	PPI
CPR92F	PPI
SPX	PPI
CG8301	PPI
CG5665	PPI
