gene	node_type
AAY	gene
AAY	PPI
PH4ALPHANE2	PPI
SSTN	PPI
NOA36	PPI
CG13157	PPI
CP7FC	PPI
CG9411	PPI
MTS	PPI
E(BX)	PPI
CLECT27	PPI
SOD1	PPI
CAND1	PPI
CG10933	PPI
TAB2	PPI
CG9911	PPI
CG12645	PPI
STEP	PPI
PXT	PPI
SERCA	PPI
PAX	PPI
CPR72EA	PPI
RACK1	PPI
CG9083	PPI
CUP	PPI
LOST	PPI
ROD	PPI
CG8907	PPI
CG8927	PPI
CYCB	PPI
CG13321	PPI
CCP84AB	PPI
EIF4G	PPI
GS1	PPI
FAF	PPI
CCP84AA	PPI
CG4287	PPI
PEN	PPI
TWDLE	PPI
BRAT	PPI
SMG	PPI
ADI1	PPI
MPCP	PPI
CNN	PPI
CG17919	PPI
DA	PPI
CG1850	PPI
CG17018	PPI
RANBP9	PPI
YP3	PPI
