gene1	gene	score
Fpps	CG17134	0.111111111111111
Fpps	Neos	0.111111111111111
Fpps	Act5C	0.111111111111111
Fpps	GstE1	0.111111111111111
Fpps	vas	0.111111111111111
Fpps	mtSSB	0.111111111111111
Fpps	Rae1	0.111111111111111
Act5C	brm	0.0617283950617284
vas	gus	0.0493827160493827
Act5C	spir	0.037037037037037
Act5C	capt	0.0246913580246914
Act5C	Mical	0.0246913580246914
Rae1	Nup98-96	0.0246913580246914
CG17134	Gbeta76C	0.0123456790123457
CG17134	CG10565	0.0123456790123457
CG17134	Su(fu)	0.0123456790123457
CG17134	Fpps	0.0123456790123457
CG17134	Or22a	0.0123456790123457
Neos	Pink1	0.0123456790123457
Neos	CG32486	0.0123456790123457
Neos	psidin	0.0123456790123457
Neos	CG11807	0.0123456790123457
Neos	ZAP3	0.0123456790123457
Neos	rin	0.0123456790123457
Neos	Ada2b	0.0123456790123457
Neos	CG18131	0.0123456790123457
Neos	Wee1	0.0123456790123457
Neos	CG41099	0.0123456790123457
Neos	MEP-1	0.0123456790123457
Neos	CG1324	0.0123456790123457
Neos	ATPsynE	0.0123456790123457
Neos	C15	0.0123456790123457
Neos	Neos	0.0123456790123457
Neos	AP-1gamma	0.0123456790123457
Neos	didum	0.0123456790123457
Neos	CG14929	0.0123456790123457
Neos	Slip1	0.0123456790123457
Neos	CG4729	0.0123456790123457
Neos	mmd	0.0123456790123457
Neos	CG6084	0.0123456790123457
Neos	Xbp1	0.0123456790123457
Neos	TwdlB	0.0123456790123457
Neos	CG33111	0.0123456790123457
Neos	CG4747	0.0123456790123457
Neos	TwdlM	0.0123456790123457
Neos	Fpps	0.0123456790123457
Neos	CG14438	0.0123456790123457
Neos	Myc	0.0123456790123457
Neos	c-cup	0.0123456790123457
Neos	RpL9	0.0123456790123457
Neos	CG31131	0.0123456790123457
Neos	Mondo	0.0123456790123457
Neos	CG9173	0.0123456790123457
Neos	CG9914	0.0123456790123457
Neos	RNASEK	0.0123456790123457
Neos	TwdlL	0.0123456790123457
Neos	VhaM9.7-a	0.0123456790123457
Neos	unc-45	0.0123456790123457
Act5C	hfp	0.0123456790123457
Act5C	Cpr92A	0.0123456790123457
Act5C	PGRP-LE	0.0123456790123457
Act5C	CG34354	0.0123456790123457
Act5C	CG6707	0.0123456790123457
Act5C	CG4662	0.0123456790123457
Act5C	RhoGAP5A	0.0123456790123457
