gene	node_type
FPPS	gene
FPPS	PPI
CG17134	PPI
NEOS	PPI
ACT5C	PPI
GSTE1	PPI
VAS	PPI
MTSSB	PPI
RAE1	PPI
BRM	PPI
GUS	PPI
SPIR	PPI
CAPT	PPI
MICAL	PPI
NUP98-96	PPI
GBETA76C	PPI
CG10565	PPI
SU(FU)	PPI
OR22A	PPI
PINK1	PPI
CG32486	PPI
PSIDIN	PPI
CG11807	PPI
ZAP3	PPI
RIN	PPI
ADA2B	PPI
CG18131	PPI
WEE1	PPI
CG41099	PPI
MEP-1	PPI
CG1324	PPI
ATPSYNE	PPI
C15	PPI
AP-1GAMMA	PPI
DIDUM	PPI
CG14929	PPI
SLIP1	PPI
CG4729	PPI
MMD	PPI
CG6084	PPI
XBP1	PPI
TWDLB	PPI
CG33111	PPI
CG4747	PPI
TWDLM	PPI
CG14438	PPI
MYC	PPI
C-CUP	PPI
RPL9	PPI
CG31131	PPI
MONDO	PPI
CG9173	PPI
CG9914	PPI
RNASEK	PPI
TWDLL	PPI
VHAM9.7-A	PPI
UNC-45	PPI
HFP	PPI
CPR92A	PPI
PGRP-LE	PPI
CG34354	PPI
CG6707	PPI
CG4662	PPI
RHOGAP5A	PPI
H-CUP	PPI
CAPA	PPI
CG42709	PPI
NF-YC	PPI
ROX8	PPI
A16	PPI
INTS14	PPI
TRL	PPI
LASP	PPI
DUTPASE	PPI
CG7518	PPI
CG6550	PPI
BS	PPI
CPR64AD	PPI
SEC24CD	PPI
CG32369	PPI
CG13721	PPI
GIRDIN	PPI
CG32264	PPI
GUG	PPI
CG10657	PPI
CG31211	PPI
ZN72D	PPI
COX5A	PPI
RERE	PPI
CG2736	PPI
TCS3	PPI
CG31125	PPI
HEM	PPI
TAMO	PPI
CG11581	PPI
CHOP24	PPI
PI3K92E	PPI
OSA	PPI
CG32099	PPI
CG8668	PPI
CG5466	PPI
NOT10	PPI
CG9572	PPI
OSK	PPI
TRISSINR	PPI
CG17746	PPI
NOC	PPI
CG11505	PPI
DAT	PPI
DA	PPI
DREDD	PPI
RHEB	PPI
GIG	PPI
ATG5	PPI
CG17124	PPI
CG10026	PPI
CAPU	PPI
FOXO	PPI
FAS2	PPI
PHO	PPI
UFL1	PPI
SC	PPI
CG9911	PPI
RPN13	PPI
S6K	PPI
CG12691	PPI
CG4313	PPI
SCRA	PPI
OR9A	PPI
MBL	PPI
AC	PPI
MOR	PPI
PEX5	PPI
SBA	PPI
KERMIT	PPI
CG10914	PPI
CG11964	PPI
ATPSYNBETA	PPI
FER	PPI
CNC	PPI
CG17486	PPI
CG15602	PPI
CG8206	PPI
SPSB2	PPI
DCR-1	PPI
PIWI	PPI
RBP1	PPI
SPSB4	PPI
SPSB1	PPI
SLAM	PPI
ART4	PPI
FMR1	PPI
ART1	PPI
FSN	PPI
FAF	PPI
RPS27A	PPI
CG14907	PPI
TFAP-2	PPI
SOD1	PPI
CG9784	PPI
NTF-2	PPI
CG2162	PPI
TAF5	PPI
CG4753	PPI
CG7856	PPI
CG42557	PPI
CG10214	PPI
HO	PPI
CG15564	PPI
TANGO2	PPI
CG1532	PPI
DUBAI	PPI
SIK2	PPI
HIW	PPI
YKI	PPI
CG18787	PPI
ARC1	PPI
RPS21	PPI
DOC2	PPI
DF31	PPI
TRX-2	PPI
CG7049	PPI
SWIP-1	PPI
TREH	PPI
MTG	PPI
GOT1	PPI
CG18789	PPI
CG3726	PPI
CHD64	PPI
HSF	PPI
ZIP	PPI
WDR82	PPI
CG1129	PPI
SOB	PPI
CG31142	PPI
ART8	PPI
ALPHA-EST2	PPI
REGUCALCIN	PPI
UBC7	PPI
CG14543	PPI
ALPHATRY	PPI
ARR1	PPI
