gene	node_type
TREH	gene
DMEL\CG6262	gene
CG6262	gene
TREH	PPI
DMEL\CG6262	PPI
CG14450	PPI
CM	PPI
GOT1	PPI
GRSM	PPI
CG1218	PPI
CG18787	PPI
SOD1	PPI
ZW	PPI
CG2091	PPI
TRX-2	PPI
E23	PPI
RAE1	PPI
HIP	PPI
ARC1	PPI
ART8	PPI
UGP	PPI
CG10672	PPI
CG4603	PPI
CG11777	PPI
PATSAS	PPI
CG1532	PPI
CG18789	PPI
IRC	PPI
CG6218	PPI
CG14543	PPI
CG3544	PPI
CCS	PPI
CG7049	PPI
CG18081	PPI
CG13893	PPI
RPS21	PPI
DREDD	PPI
NUP98-96	PPI
RPS26	PPI
CG7135	PPI
RAB6	PPI
SLIP1	PPI
RPT4R	PPI
RGK2	PPI
TAF6	PPI
PHDP	PPI
CG31036	PPI
USF	PPI
CG4554	PPI
SAS-4	PPI
CG14965	PPI
OR98B	PPI
BTHD	PPI
ALPHA-EST2	PPI
WDR82	PPI
STY	PPI
CG1129	PPI
CG7492	PPI
CG8229	PPI
BACC	PPI
MED9	PPI
P32	PPI
RPLP1	PPI
TPI	PPI
PR	PPI
CG32103	PPI
CG34404	PPI
AHCYL1	PPI
CG8036	PPI
HSP67BA	PPI
CG6171	PPI
CG6432	PPI
CG2540	PPI
CG9784	PPI
CG1307	PPI
CG12375	PPI
SLU7	PPI
SO	PPI
HSF	PPI
DOC2	PPI
SW	PPI
CG14506	PPI
PP1-13C	PPI
RPS12	PPI
TAF5	PPI
DF31	PPI
SOB	PPI
CG14036	PPI
FK506-BP2	PPI
CG8993	PPI
CG3630	PPI
CIB	PPI
CG7737	PPI
IMD	PPI
FABP	PPI
DUBAI	PPI
REGUCALCIN	PPI
NTF-2	PPI
PGRP-LE	PPI
MTSSB	PPI
PGRP-LC	PPI
CG10638	PPI
CG4278	PPI
SSTN	PPI
SMT3	PPI
REL	PPI
ZPR1	PPI
CG2862	PPI
NLP	PPI
CG2852	PPI
TANGO2	PPI
KEY	PPI
TAB2	PPI
CALR	PPI
CYP1	PPI
PDI	PPI
CG4570	PPI
ENO	PPI
CG14715	PPI
CHD64	PPI
CG10214	PPI
IKKBETA	PPI
DIAP2	PPI
TAK1	PPI
TRXR-1	PPI
AWD	PPI
SH3BETA	PPI
FADD	PPI
ANXB10	PPI
SPN-B	PPI
HS3ST-B	PPI
MSP300	PPI
HOMER	PPI
RGL	PPI
EF1GAMMA	PPI
CG12379	PPI
RPS3A	PPI
RPII18	PPI
DL	PPI
PHGPX	PPI
MDH2	PPI
PCNA	PPI
NACALPHA	PPI
UEV1A	PPI
EIP63E	PPI
CG11267	PPI
PRX2540-2	PPI
CG12200	PPI
RDHB	PPI
RHI	PPI
SCU	PPI
CG6084	PPI
FKBP14	PPI
ALPHATRY	PPI
CG9391	PPI
UCH	PPI
GSTO3	PPI
SKPB	PPI
TWDLW	PPI
KP78B	PPI
HIW	PPI
YKI	PPI
SWIP-1	PPI
MTG	PPI
CG3726	PPI
ZIP	PPI
FPPS	PPI
CG31142	PPI
UBC7	PPI
FSN	PPI
ARR1	PPI
CG32099	PPI
RIM2	PPI
RABX1	PPI
VANIN-LIKE	PPI
CCT1	PPI
MTD	PPI
DAW	PPI
CLIC	PPI
CG9780	PPI
CG15279	PPI
CG31206	PPI
SCED	PPI
APPL	PPI
IPK2	PPI
SYND	PPI
CG1806	PPI
CG32631	PPI
HEXO1	PPI
ALPHA-EST5	PPI
CG6282	PPI
MSR1	PPI
AMYREL	PPI
CG5902	PPI
CG14034	PPI
CG1635	PPI
CPR49AC	PPI
ADA2B	PPI
CG5044	PPI
CG5568	PPI
GYC89DB	PPI
TSR	PPI
CG14353	PPI
GSTE10	PPI
CG31882	PPI
SEP2	PPI
PAN	PPI
ECD	PPI
RPS27A	PPI
CG32440	PPI
PNUT	PPI
CG4813	PPI
INSB	PPI
DRONC	PPI
GS1	PPI
GYC89DA	PPI
CPR64AD	PPI
CNK	PPI
CG34382	PPI
RAF	PPI
S6KII	PPI
SRC42A	PPI
TSC1	PPI
CG15739	PPI
MYC	PPI
CG6543	PPI
RAS85D	PPI
DYS	PPI
RPL12	PPI
NTMT	PPI
ELOB	PPI
EN	PPI
IMPL3	PPI
CG10602	PPI
DIC1	PPI
CG5111	PPI
CG15676	PPI
KIBRA	PPI
RPN11	PPI
PHB2	PPI
CG6180	PPI
GAPDH2	PPI
CG11327	PPI
HEY	PPI
EIF-1A	PPI
CG10265	PPI
MMD	PPI
RHOGAP68F	PPI
SLMAP	PPI
CG12404	PPI
HR39	PPI
HSP60A	PPI
