gene1	gene	score
Faa	bru3	0.111111111111111
Faa	PhKgamma	0.111111111111111
Faa	gammaTub37C	0.111111111111111
Faa	CG32772	0.111111111111111
Faa	coro	0.111111111111111
Faa	CG8475	0.111111111111111
Faa	CG7766	0.111111111111111
Faa	CG11327	0.111111111111111
hgo	hgo	0.111111111111111
gammaTub37C	Sas-4	0.037037037037037
gammaTub37C	Grip75	0.037037037037037
gammaTub37C	Grip91	0.0246913580246914
gammaTub37C	Grip84	0.0246913580246914
gammaTub37C	Grip163	0.0246913580246914
gammaTub37C	cnn	0.0246913580246914
gammaTub37C	Grip128	0.0246913580246914
bru3	TwdlC	0.0123456790123457
bru3	PhKgamma	0.0123456790123457
bru3	gammaTub37C	0.0123456790123457
bru3	coro	0.0123456790123457
bru3	CG7766	0.0123456790123457
bru3	Faa	0.0123456790123457
bru3	mRpL1	0.0123456790123457
bru3	CG8475	0.0123456790123457
PhKgamma	bru3	0.0123456790123457
PhKgamma	Faa	0.0123456790123457
PhKgamma	Kaz1-ORFB	0.0123456790123457
PhKgamma	mRpL1	0.0123456790123457
PhKgamma	CG12126	0.0123456790123457
PhKgamma	Drep3	0.0123456790123457
PhKgamma	Mlp84B	0.0123456790123457
PhKgamma	Tsp	0.0123456790123457
PhKgamma	CG15141	0.0123456790123457
PhKgamma	coro	0.0123456790123457
PhKgamma	CG17377	0.0123456790123457
PhKgamma	CG8475	0.0123456790123457
PhKgamma	Iris	0.0123456790123457
PhKgamma	CG7766	0.0123456790123457
PhKgamma	gammaTub37C	0.0123456790123457
PhKgamma	mRpL23	0.0123456790123457
PhKgamma	Sec61alpha	0.0123456790123457
PhKgamma	CG11448	0.0123456790123457
gammaTub37C	Bsg25D	0.0123456790123457
gammaTub37C	swa	0.0123456790123457
gammaTub37C	Ote	0.0123456790123457
gammaTub37C	mael	0.0123456790123457
gammaTub37C	bru3	0.0123456790123457
gammaTub37C	coro	0.0123456790123457
gammaTub37C	Faa	0.0123456790123457
gammaTub37C	mRpL1	0.0123456790123457
gammaTub37C	Cnb	0.0123456790123457
gammaTub37C	Iris	0.0123456790123457
gammaTub37C	GILT3	0.0123456790123457
gammaTub37C	CG16721	0.0123456790123457
gammaTub37C	Grip71	0.0123456790123457
gammaTub37C	PhKgamma	0.0123456790123457
gammaTub37C	CG7766	0.0123456790123457
gammaTub37C	Map60	0.0123456790123457
gammaTub37C	Cp190	0.0123456790123457
gammaTub37C	CG8475	0.0123456790123457
gammaTub37C	mRpL23	0.0123456790123457
CG32772	CG13097	0.0123456790123457
CG32772	Hsp70Aa	0.0123456790123457
CG32772	Faa	0.0123456790123457
CG32772	CG11164	0.0123456790123457
CG32772	CG15365	0.0123456790123457
CG32772	CG32694	0.0123456790123457
CG32772	Cpr76Ba	0.0123456790123457
CG32772	MtnB	0.0123456790123457
CG32772	Nacalpha	0.0123456790123457
CG32772	B52	0.0123456790123457
CG32772	Spn28B	0.0123456790123457
CG32772	CG9302	0.0123456790123457
CG32772	Ipk2	0.0123456790123457
CG32772	Bsg25D	0.0123456790123457
CG32772	Or2a	0.0123456790123457
CG32772	fax	0.0123456790123457
CG32772	CG6409	0.0123456790123457
CG32772	ssp2	0.0123456790123457
CG32772	CG6287	0.0123456790123457
CG32772	CG33470	0.0123456790123457
CG32772	Diap1	0.0123456790123457
CG32772	Fer3	0.0123456790123457
