gene1	gene	score
ras	ras	0.111111111111111
ras	CG2199	0.111111111111111
ras	CG8152	0.111111111111111
ras	CG13996	0.111111111111111
ras	PCNA	0.111111111111111
ras	SkpB	0.111111111111111
veil	mei-W68	0.111111111111111
veil	CG5787	0.111111111111111
veil	par-1	0.111111111111111
veil	Bacc	0.111111111111111
veil	RpL5	0.111111111111111
veil	COX7C	0.111111111111111
ry	flw	0.111111111111111
PCNA	PCNA	0.037037037037037
SkpB	Fsn	0.037037037037037
SkpB	CG7148	0.037037037037037
flw	MYPT-75D	0.037037037037037
flw	I-2	0.037037037037037
PCNA	dap	0.0246913580246914
SkpB	ntc	0.0246913580246914
flw	Sara	0.0246913580246914
flw	PNUTS	0.0246913580246914
flw	Mbs	0.0246913580246914
flw	sqh	0.0246913580246914
flw	RpS8	0.0246913580246914
flw	Zasp66	0.0246913580246914
flw	Pp1-87B	0.0246913580246914
ras	ras	0.0123456790123457
ras	CG2199	0.0123456790123457
ras	CG8152	0.0123456790123457
ras	CG13996	0.0123456790123457
ras	PCNA	0.0123456790123457
ras	SkpB	0.0123456790123457
CG2199	CG10324	0.0123456790123457
CG2199	Smn	0.0123456790123457
CG2199	DCTN2-p50	0.0123456790123457
CG2199	CG9641	0.0123456790123457
CG2199	CG31211	0.0123456790123457
CG2199	Syx1A	0.0123456790123457
CG2199	tra2	0.0123456790123457
CG2199	TBPH	0.0123456790123457
CG2199	chinmo	0.0123456790123457
CG2199	elB	0.0123456790123457
CG2199	Ntf-2	0.0123456790123457
CG2199	bocks	0.0123456790123457
CG2199	CG2046	0.0123456790123457
CG2199	Pat1	0.0123456790123457
CG2199	RPA3	0.0123456790123457
CG2199	jigr1	0.0123456790123457
CG2199	lola	0.0123456790123457
CG2199	CG3689	0.0123456790123457
CG2199	CG9911	0.0123456790123457
CG2199	AnxB11	0.0123456790123457
CG2199	Pi3K21B	0.0123456790123457
CG2199	Fmr1	0.0123456790123457
CG2199	CG5953	0.0123456790123457
CG2199	Rb97D	0.0123456790123457
CG2199	Ote	0.0123456790123457
CG2199	CG13148	0.0123456790123457
CG2199	ras	0.0123456790123457
CG2199	CG18766	0.0123456790123457
CG2199	CG13124	0.0123456790123457
CG2199	CG32071	0.0123456790123457
CG2199	CG6664	0.0123456790123457
CG2199	CG3918	0.0123456790123457
CG2199	Srp68	0.0123456790123457
CG2199	CG3294	0.0123456790123457
CG2199	CG3517	0.0123456790123457
CG2199	SC35	0.0123456790123457
CG2199	TFAM	0.0123456790123457
CG2199	Gnf1	0.0123456790123457
CG2199	CG15167	0.0123456790123457
CG2199	mxc	0.0123456790123457
CG2199	CG14454	0.0123456790123457
CG2199	eIF-1A	0.0123456790123457
CG2199	CG6951	0.0123456790123457
CG2199	gcl	0.0123456790123457
CG2199	PGRP-LE	0.0123456790123457
CG2199	lark	0.0123456790123457
CG2199	Prp3	0.0123456790123457
CG2199	Rbp1	0.0123456790123457
CG2199	rdgA	0.0123456790123457
CG2199	gcm	0.0123456790123457
CG2199	ArfGAP3	0.0123456790123457
CG2199	MED17	0.0123456790123457
CG2199	MED11	0.0123456790123457
CG2199	14-3-3epsilon	0.0123456790123457
CG2199	hng1	0.0123456790123457
CG2199	Hsp23	0.0123456790123457
CG2199	CG14830	0.0123456790123457
CG2199	CG13928	0.0123456790123457
CG2199	Cpr49Ae	0.0123456790123457
CG2199	Ddc	0.0123456790123457
CG2199	Hel25E	0.0123456790123457
CG2199	CG10663	0.0123456790123457
CG2199	UbcE2H	0.0123456790123457
CG2199	MED14	0.0123456790123457
CG2199	CG14879	0.0123456790123457
CG2199	CG14545	0.0123456790123457
CG2199	Jra	0.0123456790123457
