gene	node_type
PMM2	gene
PMM1	gene
MPI	gene
GMPPB	gene
GPI	gene
DHX15	PPI
ACSL4	PPI
EIF4E2	PPI
CDC14B	PPI
DNAJA2	PPI
CLUH	PPI
ATP2C2	PPI
CS	PPI
CLPX	PPI
ALDH1A2	PPI
GFPT2	PPI
ACSL3	PPI
CHEK2	PPI
ALDH1A1	PPI
SOD1	PPI
OTC	PPI
GOT2	PPI
MYC	PPI
OAT	PPI
TUBB4A	PPI
GAPDH	PPI
RPN1	PPI
GNAI2	PPI
ALDH2	PPI
SLC25A5	PPI
ATP5B	PPI
EIF4E	PPI
P4HB	PPI
TUBB	PPI
BPGM	PPI
HSP90AA1	PPI
GALT	PPI
PFKM	PPI
HSP90AB1	PPI
PDHA1	PPI
ENO2	PPI
DLD	PPI
UBC	PPI
HSPA1A	PPI
HSPA1B	PPI
DLAT	PPI
HSPD1	PPI
HSPA5	PPI
HSPA8	PPI
PC	PPI
SLC25A4	PPI
SLC25A6	PPI
EEF2	PPI
PDIA4	PPI
TPT1	PPI
ENO3	PPI
FDPS	PPI
PKM	PPI
PGAM2	PPI
ATP6V1B1	PPI
NME1	PPI
GNB3	PPI
HSPA6	PPI
GOT1	PPI
CTPS1	PPI
PFKL	PPI
PSMC3	PPI
TCP1	PPI
ERCC2	PPI
PGAM1	PPI
HK1	PPI
BTF3	PPI
ATP6V1B2	PPI
ATP6V1C1	PPI
TAF1	PPI
UBA1	PPI
NME2	PPI
AHCY	PPI
CFL1	PPI
EEF1B2	PPI
ATP5A1	PPI
DDX6	PPI
TARS	PPI
EEF1G	PPI
CAD	PPI
PDHA2	PPI
PRDX5	PPI
PRDX3	PPI
PDIA3	PPI
PPIF	PPI
PKLR	PPI
ALDH1B1	PPI
POLR2B	PPI
GDI1	PPI
MAT2A	PPI
RRM2	PPI
DNAJA1	PPI
ATIC	PPI
PRDX2	PPI
SHMT1	PPI
SHMT2	PPI
HSPA1L	PPI
CBS	PPI
GCK	PPI
COPB2	PPI
GLRX	PPI
ATP5C1	PPI
ATP6V1E1	PPI
PGM1	PPI
DLST	PPI
ATP6V1A	PPI
HSPA9	PPI
CCT6A	PPI
MDH2	PPI
EIF2S3	PPI
IARS	PPI
PSMC4	PPI
NOP2	PPI
ALDH1A3	PPI
CCT5	PPI
CSNK1D	PPI
CCT3	PPI
SARS	PPI
IDH3A	PPI
GDI2	PPI
CCT8	PPI
CCT4	PPI
PGD	PPI
KPNA1	PPI
CLTCL1	PPI
PRKAA2	PPI
HSPA2	PPI
AK2	PPI
HMGCS2	PPI
PSMD4	PPI
VCP	PPI
SNU13	PPI
NPEPPS	PPI
SUMO3	PPI
EIF6	PPI
ACTB	PPI
EIF4A1	PPI
DSTN	PPI
ACTR2	PPI
MAX	PPI
SUMO2	PPI
NUTF2	PPI
PSMC5	PPI
YWHAE	PPI
PSMC6	PPI
RAB11A	PPI
ACTA2	PPI
HIST1H4A	PPI
GNB1	PPI
GNB2	PPI
PPIA	PPI
FKBP1A	PPI
SUMO1	PPI
ACTG1	PPI
ACTG2	PPI
ACTC1	PPI
EEF1A1	PPI
FKBP1B	PPI
ACTA1	PPI
TUBA1B	PPI
TUBA4A	PPI
TUBB4B	PPI
CCT2	PPI
ARF1	PPI
ATP2C1	PPI
MAT1A	PPI
CLTC	PPI
GALK2	PPI
HMGCS1	PPI
PFKP	PPI
OGDH	PPI
ERCC6	PPI
EEF1A2	PPI
GFPT1	PPI
PPID	PPI
ACACA	PPI
PRDX4	PPI
NME3	PPI
