gene	node_type
HEL-S-90N	gene
QPRT	gene
NADSYN1	gene
HEL-S-90N	PPI
SF3A2	PPI
SF3A1	PPI
VPS72	PPI
CRY1	PPI
CRY2	PPI
MIA3	PPI
KRT40	PPI
BCOR	PPI
SRCAP	PPI
NOTCH2NL	PPI
PATL1	PPI
IRF2BP1	PPI
CCAR1	PPI
ARID1B	PPI
ZCCHC13	PPI
SMARCD2	PPI
SEH1L	PPI
KRTAP4-12	PPI
TBL1XR1	PPI
ACTR6	PPI
ADNP	PPI
RAVER2	PPI
DMAP1	PPI
SUFU	PPI
TRIM33	PPI
SATB2	PPI
PRRC2C	PPI
PIK3C2A	PPI
KPNA5	PPI
TRIM24	PPI
HDAC3	PPI
PER1	PPI
EIF4G3	PPI
TRAF3IP2	PPI
NCOR1	PPI
SCAF4	PPI
ZMYM6	PPI
UBC	PPI
KPNA1	PPI
KRTAP10-3	PPI
KRTAP10-8	PPI
CNBP	PPI
UBE2I	PPI
EIF4G2	PPI
SATB1	PPI
TLE1	PPI
TLE3	PPI
TLE4	PPI
SF3A3	PPI
GIT2	PPI
KPNB1	PPI
ZFAND1	PPI
UPF1	PPI
MYO15B	PPI
NTMT1	PPI
CUTC	PPI
DNAJB4	PPI
STUB1	PPI
AIP	PPI
PSMD14	PPI
UBD	PPI
DNAJB5	PPI
HSP90AB1	PPI
RCC1	PPI
HK1	PPI
DNAJB1	PPI
CAD	PPI
GCK	PPI
CSNK1A1	PPI
CSNK1D	PPI
CSNK1E	PPI
DNAJB13	PPI
EEF1A1	PPI
EEF1A2	PPI
PPID	PPI
PPP2R5C	PPI
PPP2R5D	PPI
PPP2R5A	PPI
PPP2R5B	PPI
PPP2R5E	PPI
