gene	node_type
GNPDA1	gene
GNPDA2	gene
GPI	gene
PGM3	gene
GNPNAT1	gene
GCK	gene
HSPE1	PPI
SUMO1	PPI
EWSR1	PPI
ILF2	PPI
FGL2	PPI
GK2	PPI
STK11	PPI
NEDD8	PPI
IDNK	PPI
NUDT8	PPI
GFM1	PPI
MED20	PPI
MOV10	PPI
PRTFDC1	PPI
NXF1	PPI
AMDHD2	PPI
TIMM8B	PPI
EIF4E2	PPI
FCHSD2	PPI
PGK1	PPI
GAPDH	PPI
PGK2	PPI
UBC	PPI
MCC	PPI
GK	PPI
MAGEA11	PPI
TRIM27	PPI
HIST1H2BJ	PPI
P4HB	PPI
TUBB	PPI
BPGM	PPI
HSP90AA1	PPI
GALT	PPI
FH	PPI
PFKM	PPI
HSP90AB1	PPI
PDHA1	PPI
SNRNP70	PPI
ENO2	PPI
DLD	PPI
HIST1H2AG	PPI
H2AFB1	PPI
H2AFB2	PPI
HSPA1A	PPI
HSPA1B	PPI
DLAT	PPI
PRKAR1A	PPI
HSPD1	PPI
HSPA5	PPI
HSPA8	PPI
PYGB	PPI
PYGM	PPI
TOP2A	PPI
PC	PPI
MTHFD1	PPI
PSKH1	PPI
PABPC1	PPI
PCNA	PPI
SLC25A4	PPI
SLC25A6	PPI
TPR	PPI
SRC	PPI
EEF2	PPI
PDIA4	PPI
TPT1	PPI
LCP1	PPI
PLS3	PPI
GYS1	PPI
PRKAR2A	PPI
ENO3	PPI
FDPS	PPI
AKR1A1	PPI
CCNB1	PPI
SLC2A4	PPI
COX6B1	PPI
DARS	PPI
GSPT1	PPI
PGAM2	PPI
ATP6V1B1	PPI
NME1	PPI
H2AFX	PPI
PPP3CB	PPI
GNB3	PPI
HSPA6	PPI
GOT1	PPI
AKR1C4	PPI
PRKACA	PPI
CTPS1	PPI
PFKL	PPI
PSMC3	PPI
TCP1	PPI
ERCC2	PPI
ARF4	PPI
RPL7	PPI
PGAM1	PPI
HK1	PPI
POLR2C	PPI
POLR2E	PPI
SRM	PPI
CSNK2A2	PPI
EIF2S2	PPI
SDS	PPI
BTF3	PPI
RAB5A	PPI
RAB6A	PPI
HIST1H2AD	PPI
ATP6V1B2	PPI
ATP6V1C1	PPI
GPD1	PPI
VDAC1	PPI
FBL	PPI
GART	PPI
UBA1	PPI
NME2	PPI
PRKACG	PPI
PRKACB	PPI
FECH	PPI
RPS3	PPI
AHCY	PPI
HIST1H2BO	PPI
CFL1	PPI
ACAT1	PPI
CCNC	PPI
POLR2A	PPI
CDK2	PPI
DNAJB1	PPI
ATP5A1	PPI
DDX6	PPI
TARS	PPI
VARS	PPI
EEF1G	PPI
MAPK3	PPI
ATP6V0C	PPI
CALML3	PPI
RPA1	PPI
CAD	PPI
MAPK1	PPI
TKT	PPI
PDHA2	PPI
PRDX5	PPI
PRDX3	PPI
PDIA3	PPI
PPP2R1A	PPI
PPP2R1B	PPI
PPIF	PPI
GCH1	PPI
ALDH1B1	PPI
POLR2B	PPI
CORO1A	PPI
GDI1	PPI
MAT2A	PPI
PRKAR1B	PPI
PRKAR2B	PPI
RRM2	PPI
DNAJA1	PPI
UQCRC1	PPI
ATIC	PPI
STIP1	PPI
PRDX2	PPI
CTH	PPI
ACSL1	PPI
HIST1H2BB	PPI
MCM4	PPI
MCM7	PPI
SHMT1	PPI
SHMT2	PPI
HSPA1L	PPI
HSPA4	PPI
MPI	PPI
RFC4	PPI
RFC2	PPI
CBS	PPI
COPB2	PPI
FUS	PPI
GLRX	PPI
PSMC2	PPI
MAP2K2	PPI
ATP5C1	PPI
ATP6V1E1	PPI
LONP1	PPI
PGM1	PPI
PPP1CC	PPI
DLST	PPI
TAGLN2	PPI
TALDO1	PPI
LIPA	PPI
ATP6V1A	PPI
HSPA9	PPI
EIF4A3	PPI
CAP2	PPI
CCT6A	PPI
MLH1	PPI
MDH2	PPI
RFC5	PPI
RFC3	PPI
EIF2S3	PPI
GARS	PPI
IARS	PPI
EIF1	PPI
RBM34	PPI
RANBP1	PPI
PSMC4	PPI
VDAC2	PPI
RANGAP1	PPI
NOP2	PPI
NEDD4	PPI
ALDH1A3	PPI
UQCRFS1	PPI
ATP5O	PPI
PPP3CC	PPI
PSMD8	PPI
CCT5	PPI
CSNK1A1	PPI
CSNK1D	PPI
CCT3	PPI
PCYT1A	PPI
AARS	PPI
SARS	PPI
CSNK1E	PPI
EIF2B2	PPI
MRE11A	PPI
IDH3A	PPI
GDI2	PPI
CDK7	PPI
CCT8	PPI
CCT4	PPI
PAPOLA	PPI
RAB5C	PPI
IDH3G	PPI
PSMD7	PPI
AKR1D1	PPI
CNN1	PPI
MNAT1	PPI
PGD	PPI
KPNA1	PPI
NCBP2	PPI
MRPL12	PPI
AKR1C2	PPI
PPP5C	PPI
SUCLG1	PPI
COPA	PPI
CLTCL1	PPI
PRKAA2	PPI
HSPA2	PPI
BCAT1	PPI
AK2	PPI
GYS2	PPI
HMGCS2	PPI
PSMD4	PPI
CSE1L	PPI
VCP	PPI
NAP1L1	PPI
ADK	PPI
SNU13	PPI
NPEPPS	PPI
SUMO3	PPI
MARS	PPI
POLE2	PPI
EIF6	PPI
PCBP3	PPI
PCBP4	PPI
HIST1H2BD	PPI
DNAJB13	PPI
ARPC4	PPI
GABARAPL2	PPI
ACTB	PPI
EIF4A1	PPI
DSTN	PPI
SRP54	PPI
RAB5B	PPI
UBE2N	PPI
ACTR3	PPI
ACTR2	PPI
ARF3	PPI
ABCE1	PPI
YPEL3	PPI
RPS3A	PPI
ATP6V0D1	PPI
STXBP1	PPI
SUMO2	PPI
NUTF2	PPI
USP46	PPI
PPP1CA	PPI
PPP1CB	PPI
CALM1	PPI
PSMC1	PPI
PSMC5	PPI
YWHAE	PPI
RPS13	PPI
PSMC6	PPI
PPP2CB	PPI
ACTA2	PPI
HIST1H4A	PPI
HIST1H2BC	PPI
RAN	PPI
GNB1	PPI
RBX1	PPI
GNB2	PPI
PPIA	PPI
FKBP1A	PPI
RPS27A	PPI
UBA52	PPI
AP2B1	PPI
PPP2R2A	PPI
SKP1	PPI
EIF5A	PPI
ACTG1	PPI
ACTG2	PPI
PPP2CA	PPI
CSNK2B	PPI
ACTC1	PPI
EEF1A1	PPI
FKBP1B	PPI
ACTA1	PPI
TUBA1B	PPI
TUBA4A	PPI
TUBB4B	PPI
CSNK2A1	PPI
HIST1H3A	PPI
NOP14	PPI
DLG4	PPI
CCT2	PPI
RAE1	PPI
ARF1	PPI
H3F3A	PPI
PPP2R2B	PPI
MAT1A	PPI
CLTC	PPI
MDM2	PPI
GALK2	PPI
CAP1	PPI
HMGCS1	PPI
EXOSC10	PPI
PFKP	PPI
TAGLN	PPI
OGDH	PPI
TOP2B	PPI
ERCC6	PPI
AKR1C1	PPI
EEF1A2	PPI
GFPT1	PPI
RAD51	PPI
PPP3CA	PPI
PPID	PPI
VAC14	PPI
AP1B1	PPI
CPSF1	PPI
PMPCA	PPI
TBL3	PPI
MYO1E	PPI
ACACA	PPI
EIF2B5	PPI
PAK1	PPI
PRDX4	PPI
MAPK7	PPI
PAK2	PPI
STK3	PPI
PSMD2	PPI
NME3	PPI
PABPC4	PPI
EIF3I	PPI
UBE2V1	PPI
TCIRG1	PPI
SQSTM1	PPI
TUBB3	PPI
KRR1	PPI
PWP1	PPI
CUL1	PPI
CUL2	PPI
TUBA3C	PPI
GNL2	PPI
EXOSC2	PPI
TUBB2A	PPI
BYSL	PPI
CAMK1	PPI
BOP1	PPI
EIF3A	PPI
EIF2B1	PPI
EIF4A2	PPI
DMC1	PPI
PLS1	PPI
PDCD11	PPI
USP10	PPI
KPNB1	PPI
CUL7	PPI
PSMD6	PPI
MORF4L2	PPI
SEPT2	PPI
KARS	PPI
PGM5	PPI
PPA1	PPI
PWP2	PPI
PCBP2	PPI
UBE3C	PPI
PUM3	PPI
CNN3	PPI
SF3B4	PPI
PPP1R7	PPI
SEC23A	PPI
SEC23B	PPI
UBE2V2	PPI
STXBP2	PPI
SEPT7	PPI
CAMK4	PPI
HIST3H3	PPI
HIST2H2AC	PPI
HIST2H2BE	PPI
UGP2	PPI
TSR1	PPI
SLC25A35	PPI
TKFC	PPI
TUBB8	PPI
PARP14	PPI
PABPC1L	PPI
EARS2	PPI
PABPC1L2A	PPI
RAB41	PPI
RRP12	PPI
UBE2NL	PPI
HIST2H2BF	PPI
RARS2	PPI
UTP14C	PPI
PPP2R2D	PPI
SUMO4	PPI
HIST2H2AA3	PPI
EIF5AL1	PPI
PRPF40B	PPI
H3F3C	PPI
PNCK	PPI
PRPF8	PPI
TUBA3E	PPI
SLC25A34	PPI
CORO6	PPI
DHRS11	PPI
VPS13C	PPI
HIST2H3A	PPI
TUBA1A	PPI
MAEA	PPI
HIST3H2A	PPI
MOB1B	PPI
RRM2B	PPI
H2BFWT	PPI
ADCK2	PPI
HUWE1	PPI
ISCA2	PPI
THNSL2	PPI
CAMK1D	PPI
HIST2H2AB	PPI
GSPT2	PPI
SEPT12	PPI
XRN1	PPI
PGAM4	PPI
SPICE1	PPI
NUP93	PPI
HIST3H2BB	PPI
GPD1L	PPI
GUF1	PPI
AADAT	PPI
ATP6V0D2	PPI
KRI1	PPI
ATP6V1C2	PPI
DDX55	PPI
THOC2	PPI
WDR36	PPI
PPTC7	PPI
GRPEL2	PPI
CALML6	PPI
BRIX1	PPI
IPO4	PPI
NOC3L	PPI
SLC35F5	PPI
DNAJA4	PPI
SPRYD4	PPI
PRPF31	PPI
ASB15	PPI
CCT6B	PPI
HSPH1	PPI
GCN1	PPI
RAD54L	PPI
ARPC1A	PPI
CORO2A	PPI
PMM1	PPI
RAD50	PPI
ERCC4	PPI
TNPO1	PPI
EMG1	PPI
USP7	PPI
ATP6V0A1	PPI
HIST1H2AC	PPI
HIST1H2BH	PPI
UTP4	PPI
ATP6V1E2	PPI
HIST1H2BA	PPI
UPRT	PPI
TAMM41	PPI
NMD3	PPI
PABPC5	PPI
DNAJA3	PPI
WDR89	PPI
SDSL	PPI
DDX27	PPI
SH3YL1	PPI
AKR1E2	PPI
NEURL4	PPI
BTF3L4	PPI
HIST1H2AH	PPI
YPEL4	PPI
CAMK1G	PPI
NEDD4L	PPI
YPEL2	PPI
HIST1H2AA	PPI
VPS13A	PPI
SIN3A	PPI
MMS19	PPI
PSMD1	PPI
HIST1H4G	PPI
EIF3C	PPI
HSD17B10	PPI
SEPT5	PPI
NAP1L4	PPI
ACO2	PPI
CCT7	PPI
PRMT1	PPI
HIST1H2BN	PPI
HIST1H2AJ	PPI
HIST1H2BM	PPI
HIST1H2BL	PPI
AGPAT1	PPI
ARPC5L	PPI
SLX1A	PPI
SOST	PPI
CORO1B	PPI
PAAF1	PPI
NOL10	PPI
H2AFJ	PPI
TUBB6	PPI
POLR3C	PPI
ALG12	PPI
KATNB1	PPI
TUBB2B	PPI
UTP14A	PPI
GNL3	PPI
ACAT2	PPI
PAPOLG	PPI
NIFK	PPI
GTPBP4	PPI
TBL1XR1	PPI
WDR12	PPI
MAP1LC3B	PPI
POLR1E	PPI
SRR	PPI
EIF5A2	PPI
NACA2	PPI
NAT10	PPI
SLC25A31	PPI
TKTL2	PPI
RAB6C	PPI
