gene1	gene	score
GNPDA1	UBC	1
GNPDA2	UBC	1
GPI	UBC	1
GPI	HSPA1B	1
GPI	HSPA8	1
GPI	HSPA6	1
GPI	HSPA2	1
PGM3	UBC	1
GNPNAT1	UBC	1
GCK	NUP214	1
GCK	NUP62	1
GCK	NUP153	1
GCK	RANBP2	1
GCK	NUP98	1
GCK	NUP107	1
GCK	RAE1	1
GCK	NUP160	1
GCK	GCKR	1
GCK	NUP188	1
GCK	NUP54	1
GCK	NUP93	1
GCK	NUP43	1
GCK	NUP37	1
GCK	NUP35	1
GCK	NUP210	1
GCK	NUP133	1
GCK	NUP205	1
GCK	SEH1L	1
GCK	POM121	1
GCK	NUP88	1
GCK	NDC1	1
GCK	NUP58	1
GCK	NUP85	1
GCK	AAAS	1
GCK	NUP50	1
GCK	POM121C	1
GCK	NUPL2	1
GCK	NUP155	1
GCK	UBC	1
GCK	TPR	1
GCK	MIDN	0.383
GPI	ACTG2	0.379
GPI	ACTC1	0.378
GPI	ACTA2	0.377
GPI	ACTA1	0.377
GPI	ACTG1	0.375
GPI	PARP14	0.375
GCK	PFKFB1	0.375
GCK	PFKFB3	0.372
GPI	ACTB	0.371
GCK	PFKFB2	0.37
GPI	NEDD4	0.244
GPI	NEDD4L	0.244
GCK	FOXA2	0.209
GNPNAT1	LSM3	0.194
GCK	PRKACG	0.186
GCK	PRKACB	0.186
GCK	PPP1CC	0.185
GCK	PPP1CA	0.185
GCK	PRKACA	0.185
GNPNAT1	GPD1L	0.183
GNPNAT1	GPD1	0.182
GPI	PCNA	0.181
GPI	AMFR	0.181
GNPNAT1	EIF3G	0.181
GNPNAT1	PSMA3	0.181
GNPNAT1	RPS8	0.181
GCK	PCNA	0.181
GPI	SKP1	0.18
GCK	BRMS1L	0.179
GCK	WASF1	0.178
GCK	BAD	0.178
GCK	BRMS1	0.178
GPI	SUMO3	0.175
GPI	SUMO1	0.175
GPI	HSPA1L	0.171
GPI	TPR	0.169
GPI	PSMD14	0.168
PGM3	SPRTN	0.168
GPI	ISG15	0.166
PGM3	PSMD14	0.165
GPI	SOST	0.164
GPI	PRMT1	0.162
GPI	PRMT8	0.162
GPI	HSPA1A	0.161
GPI	NEURL4	0.16
PGM3	LRRK2	0.16
GPI	SUMO4	0.159
GPI	CCP110	0.159
PGM3	WRNIP1	0.159
GPI	SUMO2	0.158
GPI	USP46	0.158
GPI	USP10	0.158
GPI	PPME1	0.158
GPI	HSP90AB1	0.156
GPI	PSMC3	0.156
GPI	PSMD4	0.156
GPI	PSMD2	0.156
GPI	NCBP2L	0.156
GPI	DDX3Y	0.156
GPI	JUN	0.156
GNPDA2	AMDHD2	0.155
GPI	HSP90AA1	0.155
GPI	DDX6	0.155
GPI	CSNK1D	0.155
GPI	NCBP2	0.155
GPI	ADCK2	0.155
GPI	HSPH1	0.155
