V1	V2
APIP	WDYHV1
APIP	VPS25
APIP	EMC6
APIP	NIF3L1
APIP	GABARAPL1
APIP	NDE1
APIP	FASTKD2
APIP	ONECUT1
APIP	TSC22D4
APIP	SDCBP
APIP	APAF1
APIP	TNPO2
APIP	DCTN3
APIP	GABARAP
APIP	VIM
APIP	UBC
APIP	IMPDH2
APIP	ZBTB25
APIP	PSMA1
APIP	PPP1CC
APIP	HNF4A
APIP	SUMO3
APIP	GABARAPL2
APIP	SUMO2
APIP	CNBP
APIP	SUMO1
APIP	SKP1
APIP	TRAF2
APIP	TRAF1
APIP	PPP2R4
APIP	ELAVL1
APIP	NEDD8
APIP	VSIG8
APIP	SUMO4
APIP	HEPHL1
APIP	NUDT18
APIP	PDZD4
APIP	LYG2
APIP	DSG4
APIP	C6orf165
APIP	LNX1
APIP	UBA3
APIP	ZCCHC13
MRI1	KIF15
MRI1	CDC23
MRI1	CSNK1G3
MRI1	HSPA4L
MRI1	NTRK1
MRI1	JUN
MRI1	UBC
MRI1	RCC1
MRI1	CCNA2
MRI1	GCSH
MRI1	HSPA4
MRI1	PSMD4
MRI1	SUMO2
MRI1	RPS13
MRI1	RPL23A
MRI1	CCNA1
MRI1	ERH
MRI1	PSMD2
MRI1	ATF7IP
MRI1	HSPH1
ADI1	NANS
ADI1	STUB1
ADI1	PRKAB1
ADI1	STX7
ADI1	DENR
ADI1	PRKAB2
ADI1	BAG3
ADI1	APP
ADI1	SNRNP70
ADI1	UBC
ADI1	DBT
ADI1	RCC1
ADI1	TAF1
ADI1	HIBADH
ADI1	MMP14
ADI1	OSTF1
ADI1	SRPK1
