gene	node_type
APIP	gene
MRI1	gene
ADI1	gene
WDYHV1	PPI
VPS25	PPI
EMC6	PPI
NIF3L1	PPI
GABARAPL1	PPI
NDE1	PPI
FASTKD2	PPI
ONECUT1	PPI
TSC22D4	PPI
SDCBP	PPI
APAF1	PPI
TNPO2	PPI
DCTN3	PPI
GABARAP	PPI
VIM	PPI
UBC	PPI
IMPDH2	PPI
ZBTB25	PPI
PSMA1	PPI
PPP1CC	PPI
HNF4A	PPI
SUMO3	PPI
GABARAPL2	PPI
SUMO2	PPI
CNBP	PPI
SUMO1	PPI
SKP1	PPI
TRAF2	PPI
TRAF1	PPI
PPP2R4	PPI
ELAVL1	PPI
NEDD8	PPI
VSIG8	PPI
SUMO4	PPI
HEPHL1	PPI
NUDT18	PPI
PDZD4	PPI
LYG2	PPI
DSG4	PPI
C6ORF165	PPI
LNX1	PPI
UBA3	PPI
ZCCHC13	PPI
KIF15	PPI
CDC23	PPI
CSNK1G3	PPI
HSPA4L	PPI
NTRK1	PPI
JUN	PPI
RCC1	PPI
CCNA2	PPI
GCSH	PPI
HSPA4	PPI
PSMD4	PPI
RPS13	PPI
RPL23A	PPI
CCNA1	PPI
ERH	PPI
PSMD2	PPI
ATF7IP	PPI
HSPH1	PPI
NANS	PPI
STUB1	PPI
PRKAB1	PPI
STX7	PPI
DENR	PPI
PRKAB2	PPI
BAG3	PPI
APP	PPI
SNRNP70	PPI
DBT	PPI
TAF1	PPI
HIBADH	PPI
MMP14	PPI
OSTF1	PPI
SRPK1	PPI
