V1	V2
NFS1	TACC3
NFS1	C17orf89
NFS1	PIK3C2A
NFS1	NDUFA4
NFS1	KPNA4
NFS1	PIK3C2B
NFS1	GAPDHS
NFS1	NDUFAB1
NFS1	RIOK3
NFS1	ATP2A1
NFS1	CTSV
NFS1	COQ9
NFS1	GFPT2
NFS1	ZWINT
NFS1	MOCS3
NFS1	SOD1
NFS1	ABL1
NFS1	MYC
NFS1	GAPDH
NFS1	HLA-DPB1
NFS1	TP53
NFS1	RPN1
NFS1	RPN2
NFS1	FYN
NFS1	CTSD
NFS1	CTSL
NFS1	EPRS
NFS1	DLD
NFS1	UBC
NFS1	HSPA1A
NFS1	HSPA1B
NFS1	COX5B
NFS1	HSPD1
NFS1	HSPA8
NFS1	ACADM
NFS1	PC
NFS1	ETFA
NFS1	HSP90B1
NFS1	ATP2A2
NFS1	HSPA6
NFS1	RCC1
NFS1	EIF2S2
NFS1	TAF1
NFS1	UQCRC2
NFS1	POLR2A
NFS1	MPST
NFS1	CAD
NFS1	CANX
NFS1	PPP2R1A
NFS1	PPP2R1B
NFS1	HSPA1L
NFS1	PSMC2
NFS1	ATP6V1A
NFS1	CCT6A
NFS1	CSNK1D
NFS1	CCT3
NFS1	TUFM
NFS1	SARS
NFS1	IDH3A
NFS1	CCT8
NFS1	CCT4
NFS1	RAB5C
NFS1	SSR4
NFS1	COPB1
NFS1	CLTCL1
NFS1	HSPA2
NFS1	RAB5B
NFS1	MAX
NFS1	HSPE1
NFS1	PSMC5
NFS1	ARF6
NFS1	GRB2
NFS1	SLC25A3
NFS1	HDLBP
NFS1	CLTC
NFS1	GFPT1
NFS1	GALE
NFS1	FXN
NFS1	CLPP
NFS1	TST
NFS1	CDNF
NFS1	HSD17B12
NFS1	CTR9
NFS1	BCOR
NFS1	RB1CC1
NFS1	CCT6B
NFS1	ATP2A3
NFS1	MRRF
NFS1	NAF1
NFS1	SUCLG2
NFS1	IPO9
NFS1	OXCT2
NFS1	NMES1
NFS1	ISCU
NFS1	LYRM4
NFS1	PICK1
NFS1	ATAD3A
NFS1	TECR
NFS1	COQ3
NFS1	SUCLA2
NFS1	HDAC5
NFS1	MRPS2
