gene1	gene	score
GPT2	UBC	0.173
GPT	UBC	0.173
UBC	RGPD1	0.173
UBC	RGPD2	0.173
UBC	PGA3	0.173
UBC	PGA5	0.173
UBC	HNRNPCL4	0.173
UBC	HSPA1A	0.173
UBC	HSPA1B	0.173
UBC	U2AF1L5	0.173
UBC	CBSL	0.173
UBC	GLI2	0.173
UBC	GLI3	0.173
UBC	RAP2A	0.173
UBC	TROVE2	0.173
UBC	MYB	0.173
UBC	AR	0.173
UBC	RARA	0.173
UBC	RRAS	0.173
UBC	HLA-C	0.173
UBC	HIST1H1E	0.173
UBC	DLAT	0.173
UBC	PTPRF	0.173
UBC	TXN	0.173
UBC	COX5B	0.173
UBC	MAPT	0.173
UBC	PRKAR1A	0.173
UBC	ALPPL2	0.173
UBC	KIT	0.173
UBC	FGF6	0.173
UBC	ESD	0.173
UBC	HSPD1	0.173
UBC	GHR	0.173
UBC	IRF1	0.173
UBC	HSPA5	0.173
UBC	LAMC1	0.173
UBC	MYH3	0.173
UBC	HSPA8	0.173
UBC	SLC2A1	0.173
UBC	SLC2A3	0.173
UBC	UMPS	0.173
UBC	PDHB	0.173
UBC	PYGB	0.173
UBC	PYGM	0.173
UBC	RALA	0.173
UBC	RALB	0.173
UBC	BCR	0.173
UBC	PIM1	0.173
UBC	FGFR1	0.173
UBC	TOP1	0.173
UBC	TOP2A	0.173
UBC	G6PD	0.173
UBC	UBL4A	0.173
UBC	VDR	0.173
UBC	FGF3	0.173
UBC	GNAT1	0.173
UBC	PC	0.173
UBC	DMD	0.173
UBC	MTHFD1	0.173
UBC	IGF2R	0.173
UBC	ADH5	0.173
UBC	PSKH1	0.173
UBC	CDK4	0.173
UBC	PRPS2	0.173
UBC	ODC1	0.173
UBC	PABPC1	0.173
UBC	PCNA	0.173
UBC	FGF5	0.173
UBC	KRT3	0.173
UBC	HARS	0.173
UBC	SLC25A4	0.173
UBC	SLC25A6	0.173
UBC	IMPDH2	0.173
UBC	TPR	0.173
UBC	CKB	0.173
UBC	SKI	0.173
UBC	SKIL	0.173
UBC	ACTN1	0.173
UBC	CDH1	0.173
UBC	MYH1	0.173
UBC	MYH7	0.173
UBC	SRC	0.173
UBC	PEPD	0.173
UBC	XRCC6	0.173
UBC	XRCC5	0.173
UBC	UNG	0.173
UBC	COX4I1	0.173
UBC	IFITM1	0.173
UBC	ALAS1	0.173
UBC	RNH1	0.173
UBC	CYBA	0.173
UBC	MYH8	0.173
UBC	CFTR	0.173
UBC	NCAM1	0.173
UBC	ATP1A3	0.173
UBC	EEF2	0.173
UBC	KRT10	0.173
UBC	KRT5	0.173
UBC	PDIA4	0.173
UBC	TPT1	0.173
UBC	ALAD	0.173
UBC	F3	0.173
UBC	HLA-E	0.173
UBC	HLA-DRB1	0.173
UBC	LCP1	0.173
UBC	PLS3	0.173
UBC	APEH	0.173
UBC	ETFA	0.173
UBC	GYS1	0.173
UBC	PRKAR2A	0.173
UBC	ENO3	0.173
UBC	GTF2F2	0.173
UBC	MTHFD2	0.173
UBC	CTSE	0.173
UBC	MIF	0.173
UBC	PRKCSH	0.173
UBC	FDPS	0.173
UBC	TRIM27	0.173
UBC	COX7A2	0.173
UBC	AKR1A1	0.173
UBC	PKM	0.173
UBC	HSP90B1	0.173
UBC	CCNB1	0.173
UBC	MYL6B	0.173
UBC	SLC2A4	0.173
UBC	SNRPB	0.173
UBC	IDE	0.173
UBC	COX6B1	0.173
UBC	POU2F1	0.173
UBC	HNRNPL	0.173
UBC	DARS	0.173
UBC	IDO1	0.173
UBC	ETS1	0.173
UBC	JUP	0.173
UBC	ETS2	0.173
UBC	BRAF	0.173
UBC	GLUL	0.173
UBC	AKR1B1	0.173
UBC	RAC2	0.173
UBC	GSPT1	0.173
UBC	MYOD1	0.173
UBC	PGAM2	0.173
UBC	IFNGR1	0.173
UBC	EZR	0.173
UBC	ATP6V1B1	0.173
UBC	UCHL3	0.173
UBC	VAV1	0.173
UBC	CD46	0.173
UBC	NME1	0.173
UBC	NQO1	0.173
UBC	HIVEP1	0.173
UBC	RPS2	0.173
UBC	TCF4	0.173
UBC	TCF3	0.173
UBC	DSP	0.173
UBC	RPA2	0.173
UBC	CD44	0.173
UBC	NQO2	0.173
UBC	H2AFX	0.173
UBC	PFKFB1	0.173
UBC	CBR1	0.173
UBC	CREB1	0.173
UBC	GLB1	0.173
UBC	PPP3CB	0.173
UBC	HIST1H1B	0.173
UBC	HIST1H1D	0.173
UBC	HIST1H1C	0.173
UBC	POR	0.173
UBC	MGMT	0.173
UBC	GNB3	0.173
UBC	ATP2A2	0.173
UBC	STMN1	0.173
UBC	YBX3	0.173
UBC	ZKSCAN1	0.173
UBC	ZNF28	0.173
UBC	HSPA6	0.173
UBC	HMGA1	0.173
UBC	TMEM11	0.173
UBC	GOT1	0.173
UBC	IFNAR1	0.173
UBC	PRKCA	0.173
UBC	JUNB	0.173
UBC	GJA1	0.173
UBC	UBTF	0.173
UBC	PRKACA	0.173
UBC	CAPN2	0.173
UBC	DES	0.173
UBC	CEBPB	0.173
UBC	CTPS1	0.173
UBC	DDX5	0.173
UBC	PFKL	0.173
UBC	PSMC3	0.173
UBC	TCP1	0.173
UBC	ERCC2	0.173
UBC	RPL35A	0.173
UBC	ITGB5	0.173
UBC	ARF4	0.173
UBC	RPL7	0.173
UBC	VCL	0.173
UBC	SON	0.173
UBC	RPL17	0.173
UBC	PGAM1	0.173
UBC	RCC1	0.173
UBC	SDC1	0.173
UBC	ATF1	0.173
UBC	ATF4	0.173
UBC	ATF6	0.173
UBC	LIG1	0.173
UBC	XRCC1	0.173
UBC	KRT15	0.173
UBC	PAM	0.173
UBC	CDH2	0.173
UBC	GNAZ	0.173
UBC	GNAT2	0.173
UBC	MYL12A	0.173
UBC	PLCG1	0.173
UBC	NCL	0.173
UBC	HK1	0.173
UBC	POLR2C	0.173
UBC	POLR2E	0.173
UBC	TNFRSF1A	0.173
UBC	ERCC3	0.173
