V1	V2
ARG2	OGDH
ARG2	EEF1A2
ARG2	GFPT1
ARG2	TUBB3
ARG2	TUBA3C
ARG2	TUBB2A
ARG2	KPNB1
ARG2	PPA1
ARG2	TCEA2
ARG2	STK11
ARG2	EZH2
ARG2	TUBB8
ARG2	SUMO4
ARG2	EIF5AL1
ARG2	TUBA3E
ARG2	TUBA1A
ARG2	DNAJA4
ARG2	HSPH1
ARG2	KAT2B
ARG2	HSD17B10
ARG2	TUBB6
ARG2	TUBB2B
ARG2	EIF5A2
ARG2	PPA2
ARG2	TUBB1
ARG2	TUBA8
ARG2	LARS
ARG2	OGDHL
ARG2	TUBAL3
ARG2	PSMD14
ARG2	KPNA5
ARG2	DNAJA2
ARG2	NPHP4
ARG2	GFPT2
ARG2	HSPA4L
ARG2	OTC
ARG2	TUBB4A
ARG2	ARG1
ARG2	TUBB
ARG2	HSP90AA1
ARG2	HSP90AB1
ARG2	PDHA1
ARG2	RPSA
ARG2	UBC
ARG2	HSPA1A
ARG2	HSPA1B
ARG2	HSPD1
ARG2	HSPA8
ARG2	SLC2A4
ARG2	ATP6V1B1
ARG2	HSPA6
ARG2	ATP6V1B2
ARG2	TCEA1
ARG2	CPT2
ARG2	CAD
ARG2	NOS1
ARG2	PDHA2
ARG2	DNAJA1
ARG2	HSPA1L
ARG2	HSPA4
ARG2	MDH2
ARG2	HNF4A
ARG2	RANBP1
ARG2	RANGAP1
ARG2	KPNA1
ARG2	HSPA2
ARG2	RAD23B
ARG2	SUMO3
ARG2	SUMO2
ARG2	RAN
ARG2	SUMO1
ARG2	EIF5A
ARG2	EEF1A1
ARG2	TUBA1B
ARG2	TUBA4A
ARG2	TUBB4B
ARG1	TUBB
ARG1	HSP90AA1
ARG1	HSP90AB1
ARG1	PDHA1
ARG1	RPSA
ARG1	HNRNPA1
ARG1	UBC
ARG1	HSPA1A
ARG1	HSPA1B
ARG1	HSPD1
ARG1	HSPA8
ARG1	SLC2A4
ARG1	ATP6V1B1
ARG1	RPA2
ARG1	HSPA6
ARG1	ATP6V1B2
ARG1	TCEA1
ARG1	RPA1
ARG1	CAD
ARG1	PDHA2
ARG1	ALDH4A1
ARG1	DNAJA1
ARG1	HSPA1L
ARG1	HSPA4
ARG1	BMI1
ARG1	RPA3
ARG1	MDH2
ARG1	RANBP1
ARG1	RANGAP1
ARG1	MCM2
ARG1	KPNA1
ARG1	HSPA2
ARG1	RAD23B
ARG1	SUMO3
ARG1	GABARAPL2
ARG1	SUMO2
ARG1	RAN
ARG1	SUMO1
ARG1	EIF5A
ARG1	EEF1A1
ARG1	TUBA1B
ARG1	TUBA4A
ARG1	TUBB4B
ARG1	ARG2
ARG1	OGDH
ARG1	EEF1A2
ARG1	GFPT1
ARG1	TUBB3
ARG1	TUBA3C
ARG1	TUBB2A
ARG1	GPR18
ARG1	KPNB1
ARG1	SUZ12
ARG1	PPA1
ARG1	TCEA2
ARG1	EZH2
ARG1	TUBB8
ARG1	SUMO4
ARG1	EIF5AL1
ARG1	TUBA3E
ARG1	USP53
ARG1	TUBA1A
ARG1	DNAJA4
ARG1	HSPH1
ARG1	KAT2B
ARG1	CCDC51
ARG1	HSD17B10
ARG1	ATG101
ARG1	TUBB6
ARG1	TUBB2B
ARG1	EIF5A2
ARG1	CCDC8
ARG1	PPA2
ARG1	TUBB1
ARG1	TUBA8
ARG1	LARS
ARG1	OGDHL
ARG1	UCHL5
ARG1	TUBAL3
ARG1	PSMD14
ARG1	KPNA5
ARG1	RAD21
ARG1	DNAJA2
ARG1	NPHP4
ARG1	FLOT1
ARG1	GFPT2
ARG1	GABARAP
ARG1	HSPA4L
ARG1	OTC
ARG1	MYC
ARG1	ESR1
ARG1	TUBB4A
ARG1	NTRK1
OAT	TUBB4A
OAT	GAPDH
OAT	ASL
OAT	NTRK1
OAT	APP
OAT	ALDH2
OAT	SLC25A5
OAT	JUN
