gene	node_type
ARG2	gene
ARG1	gene
OAT	gene
UBC	PPI
HSPA1B	PPI
HSPA8	PPI
HSPA6	PPI
HSPA2	PPI
NOS1	PPI
OTC	PPI
FLOT1	PPI
ENO2	PPI
ENO3	PPI
EZH2	PPI
APP	PPI
SUMO2	PPI
HSPA1L	PPI
RAD23B	PPI
KAT2B	PPI
PSMD14	PPI
HSP90AB1	PPI
ESR1	PPI
PPP2R1A	PPI
PPP2R1B	PPI
UCHL5	PPI
GJA1	PPI
CSNK1D	PPI
KPNA5	PPI
KPNA1	PPI
SUMO3	PPI
SUMO1	PPI
SUMO4	PPI
PSMD4	PPI
HSD17B10	PPI
ADRB2	PPI
ICT1	PPI
CSNK1A1	PPI
CSNK1E	PPI
HUWE1	PPI
GFPT1	PPI
LARS	PPI
GFPT2	PPI
HSPA1A	PPI
SLC2A4	PPI
RAD21	PPI
MYC	PPI
ATF2	PPI
HDAC5	PPI
CHEK1	PPI
HSPH1	PPI
HSPA4L	PPI
HSPA4	PPI
USP10	PPI
FAF2	PPI
OTUB1	PPI
EIF1B	PPI
EGFR	PPI
RRAS	PPI
CDK9	PPI
RRAS2	PPI
NEDD8	PPI
KIAA0556	PPI
HNRNPA1	PPI
MAPK3	PPI
MAPK1	PPI
FUS	PPI
NMNAT3	PPI
NMNAT2	PPI
NMNAT1	PPI
SIRT7	PPI
FBXO6	PPI
KRAS	PPI
TCEA2	PPI
STK11	PPI
TCEA1	PPI
MCM2	PPI
KCNMA1	PPI
STAU1	PPI
NPHP4	PPI
RPA2	PPI
RPA1	PPI
RPA3	PPI
USP53	PPI
KPNB1	PPI
GABARAPL2	PPI
ATG101	PPI
GABARAP	PPI
OTUD4	PPI
DMWD	PPI
UBQLN4	PPI
ALDH4A1	PPI
BMI1	PPI
SUZ12	PPI
CCDC8	PPI
CDK2	PPI
MAP1LC3A	PPI
HNF4A	PPI
NTRK1	PPI
JUN	PPI
NFKB1	PPI
MCC	PPI
HLA-B	PPI
PMS2	PPI
EIF6	PPI
ARF6	PPI
CCNA1	PPI
SLC35F6	PPI
ONECUT1	PPI
PRKAB1	PPI
SSSCA1	PPI
PTP4A3	PPI
KHDRBS3	PPI
NUDT3	PPI
TUBB3	PPI
TUBA3C	PPI
TUBB2A	PPI
TUBB8	PPI
TUBA3E	PPI
TUBA1A	PPI
DNAJA4	PPI
TUBB6	PPI
TUBB2B	PPI
TUBB1	PPI
TUBA8	PPI
TUBAL3	PPI
DNAJA2	PPI
TUBB4A	PPI
TUBB	PPI
HSP90AA1	PPI
RPSA	PPI
HSPD1	PPI
ATP6V1B1	PPI
ATP6V1B2	PPI
CAD	PPI
DNAJA1	PPI
TUBA1B	PPI
TUBA4A	PPI
TUBB4B	PPI
TAF1	PPI
PFDN2	PPI
TRAF6	PPI
CPT2	PPI
CCDC51	PPI
OGDH	PPI
EEF1A2	PPI
PPA1	PPI
EIF5AL1	PPI
EIF5A2	PPI
PPA2	PPI
OGDHL	PPI
PDHA1	PPI
PDHA2	PPI
MDH2	PPI
RANBP1	PPI
RANGAP1	PPI
RAN	PPI
EIF5A	PPI
EEF1A1	PPI
GPR18	PPI
GAPDH	PPI
ASL	PPI
ALDH2	PPI
SLC25A5	PPI
ATP5B	PPI
EIF4E	PPI
PYGL	PPI
GPI	PPI
BPGM	PPI
FH	PPI
RHOC	PPI
PFKM	PPI
DLD	PPI
DLAT	PPI
PRKAR1A	PPI
HSPA5	PPI
PYGB	PPI
PYGM	PPI
PC	PPI
PABPC1	PPI
SLC25A4	PPI
SLC25A6	PPI
IMPDH2	PPI
TPT1	PPI
PRKAR2A	PPI
FDPS	PPI
PGAM2	PPI
NME1	PPI
GOT1	PPI
PRKACA	PPI
CTPS1	PPI
PFKL	PPI
PGAM1	PPI
HK1	PPI
POLR2C	PPI
BTF3	PPI
RAB5A	PPI
IMPDH1	PPI
ATP6V1C1	PPI
GPD1	PPI
VDAC1	PPI
GART	PPI
UBA1	PPI
NME2	PPI
PRKACG	PPI
PRKACB	PPI
AHCY	PPI
CFL1	PPI
RRM1	PPI
ACAT1	PPI
CCNC	PPI
ATP5A1	PPI
TARS	PPI
VARS	PPI
EEF1G	PPI
PSMA5	PPI
PRDX5	PPI
PRDX3	PPI
PPIF	PPI
GCH1	PPI
ALDH1B1	PPI
POLR2B	PPI
MAT2A	PPI
PRKAR1B	PPI
PRKAR2B	PPI
RRM2	PPI
PRDX2	PPI
SHMT1	PPI
SHMT2	PPI
CBS	PPI
GCK	PPI
GLRX	PPI
PSMC2	PPI
ATP5C1	PPI
ATP6V1E1	PPI
PGM1	PPI
DLST	PPI
ATP6V1A	PPI
HSPA9	PPI
EIF2S3	PPI
GARS	PPI
IARS	PPI
EIF1	PPI
PSMC4	PPI
VDAC2	PPI
NSF	PPI
ALDH1A3	PPI
IDH2	PPI
AARS	PPI
SARS	PPI
CCT8	PPI
