gene1	gene	score
PYCR1	UBC	1
PYCR2	UBC	1
PYCRL	UBC	1
ARG1	UBC	1
OAT	UBC	1
OAT	HSPA1B	1
OAT	HSPA8	1
OAT	HSPA6	1
OAT	HSPA2	1
ARG2	NOS1	0.382
ARG2	OTC	0.374
ARG1	FLOT1	0.371
ARG1	OTC	0.37
PYCR1	PARK7	0.366
OAT	ENO2	0.204
OAT	ENO3	0.204
PYCR1	CALML6	0.18
PYCR1	CALML5	0.18
PYCR2	CALML6	0.18
PYCRL	CALML6	0.18
PYCRL	CALML5	0.18
PYCR1	CALML3	0.179
PYCR2	CALML5	0.179
PYCR2	CALML3	0.179
PYCRL	CALML3	0.179
PYCR1	CALM1	0.178
PYCR2	CALM1	0.178
PYCRL	CALM1	0.178
PYCR1	COPB2	0.174
PYCRL	COPB2	0.174
PYCR2	COPB2	0.173
ARG1	EZH2	0.172
OAT	APP	0.171
PYCR1	FASTKD3	0.17
ARG2	HSPA1B	0.17
ARG2	HSPA8	0.17
ARG2	HSPA6	0.17
ARG2	HSPA2	0.17
OAT	SUMO2	0.17
PYCR2	FASTKD3	0.169
ARG2	HSPA1L	0.169
ARG1	HSPA1B	0.169
ARG1	HSPA8	0.169
ARG1	HSPA6	0.169
ARG1	HSPA1L	0.169
ARG1	HSPA2	0.169
ARG2	UBC	0.168
OAT	HSPA1L	0.168
PYCR2	RC3H2	0.167
ARG2	RAD23B	0.167
ARG1	RAD23B	0.167
PYCR2	RC3H1	0.166
ARG2	KAT2B	0.166
ARG2	PSMD14	0.166
OAT	HSP90AB1	0.166
PYCR1	KAT5	0.165
PYCR1	PSMD14	0.165
PYCRL	KAT5	0.165
PYCRL	PSMD14	0.165
PYCRL	TP53	0.165
ARG1	KAT2B	0.165
ARG1	PSMD14	0.165
ARG1	ESR1	0.165
OAT	PPP2R1A	0.165
OAT	PPP2R1B	0.165
PYCR1	SIRT4	0.164
PYCR2	SIRT4	0.164
PYCR2	PSMD14	0.164
PYCR2	KAT5	0.164
PYCRL	CDKN2B	0.164
PYCR2	KCND3	0.163
ARG2	EZH2	0.162
ARG1	UCHL5	0.162
OAT	GJA1	0.162
OAT	CSNK1D	0.162
ARG2	KPNA5	0.16
ARG2	KPNA1	0.16
ARG1	KPNA1	0.16
ARG1	KPNA5	0.16
PYCR1	LRRK2	0.159
PYCR2	WRAP73	0.159
PYCR2	CEBPA	0.159
PYCRL	WRAP73	0.159
PYCRL	CEBPA	0.159
OAT	SUMO3	0.159
OAT	SUMO1	0.159
OAT	SUMO4	0.159
PYCR1	SUMO2	0.158
PYCR1	DAB2	0.158
OAT	PSMD4	0.157
OAT	PSMD14	0.157
PYCR1	EIF2B2	0.156
PYCR2	MAPK3	0.156
PYCR2	MAPK1	0.156
PYCR2	EIF2B2	0.156
PYCRL	MAPK3	0.156
PYCRL	MAPK1	0.156
PYCRL	EIF2B2	0.156
PYCR1	HSPA2	0.155
PYCR1	HSPA1B	0.155
PYCR1	HSPA8	0.155
PYCR1	HSPA6	0.155
PYCR2	HSPA1B	0.155
PYCR2	HSPA8	0.155
PYCR2	HSPA6	0.155
PYCR2	HSPA2	0.155
PYCR2	YWHAG	0.155
PYCR2	YWHAH	0.155
PYCRL	HSPA1B	0.155
PYCRL	HSPA8	0.155
PYCRL	HSPA6	0.155
PYCRL	HSPA2	0.155
PYCRL	YWHAG	0.155
PYCRL	YWHAH	0.155
ARG2	HSD17B10	0.155
ARG1	HSD17B10	0.155
PYCR1	DDX55	0.154
PYCR2	ICT1	0.154
PYCR2	DDX55	0.154
PYCRL	DDX55	0.154
OAT	ADRB2	0.154
OAT	ICT1	0.154
OAT	HSD17B10	0.154
PYCR2	HMGA2	0.153
PYCRL	HMGA2	0.153
ARG2	SUMO4	0.153
ARG2	SUMO1	0.153
OAT	CSNK1A1	0.153
OAT	CSNK1E	0.153
OAT	HUWE1	0.153
ARG2	GFPT1	0.152
ARG2	LARS	0.152
ARG2	GFPT2	0.152
ARG2	HSPA1A	0.152
ARG2	SLC2A4	0.152
ARG2	SUMO3	0.152
ARG2	SUMO2	0.152
ARG1	SLC2A4	0.152
ARG1	SUMO3	0.152
ARG1	SUMO2	0.152
ARG1	SUMO1	0.152
ARG1	SUMO4	0.152
ARG1	RAD21	0.152
ARG1	MYC	0.152
OAT	ATF2	0.152
OAT	HDAC5	0.152
OAT	CHEK1	0.152
OAT	MYC	0.152
PYCR1	HSPA1L	0.151
PYCR1	USP10	0.151
PYCR1	BAG3	0.151
PYCR2	EGFR	0.151
PYCR2	HSPA1L	0.151
PYCR2	USP10	0.151
PYCR2	TERF2	0.151
PYCR2	NPLOC4	0.151
PYCRL	GAPDH	0.151
PYCRL	HSPA1L	0.151
PYCRL	USP10	0.151
ARG2	HSPH1	0.151
ARG2	HSPA4L	0.151
ARG2	HSPA4	0.151
ARG1	HSPA1A	0.151
ARG1	HSPA4	0.151
ARG1	GFPT1	0.151
ARG1	HSPH1	0.151
ARG1	LARS	0.151
ARG1	GFPT2	0.151
ARG1	HSPA4L	0.151
OAT	SLC2A4	0.151
OAT	USP10	0.151
OAT	FAF2	0.151
OAT	OTUB1	0.151
OAT	EIF1B	0.151
OAT	EGFR	0.151
PYCR1	HSPA9	0.15
PYCR1	CNBP	0.15
PYCR1	TUBB4B	0.15
PYCR1	TUBB3	0.15
PYCR1	TUBB2A	0.15
PYCR1	TUBB8	0.15
PYCR1	ZCCHC13	0.15
PYCR1	TUBB6	0.15
PYCR1	TUBB2B	0.15
PYCR1	TUBB1	0.15
PYCR1	TUBB4A	0.15
PYCR1	TUBB	0.15
PYCR1	HSPA1A	0.15
PYCR1	ATP6V1B1	0.15
PYCR1	ATP6V1B2	0.15
PYCR2	TUBB6	0.15
PYCR2	TUBB2B	0.15
PYCR2	TUBB1	0.15
PYCR2	TUBB4A	0.15
PYCR2	GAPDH	0.15
PYCR2	TUBB	0.15
PYCR2	HSPA1A	0.15
PYCR2	ATP6V1B1	0.15
PYCR2	ATP6V1B2	0.15
PYCR2	HSPA9	0.15
PYCR2	CNBP	0.15
PYCR2	TUBB4B	0.15
PYCR2	TUBB3	0.15
PYCR2	TUBB2A	0.15
PYCR2	TUBB8	0.15
PYCR2	ZCCHC13	0.15
PYCRL	ZCCHC13	0.15
PYCRL	PRMT6	0.15
PYCRL	TUBB6	0.15
PYCRL	TUBB2B	0.15
PYCRL	TUBB1	0.15
PYCRL	TUBB4A	0.15
PYCRL	TUBB	0.15
PYCRL	HSPA1A	0.15
PYCRL	ATP6V1B1	0.15
PYCRL	ATP6V1B2	0.15
PYCRL	HSPA9	0.15
PYCRL	CNBP	0.15
PYCRL	TUBB4B	0.15
PYCRL	TUBB3	0.15
PYCRL	TUBB2A	0.15
PYCRL	TUBB8	0.15
ARG2	ARG1	0.15
ARG1	ARG2	0.15
OAT	RRAS	0.15
OAT	CDK9	0.15
OAT	RRAS2	0.15
OAT	NEDD8	0.15
OAT	KIAA0556	0.15
PYCR1	FUS	0.149
PYCR1	PSMD2	0.149
PYCR1	ITGA4	0.149
PYCR2	PSMD2	0.149
PYCRL	DGCR8	0.149
PYCRL	FUS	0.149
PYCRL	PSMD2	0.149
ARG1	HNRNPA1	0.149
OAT	MAPK3	0.149
OAT	MAPK1	0.149
OAT	FUS	0.149
OAT	NMNAT3	0.149
OAT	NMNAT2	0.149
OAT	NMNAT1	0.149
OAT	SIRT7	0.149
OAT	FBXO6	0.149
OAT	KRAS	0.149
PYCR1	HNRNPD	0.148
PYCR1	ATOX1	0.148
PYCR1	VCAM1	0.148
PYCR2	ATOX1	0.148
PYCR2	NF2	0.148
PYCR2	CSNK1D	0.148
PYCRL	ATOX1	0.148
PYCRL	CSNK1D	0.148
ARG2	TCEA2	0.148
ARG2	STK11	0.148
ARG2	TCEA1	0.148
ARG1	TCEA1	0.148
ARG1	MCM2	0.148
ARG1	TCEA2	0.148
OAT	KCNMA1	0.148
OAT	STAU1	0.148
PYCR2	FKBPL	0.147
PYCR2	SKIL	0.147
PYCR2	RELA	0.147
ARG2	NPHP4	0.147
ARG1	RPA2	0.147
ARG1	RPA1	0.147
ARG1	RPA3	0.147
ARG1	USP53	0.147
ARG1	NPHP4	0.147
PYCR1	KPNA1	0.146
