gene	node_type
GIG18	gene
GOT2	gene
GOT1L1	gene
GH1	PPI
APCS	PPI
ALDOA	PPI
OAT	PPI
GAPDH	PPI
ASL	PPI
NTRK1	PPI
ALDOB	PPI
ALDH2	PPI
SLC25A5	PPI
JUN	PPI
EIF4E	PPI
GPI	PPI
BPGM	PPI
HSP90AA1	PPI
PFKM	PPI
HSP90AB1	PPI
ENO2	PPI
DLD	PPI
UBC	PPI
HSPA1A	PPI
HSPA1B	PPI
HSPD1	PPI
HSPA5	PPI
HSPA8	PPI
EPB41	PPI
SLC25A4	PPI
SLC25A6	PPI
EEF2	PPI
TPT1	PPI
ENO3	PPI
FDPS	PPI
SLC2A4	PPI
PGAM2	PPI
ATP6V1B1	PPI
NME1	PPI
HSPA6	PPI
CTPS1	PPI
PFKL	PPI
PGAM1	PPI
HK1	PPI
BTF3	PPI
ATP6V1B2	PPI
ATP6V1C1	PPI
VDAC1	PPI
UBA1	PPI
NME2	PPI
MCC	PPI
AHCY	PPI
CFL1	PPI
ACAT1	PPI
CDK2	PPI
ATP5A1	PPI
TARS	PPI
VARS	PPI
EEF1G	PPI
MPG	PPI
PRDX5	PPI
PRDX3	PPI
PPIF	PPI
HLA-B	PPI
HLA-C	PPI
ALDH1B1	PPI
MAT2A	PPI
RRM2	PPI
ATIC	PPI
PRDX2	PPI
SHMT1	PPI
SHMT2	PPI
HSPA1L	PPI
HSPA4	PPI
CBS	PPI
GCK	PPI
FUS	PPI
GLRX	PPI
ATP5C1	PPI
ATP6V1E1	PPI
GARS	PPI
IARS	PPI
EIF1	PPI
NEDD4	PPI
ALDH1A3	PPI
AARS	PPI
SARS	PPI
PGD	PPI
CLTCL1	PPI
HSPA2	PPI
HMGCS2	PPI
PSMD4	PPI
VCP	PPI
SNU13	PPI
NPEPPS	PPI
SUMO3	PPI
ACTB	PPI
EIF4A1	PPI
DSTN	PPI
SUMO2	PPI
NUTF2	PPI
YWHAG	PPI
YWHAE	PPI
ARF6	PPI
ACTA2	PPI
HIST1H4A	PPI
PPIA	PPI
FKBP1A	PPI
SUMO1	PPI
ACTG1	PPI
ACTG2	PPI
ACTC1	PPI
EEF1A1	PPI
FKBP1B	PPI
ACTA1	PPI
CCNA1	PPI
ARF1	PPI
MAT1A	PPI
CLTC	PPI
MDM2	PPI
GALK2	PPI
HMGCS1	PPI
PFKP	PPI
YWHAH	PPI
EEF1A2	PPI
KCNMA1	PPI
PRDX4	PPI
PAK2	PPI
PSMD2	PPI
GRIN2B	PPI
NME3	PPI
EIF3I	PPI
PIN1	PPI
BYSL	PPI
EIF3A	PPI
EIF4A2	PPI
CUL7	PPI
SEPT2	PPI
PPA1	PPI
NEDD8	PPI
SEPT7	PPI
UGP2	PPI
PREPL	PPI
DNAJC21	PPI
SUMO4	PPI
THOC7	PPI
PRPF40B	PPI
RRM2B	PPI
THNSL2	PPI
SEPT12	PPI
PGAM4	PPI
NUP93	PPI
ATP6V1C2	PPI
DNAJB14	PPI
HSPH1	PPI
PMM1	PPI
ATP6V1E2	PPI
SYAP1	PPI
BTF3L4	PPI
NEDD4L	PPI
HIST1H4G	PPI
EIF3C	PPI
SEPT5	PPI
ACO2	PPI
SOST	PPI
ACAT2	PPI
SLC25A31	PPI
ATG5	PPI
PPA2	PPI
C11ORF68	PPI
ZDHHC6	PPI
ISYNA1	PPI
ACSS2	PPI
CTPS2	PPI
GLRX2	PPI
CTNNBIP1	PPI
OLA1	PPI
ACSS1	PPI
LARS	PPI
FTSJ1	PPI
TNIK	PPI
PACSIN3	PPI
PPIE	PPI
HDAC5	PPI
CFL2	PPI
FARSA	PPI
PRKAB1	PPI
TARSL2	PPI
EIF4E1B	PPI
EIF3CL	PPI
PSMD14	PPI
CCL21	PPI
NME4	PPI
PMM2	PPI
NARS	PPI
MARCH6	PPI
EIF4E2	PPI
EIF1B	PPI
USO1	PPI
CLUH	PPI
CS	PPI
PRPF40A	PPI
BCAR3	PPI
EIF3G	PPI
PSMD10	PPI
ALDH1A2	PPI
HSPA4L	PPI
ALDH1A1	PPI
SOD1	PPI
GRK5	PPI
