gene	node_type
OTC	gene
GLS2	gene
GLS	gene
OAT	gene
ARG2	gene
ARG1	gene
UBC	PPI
HSPA1B	PPI
HSPA8	PPI
HSPA6	PPI
HSPA2	PPI
RALA	PPI
SIRT5	PPI
SNTA1	PPI
NOS1	PPI
FLOT1	PPI
TOMM20	PPI
UBB	PPI
RPS27A	PPI
UBA52	PPI
ENO2	PPI
ENO3	PPI
ATXN10	PPI
EZH2	PPI
FASTKD3	PPI
APP	PPI
SUMO2	PPI
HSPA1L	PPI
RAD23B	PPI
HSP90AB1	PPI
KAT2B	PPI
PSMD14	PPI
PPP2R1A	PPI
PPP2R1B	PPI
ESR1	PPI
NAPRT	PPI
ABCF1	PPI
GJA1	PPI
CSNK1D	PPI
UCHL5	PPI
UBA5	PPI
DARS	PPI
KPNA5	PPI
KPNA1	PPI
SUMO3	PPI
SUMO1	PPI
SUMO4	PPI
PSMC3	PPI
PSMD4	PPI
HSD17B10	PPI
ADRB2	PPI
ICT1	PPI
ATF2	PPI
CSNK1A1	PPI
CSNK1E	PPI
HUWE1	PPI
ATP5C1	PPI
SLC2A4	PPI
HDAC5	PPI
CHEK1	PPI
MYC	PPI
GFPT1	PPI
LARS	PPI
GFPT2	PPI
HSPA1A	PPI
RAD21	PPI
USP10	PPI
FAF2	PPI
OTUB1	PPI
EIF1B	PPI
EGFR	PPI
HSPH1	PPI
HSPA4L	PPI
HSPA4	PPI
RRAS	PPI
CDK9	PPI
RRAS2	PPI
NEDD8	PPI
KIAA0556	PPI
PSMD2	PPI
CDC7	PPI
UNK	PPI
MAPK3	PPI
MAPK1	PPI
FUS	PPI
NMNAT3	PPI
NMNAT2	PPI
NMNAT1	PPI
SIRT7	PPI
FBXO6	PPI
KRAS	PPI
HNRNPA1	PPI
MCM2	PPI
KCNMA1	PPI
STAU1	PPI
TCEA2	PPI
STK11	PPI
TCEA1	PPI
NCS1	PPI
NOP9	PPI
CISD3	PPI
SPATA20	PPI
PTPMT1	PPI
NPHP4	PPI
RPA2	PPI
RPA1	PPI
RPA3	PPI
USP53	PPI
GRHPR	PPI
COQ9	PPI
OTUD4	PPI
DMWD	PPI
UBQLN4	PPI
KPNB1	PPI
GABARAPL2	PPI
ATG101	PPI
GABARAP	PPI
MAGEA6	PPI
SAP18	PPI
CDK2	PPI
MAP1LC3A	PPI
ALDH4A1	PPI
BMI1	PPI
SUZ12	PPI
CCDC8	PPI
PSMA6	PPI
MRPL17	PPI
TAF1	PPI
ARF6	PPI
NTRK1	PPI
JUN	PPI
NFKB1	PPI
MCC	PPI
HLA-B	PPI
PMS2	PPI
EIF6	PPI
CCNA1	PPI
SLC35F6	PPI
ONECUT1	PPI
PRKAB1	PPI
SSSCA1	PPI
PTP4A3	PPI
KHDRBS3	PPI
NUDT3	PPI
HNF4A	PPI
CUL5	PPI
PFDN2	PPI
TRAF6	PPI
TUBB3	PPI
TUBA3C	PPI
TUBB2A	PPI
TUBB8	PPI
TUBA3E	PPI
TUBA1A	PPI
DNAJA4	PPI
TUBB6	PPI
TUBB2B	PPI
TUBB1	PPI
TUBA8	PPI
TUBAL3	PPI
DNAJA2	PPI
TUBB4A	PPI
TUBB	PPI
HSP90AA1	PPI
RPSA	PPI
HSPD1	PPI
ATP6V1B1	PPI
ATP6V1B2	PPI
CAD	PPI
DNAJA1	PPI
TUBA1B	PPI
TUBA4A	PPI
TUBB4B	PPI
SLC26A11	PPI
SRR	PPI
C21ORF33	PPI
HMGCL	PPI
OXLD1	PPI
ETFBKMT	PPI
ATF6B	PPI
CPT2	PPI
CCDC51	PPI
SOD2	PPI
GAPDH	PPI
HIST1H2AB	PPI
ALDH2	PPI
SLC25A5	PPI
MYL1	PPI
ATP5B	PPI
EIF4E	PPI
PYGL	PPI
GPI	PPI
HIST1H2BJ	PPI
BPGM	PPI
APRT	PPI
GALT	PPI
FH	PPI
RHOC	PPI
PFKM	PPI
PDHA1	PPI
DLD	PPI
HIST1H2AG	PPI
H2AFB1	PPI
H2AFB2	PPI
DLAT	PPI
HSPA5	PPI
PYGB	PPI
PYGM	PPI
TOP2A	PPI
PC	PPI
PABPC1	PPI
SLC25A4	PPI
SLC25A6	PPI
EEF2	PPI
TPT1	PPI
GYS1	PPI
PGAM2	PPI
H2AFX	PPI
CTPS1	PPI
PFKL	PPI
TCP1	PPI
ARF4	PPI
PGAM1	PPI
HK1	PPI
POLR2E	PPI
CSNK2A2	PPI
SDS	PPI
HIST1H2AD	PPI
GPD1	PPI
VDAC1	PPI
GART	PPI
UBA1	PPI
FECH	PPI
XPA	PPI
AHCY	PPI
HIST1H2BO	PPI
CFL1	PPI
ACAT1	PPI
ATP5A1	PPI
VARS	PPI
EEF1G	PPI
ERCC5	PPI
PDHA2	PPI
PRDX5	PPI
PRDX3	PPI
PPIF	PPI
GCH1	PPI
ALDH1B1	PPI
POLR2B	PPI
MAT2A	PPI
