V1	V2
ASL	ALDH2
ASL	SLC25A5
ASL	GPI
ASL	BPGM
ASL	HSP90AA1
ASL	GALT
ASL	PFKM
ASL	HSP90AB1
ASL	PDHA1
ASL	ENO2
ASL	FBP1
ASL	HMOX1
ASL	UBC
ASL	HSPA1A
ASL	HSPA1B
ASL	HSPD1
ASL	HSPA5
ASL	HSPA8
ASL	LAMP1
ASL	SLC25A4
ASL	SLC25A6
ASL	LAMP2
ASL	ATP1A3
ASL	ENO3
ASL	FDPS
ASL	CCNB1
ASL	AKR1B1
ASL	PGAM2
ASL	ATP6V1B1
ASL	HSPA6
ASL	GOT1
ASL	PFKL
ASL	TCP1
ASL	PGAM1
ASL	RCC1
ASL	CSNK2A2
ASL	ATP6V1B2
ASL	ME2
ASL	RPS3
ASL	AHCY
ASL	ACAT1
ASL	DNAJB1
ASL	ATP5A1
ASL	PSMA3
ASL	DDX6
ASL	VARS
ASL	EEF1G
ASL	CAD
ASL	PDHA2
ASL	PPIF
ASL	ALDH1B1
ASL	POLR2B
ASL	MAT2A
ASL	RRM2
ASL	DNAJA1
ASL	STIP1
ASL	PRDX2
ASL	PYCR1
ASL	SHMT1
ASL	SHMT2
ASL	HSPA1L
ASL	HSPA4
ASL	COPB2
ASL	HSPA9
ASL	CCT6A
ASL	GARS
ASL	IARS
ASL	EIF1
ASL	PSMC4
ASL	NSF
ASL	ALDH1A3
ASL	QARS
ASL	ARCN1
ASL	FNTA
ASL	PCYT1A
ASL	AARS
ASL	CLK1
ASL	IDH3A
ASL	CCT8
ASL	CCT4
ASL	IDH3G
ASL	PGD
ASL	KPNA1
ASL	PPP5C
ASL	COPB1
ASL	COPA
ASL	CLTCL1
ASL	HSPA2
ASL	CSE1L
ASL	VCP
ASL	HSD17B7
ASL	ACTB
ASL	EIF4A1
ASL	PSMC5
ASL	YWHAE
ASL	ACTA2
ASL	GNB1
ASL	PPIA
ASL	ACTG1
ASL	ACTG2
ASL	ACTC1
ASL	ACTA1
ASL	TUBA1B
ASL	TUBA4A
ASL	SRPK2
ASL	CCT2
ASL	MAT1A
ASL	CLTC
ASL	GALK2
ASL	PFKP
ASL	GFPT1
ASL	PPID
ASL	OVGP1
ASL	PRDX4
ASL	EIF3I
