gene	node_type
ALG12	gene
ALG1	gene
ALG11	gene
DPAGT1	gene
ALG5	gene
ALG3	gene
ALG10B	gene
ALG10	gene
DPM1	gene
ALG6	gene
ALG8	gene
TUBB2B	PPI
TUBB1	PPI
TUBA8	PPI
TUBAL3	PPI
PGK1	PPI
TUBB4A	PPI
ENO1	PPI
GPI	PPI
PGK2	PPI
TUBB	PPI
HSP90AA1	PPI
HSP90AB1	PPI
RPSA	PPI
ENO2	PPI
UBC	PPI
HSPA1A	PPI
HSPA1B	PPI
HSPA5	PPI
HSPA8	PPI
ENO3	PPI
ATP6V1B1	PPI
HSPA6	PPI
RCC1	PPI
ATP6V1B2	PPI
HSPA1L	PPI
RPL4	PPI
ATP6V1A	PPI
RPL13A	PPI
HSPA2	PPI
CNBP	PPI
TUBA1B	PPI
TUBA4A	PPI
TUBB4B	PPI
PRDX4	PPI
TUBB3	PPI
TUBA3C	PPI
TUBB2A	PPI
TUBB8	PPI
TUBA3E	PPI
TUBA1A	PPI
XRN1	PPI
CCDC155	PPI
ZCCHC13	PPI
ACO2	PPI
TUBB6	PPI
ALG2	PPI
MOV10	PPI
FBXO6	PPI
FOXD4L1	PPI
ELOVL5	PPI
TECR	PPI
RPS6KB2	PPI
NXF1	PPI
FOXD3	PPI
FOXD2	PPI
MOCS3	PPI
BAG3	PPI
TAF1	PPI
HSD17B3	PPI
DDOST	PPI
CPA2	PPI
FOXD4	PPI
TMED2	PPI
MSMO1	PPI
SLC35G1	PPI
HSDL1	PPI
FOXD4L6	PPI
HSD17B12	PPI
TECRL	PPI
FOXD4L3	PPI
FOXD4L4	PPI
PIGC	PPI
PIGK	PPI
DGCR14	PPI
MMS19	PPI
ATP6V0B	PPI
TREML2	PPI
FAM63B	PPI
REEP6	PPI
HAUS7	PPI
ZMPSTE24	PPI
TPR	PPI
SMPD1	PPI
UBE2G2	PPI
TSPAN5	PPI
REEP5	PPI
TM9SF1	PPI
LSM8	PPI
MYC	PPI
HMGCR	PPI
KDELR1	PPI
POLR2B	PPI
KDELR2	PPI
HNF4A	PPI
MAX	PPI
DAD1	PPI
PPP3R1	PPI
PPAT	PPI
RAB40B	PPI
CUL3	PPI
TM9SF4	PPI
MFSD3	PPI
ALG14	PPI
PPP3R2	PPI
RER1	PPI
SPINT2	PPI
SOAT2	PPI
RB1	PPI
RBL1	PPI
CD1B	PPI
RRM2	PPI
SOAT1	PPI
STT3A	PPI
TMED10	PPI
E2F1	PPI
RBL2	PPI
PKD2	PPI
RRS1	PPI
E2F4	PPI
EARS2	PPI
FA2H	PPI
MAEA	PPI
RRM2B	PPI
TMED4	PPI
STT3B	PPI
EDA	PPI
NUDT12	PPI
TMED9	PPI
EPT1	PPI
POMK	PPI
RPF2	PPI
DDX31	PPI
ACER3	PPI
GLTSCR2	PPI
CACNG4	PPI
TCTN2	PPI
RCHY1	PPI
PBDC1	PPI
POLR2J2	PPI
CLDND1	PPI
KLHL14	PPI
ERGIC3	PPI
GPR52	PPI
POLR2D	PPI
CREB3	PPI
TCEA3	PPI
HSPA4L	PPI
GFAP	PPI
POLR2C	PPI
POLR2E	PPI
UBA1	PPI
TCEA1	PPI
POLR2A	PPI
MCM7	PPI
HSPA4	PPI
POLR2I	PPI
ALDH3B1	PPI
POLR2H	PPI
POLR2J	PPI
PPP5C	PPI
POLR2G	PPI
POLR2L	PPI
SUPT4H1	PPI
PIN1	PPI
TCEA2	PPI
TSGA10IP	PPI
TCTN3	PPI
HSPH1	PPI
LPAR1	PPI
CREB3L1	PPI
SH3YL1	PPI
KCNH2	PPI
SLC39A4	PPI
HTR3C	PPI
P2RY12	PPI
FNDC4	PPI
ASGR2	PPI
AGTR1	PPI
LPAR6	PPI
PTH1R	PPI
DNAJA2	PPI
PTP4A3	PPI
CIAO1	PPI
DPM2	PPI
ALDH1A2	PPI
GFPT2	PPI
UBR5	PPI
EGFR	PPI
NTRK1	PPI
ALDH2	PPI
SLC25A5	PPI
JUN	PPI
ATP5B	PPI
BPGM	PPI
ARAF	PPI
DLAT	PPI
HSPD1	PPI
PC	PPI
SLC25A4	PPI
