V1	V2
RFK	DNAJB9
RFK	NOX1
RFK	CYBB
RFK	UBC
RFK	CYBA
RFK	TNFRSF1A
RFK	RAB1A
RFK	RAC1
RFK	WDR43
RFK	TRADD
FLAD1	PLEKHO2
FLAD1	ATG4A
FLAD1	SGSM3
FLAD1	MLST8
FLAD1	GNB4
FLAD1	MOV10
FLAD1	PRTFDC1
FLAD1	CA10
FLAD1	RBM22
FLAD1	KLHL14
FLAD1	NXF1
FLAD1	TNRC6B
FLAD1	MED31
FLAD1	ATG4B
FLAD1	SIRT4
FLAD1	SDCBP
FLAD1	NUDT21
FLAD1	CA11
FLAD1	FCHSD2
FLAD1	TK1
FLAD1	UBC
FLAD1	HSPA1A
FLAD1	HSPA1B
FLAD1	HSPD1
FLAD1	HSPA8
FLAD1	PSG1
FLAD1	TCF4
FLAD1	HSPA6
FLAD1	RCC1
FLAD1	ANXA7
FLAD1	NDUFS1
FLAD1	HSPA1L
FLAD1	TRIM23
FLAD1	CDKN1A
FLAD1	EIF2B2
FLAD1	HSPA2
FLAD1	HMGCS2
FLAD1	GEMIN4
FLAD1	PPP2CB
FLAD1	GNB1
FLAD1	GNB2
FLAD1	PPP2CA
FLAD1	HMGCS1
FLAD1	REL
FLAD1	ICT1
FLAD1	GRB7
FLAD1	SMN1
