V1	V2
PGK1	FN1
PGK1	ALDOA
PGK1	GAPDH
PGK1	NTRK1
PGK1	ALDOB
PGK1	ISG15
PGK1	JUN
PGK1	CDK1
PGK1	ATP5B
PGK1	CKM
PGK1	ENO1
PGK1	PYGL
PGK1	LDHB
PGK1	PGK2
PGK1	LDHC
PGK1	HSP90AA1
PGK1	ANXA6
PGK1	HSP90AB1
PGK1	ENO2
PGK1	DLD
PGK1	HNRNPA1
PGK1	UBC
PGK1	HSPA1A
PGK1	HSPA1B
PGK1	PRKAR1A
PGK1	HSPD1
PGK1	HSPA5
PGK1	HSPA8
PGK1	PYGB
PGK1	PYGM
PGK1	PCNA
PGK1	TPR
PGK1	CKB
PGK1	PRKAR2A
PGK1	ENO3
PGK1	PKM
PGK1	PGAM2
PGK1	ATF2
PGK1	UCHL3
PGK1	NME1
PGK1	RPA2
PGK1	H2AFX
PGK1	HSPA6
PGK1	CKMT2
PGK1	PSMC3
PGK1	PGAM1
PGK1	RCC1
PGK1	POLR2C
PGK1	TBP
PGK1	MSH3
PGK1	PSMB1
PGK1	GPD1
PGK1	NME2
PGK1	GLDC
PGK1	TNC
PGK1	CCNC
PGK1	POLR2A
PGK1	CDK2
PGK1	PSMA1
PGK1	PSMA2
PGK1	PSMA3
PGK1	PSMA4
PGK1	MSN
PGK1	DDX6
PGK1	VARS
PGK1	FKBP2
PGK1	YWHAQ
PGK1	MAPK3
PGK1	ATP6V0C
PGK1	RPA1
PGK1	PSMB8
PGK1	PSMB9
PGK1	PSMB4
PGK1	PSMB6
PGK1	PSMB5
PGK1	MAPK1
PGK1	GTF2E1
PGK1	ADSS
PGK1	MAT2A
PGK1	PRKAR1B
PGK1	PRKAR2B
PGK1	STIP1
PGK1	PRDX2
PGK1	GK
PGK1	GTF2H1
PGK1	HSPA1L
PGK1	HSPA4
PGK1	COPB2
PGK1	FUS
PGK1	PSMC2
PGK1	PPP1CC
PGK1	TALDO1
PGK1	CCT6A
PGK1	MLH1
PGK1	MDH2
PGK1	ECI1
PGK1	MSH2
PGK1	SYK
PGK1	PSMC4
PGK1	GNPDA1
PGK1	RFX5
PGK1	ARCN1
PGK1	PSMD8
PGK1	CSNK1D
PGK1	CDK8
PGK1	CCT3
PGK1	CENPA
PGK1	CSNK1E
PGK1	PSMB3
PGK1	PSMB2
PGK1	MCM2
PGK1	TAF6
PGK1	CCT8
PGK1	CCT4
PGK1	RAB7A
PGK1	DNA2
PGK1	PSMD7
PGK1	PGD
PGK1	KPNA1
PGK1	MSH6
PGK1	COPB1
PGK1	COPA
PGK1	PMS1
PGK1	PMS2
PGK1	USP14
PGK1	PRKAG1
PGK1	HSPA2
PGK1	RAD23A
PGK1	RAD23B
PGK1	PSMD4
PGK1	CSE1L
PGK1	VCP
PGK1	NPEPPS
PGK1	SUMO3
PGK1	TPI1
PGK1	ACTB
PGK1	EIF4A1
PGK1	PSMA6
PGK1	HSPE1
PGK1	COPZ1
PGK1	SUMO2
PGK1	PPP1CA
PGK1	PPP1CB
PGK1	PSMC1
PGK1	PSMC5
PGK1	LSM3
PGK1	PSMC6
PGK1	TBPL1
PGK1	CNBP
PGK1	ACTA2
PGK1	YWHAZ
PGK1	SUMO1
PGK1	SKP1
PGK1	RACK1
PGK1	ACTG1
PGK1	ACTG2
PGK1	YBX1
PGK1	ACTC1
PGK1	ACTA1
PGK1	HIST1H3A
PGK1	DLG4
PGK1	CCT2
PGK1	RAE1
PGK1	H3F3A
PGK1	MAT1A
PGK1	MDM2
PGK1	XPC
PGK1	EWSR1
PGK1	GFPT1
PGK1	ENPEP
PGK1	KCNMA1
