gene	node_type
HEL-S-68P	gene
HEL-S-272	gene
PGK1	gene
PGK2	gene
ALDOA	gene
ALDOC	gene
HEL-S-87P	gene
ALDOB	gene
ME3	gene
ME1	gene
GAPD	gene
HEL-S-278	gene
HEL-S-162EP	gene
GAPDHS	gene
ME2	gene
ENO3	gene
ENO4	gene
ENO2	gene
ENO1	gene
MDH2	gene
MDH1	gene
HEL-S-32	gene
GPI	gene
FBP2	gene
FBP1	gene
HEL-S-68P	PPI
HEL-S-87P	PPI
HEL-S-162EP	PPI
GAPDH	PPI
HSP90AA1	PPI
HSP90AB1	PPI
UBC	PPI
HSPA1B	PPI
HSPA8	PPI
HSPA6	PPI
HSPA1L	PPI
HSPA2	PPI
SUMO3	PPI
SUMO2	PPI
SUMO1	PPI
SUMO4	PPI
MMS19	PPI
PSMD14	PPI
HSPH1	PPI
HSPA4L	PPI
HSPA1A	PPI
SRC	PPI
YWHAZ	PPI
ISG15	PPI
CS	PPI
FYN	PPI
HIST1H4A	PPI
TBPL2	PPI
TBPL1	PPI
MLST8	PPI
RPTOR	PPI
TBP	PPI
PRNP	PPI
MTOR	PPI
IVNS1ABP	PPI
TRAPPC2	PPI
SLC12A1	PPI
FH	PPI
ACTG2	PPI
ACTC1	PPI
ACTA1	PPI
ACTA2	PPI
VDAC2	PPI
ACTG1	PPI
PPM1E	PPI
ACTB	PPI
ACHE	PPI
ACTN3	PPI
VDAC3	PPI
TNC	PPI
SLC25A31	PPI
VDAC1	PPI
SLC25A4	PPI
UBE2H	PPI
SLC25A6	PPI
PARP14	PPI
SLC25A5	PPI
NEURL2	PPI
EPAS1	PPI
MAP2K5	PPI
HIF1A	PPI
ELP3	PPI
PLD2	PPI
TRAPPC2B	PPI
WAS	PPI
PLG	PPI
SNX9	PPI
NMD3	PPI
UPF2	PPI
TRIM63	PPI
PARK2	PPI
HDAC3	PPI
H3F3C	PPI
AR	PPI
UPF1	PPI
H3F3A	PPI
HIST2H3A	PPI
GSPT2	PPI
HIST3H3	PPI
GSPT1	PPI
HIST1H3A	PPI
FBXW7	PPI
RACK1	PPI
LYN	PPI
HDAC1	PPI
NAA15	PPI
PC	PPI
HIST1H1D	PPI
ATP6V1E1	PPI
NEDD4	PPI
NEDD4L	PPI
HIST2H2AA3	PPI
ATP5B	PPI
ATP5A1	PPI
CKMT2	PPI
HSPE1	PPI
ABCE1	PPI
OAT	PPI
BUD31	PPI
ALDH2	PPI
HSPD1	PPI
ACAT1	PPI
ACAT2	PPI
CRYAB	PPI
POLR2C	PPI
PGAM2	PPI
PGAM1	PPI
PGAM4	PPI
FHIT	PPI
FDXR	PPI
EEF1A1	PPI
EEF1A2	PPI
ETFB	PPI
TP53	PPI
AKT2	PPI
AKT3	PPI
LSM1	PPI
NFIX	PPI
NRP1	PPI
MEF2A	PPI
CKM	PPI
SKP1	PPI
PDE4DIP	PPI
FLNA	PPI
MYH9	PPI
MYH10	PPI
MYH11	PPI
DYNC1H1	PPI
CKB	PPI
LDHAL6A	PPI
LDHC	PPI
LDHAL6B	PPI
ZNF16	PPI
USP5	PPI
WDR45B	PPI
USP13	PPI
LDHB	PPI
PSMD4	PPI
LDHA	PPI
TXN	PPI
PRKAA2	PPI
UBE2B	PPI
ACTR6	PPI
ACTR8	PPI
ACTR5	PPI
PPIB	PPI
CABYR	PPI
UBE2A	PPI
PCNA	PPI
COL11A1	PPI
COL5A3	PPI
PPP1CC	PPI
PPP1CA	PPI
ZFAND1	PPI
COL5A1	PPI
AKAP4	PPI
TRAF4	PPI
HSD17B10	PPI
AMFR	PPI
HK2	PPI
HK3	PPI
ZFP36	PPI
PRKAR1B	PPI
PRKAR1A	PPI
PRKAR2A	PPI
PRKAR2B	PPI
HK1	PPI
RHOA	PPI
TUBA4A	PPI
TUBB4B	PPI
TUBB2A	PPI
TUBA3E	PPI
TUBB2B	PPI
TUBB4A	PPI
LSM3	PPI
LSM7	PPI
LSM2	PPI
LSM5	PPI
HBB	PPI
CD47	PPI
TRAF6	PPI
TUBA1B	PPI
TUBA3C	PPI
TUBA1A	PPI
GOT1	PPI
RAB7A	PPI
TKT	PPI
PRDX1	PPI
TKTL2	PPI
IPO4	PPI
NPEPPS	PPI
KCNMA1	PPI
PRDX2	PPI
HSPA4	PPI
UBQLN1	PPI
GLUD2	PPI
CCT6A	PPI
CCT6B	PPI
SET	PPI
P4HB	PPI
GLUD1	PPI
SNCA	PPI
TERT	PPI
PRKCE	PPI
ACTN1	PPI
ACTN2	PPI
ACTN4	PPI
TPR	PPI
PGD	PPI
TRAF3IP1	PPI
KATNA1	PPI
AKT1	PPI
CDK2	PPI
RAD23B	PPI
MYO1F	PPI
YWHAQ	PPI
HEMGN	PPI
UVRAG	PPI
UBD	PPI
PSMD10	PPI
MYO1E	PPI
PPIF	PPI
B9D1	PPI
SOST	PPI
DNAJA2	PPI
DNAJA1	PPI
DNAJA4	PPI
PSMB2	PPI
