gene	node_type
DKFZP434M0813	gene
GLUL	gene
PIG59	gene
DKFZP434M0813	PPI
HSPA6	PPI
CTPS1	PPI
PSMC3	PPI
NFKB1	PPI
AMY2B	PPI
TAF1	PPI
DNAJB1	PPI
DDX6	PPI
YWHAQ	PPI
MAPK3	PPI
RPL10	PPI
CAD	PPI
HTR2A	PPI
MAPK1	PPI
HLA-B	PPI
POLR2B	PPI
YWHAB	PPI
HSPA1L	PPI
AGL	PPI
GPX4	PPI
SNCA	PPI
NEDD4	PPI
CSNK1D	PPI
MCM2	PPI
ST13	PPI
PGD	PPI
MAP2K6	PPI
HSPA2	PPI
PSMD4	PPI
CSE1L	PPI
SUMO3	PPI
DNAJB13	PPI
EIF4A1	PPI
SUMO2	PPI
YWHAZ	PPI
SUMO1	PPI
DYNLL1	PPI
UBE2I	PPI
DLG4	PPI
RAE1	PPI
PPARD	PPI
BTK	PPI
KCNMA1	PPI
PSMD2	PPI
GRIN2B	PPI
CAMK1	PPI
EIF4A2	PPI
USP10	PPI
ZNHIT3	PPI
CAMK4	PPI
TAF9	PPI
UBAP2	PPI
SUMO4	PPI
HIBCH	PPI
PNCK	PPI
CYHR1	PPI
NUDT18	PPI
RBBP6	PPI
RABEPK	PPI
HIPK1	PPI
CAMK1D	PPI
NUP93	PPI
ZNRF1	PPI
DMXL2	PPI
GPX8	PPI
ZFAND2B	PPI
RQCD1	PPI
SLC25A36	PPI
RPL10L	PPI
CAMK1G	PPI
NEDD4L	PPI
GPX7	PPI
HSD17B10	PPI
SLC25A33	PPI
TCHP	PPI
TEKT3	PPI
ASPSCR1	PPI
HIPK3	PPI
MTG2	PPI
PLEKHF2	PPI
TAF9B	PPI
CTPS2	PPI
MDN1	PPI
CYP39A1	PPI
CLIC5	PPI
DNAJB4	PPI
CASP8AP2	PPI
NME7	PPI
PIAS3	PPI
PSMD14	PPI
XPO1	PPI
UBD	PPI
MARCH6	PPI
PIAS1	PPI
PIAS2	PPI
DNAJB5	PPI
MYC	PPI
MT-ND5	PPI
AMY1A	PPI
AMY2A	PPI
TFAP2A	PPI
ENO1	PPI
RPSA	PPI
ENO2	PPI
UBC	PPI
HSPA1B	PPI
HSPA8	PPI
PSKH1	PPI
TPR	PPI
SKIL	PPI
ENO3	PPI
