gene	node_type
GCLC	gene
HEL-S-64P	gene
GSS	gene
HEL-S-64P	PPI
GCLM	PPI
HSPA2	PPI
CSE1L	PPI
MAX	PPI
RAN	PPI
EEF1A1	PPI
TUBA1B	PPI
TUBA4A	PPI
EEF1A2	PPI
GFPT1	PPI
TUBA3C	PPI
EIF3A	PPI
ELAVL1	PPI
TUBA3E	PPI
PAXIP1	PPI
TUBA1A	PPI
DTX2	PPI
DNAJA4	PPI
HSPH1	PPI
PFDN4	PPI
ACSS2	PPI
ACSS1	PPI
TUBA8	PPI
GMPPB	PPI
TUBAL3	PPI
PSMD14	PPI
CCL22	PPI
NTN3	PPI
XPO1	PPI
HPGDS	PPI
DNAJA2	PPI
ALDH1A2	PPI
GFPT2	PPI
NTN1	PPI
HSPA4L	PPI
MYC	PPI
ALDH2	PPI
HSP90AB1	PPI
UBC	PPI
HSPA1A	PPI
HSPA1B	PPI
HSPA8	PPI
IMPDH2	PPI
TPR	PPI
PKM	PPI
ATP6V1B1	PPI
NQO1	PPI
HSPA6	PPI
RCC1	PPI
IMPDH1	PPI
ATP6V1B2	PPI
TAF1	PPI
PKLR	PPI
ALDH1B1	PPI
DNAJA1	PPI
HSPA1L	PPI
HSPA4	PPI
TERF1	PPI
IRF3	PPI
TFIP11	PPI
ONECUT1	PPI
CPSF4	PPI
GAPDH	PPI
HNF4A	PPI
