V1	V2
GSR	NTRK1
GSR	ISG15
GSR	JUN
GSR	RB1
GSR	UBC
GSR	HSPA1A
GSR	HSPA1B
GSR	HSPA5
GSR	HSPA8
GSR	HSPA6
GSR	RCC1
GSR	ATP6V1C1
GSR	HSPA1L
GSR	MCM2
GSR	NOVA1
GSR	HSPA2
GSR	NUP107
GSR	CNBP
GSR	SUMO1
GSR	ELAVL1
GSR	SUMO4
GSR	ATP6V1C2
GSR	PJA1
GSR	ZCCHC13
GSR	C11orf49
GSR	NOVA2
GPX4	CSE1L
GPX4	SUMO3
GPX4	GPX6
GPX4	SUMO2
GPX4	RPL30
GPX4	SUMO1
GPX4	DLG4
GPX4	PPID
GPX4	CYP51A1
GPX4	TKFC
GPX4	CEP170
GPX4	SUMO4
GPX4	HSPH1
GPX4	UPF1
GPX4	TMEM159
GPX4	OTUB1
GPX4	OTUD5
GPX4	SECISBP2
GPX4	CRNKL1
GPX4	GLRX2
GPX4	THG1L
GPX4	MSRA
GPX4	FAM96B
GPX4	MAPK13
GPX4	EED
GPX4	HSPA4L
GPX4	GAPDH
GPX4	JUN
GPX4	GPX1
GPX4	P4HB
GPX4	UBC
GPX4	TXN
GPX4	PDIA4
GPX4	GLUL
GPX4	GPX2
GPX4	GPX3
GPX4	GTF2E1
GPX4	PRDX6
GPX4	PDIA3
GPX4	ATIC
GPX4	HSPA4
GPX7	UBQLN4
GPX7	GLRX2
GPX7	THG1L
GPX7	DNAJB11
GPX7	MSRA
GPX7	FAM96B
GPX7	ASNA1
GPX7	SGTA
GPX7	GAPDH
GPX7	P4HB
GPX7	UBC
GPX7	HSPA5
GPX7	PDIA4
GPX7	GLUL
GPX7	HIST1H1B
GPX7	GTF2E1
GPX7	PDIA3
GPX7	ATIC
GPX7	HSPA9
GPX7	HNF4A
GPX7	CSE1L
GPX7	SUMO3
GPX7	SUMO2
GPX7	SUMO1
GPX7	EEF1A1
GPX7	REEP5
GPX7	PPID
GPX7	CYP51A1
GPX7	TKFC
GPX7	SUMO4
GPX7	CEP70
GPX7	UPF1
GPX7	TMEM159
GPX7	ERO1A
GPX7	REEP6
GPX8	UPF1
GPX8	TMEM159
GPX8	ERO1A
GPX8	GLRX2
GPX8	THG1L
GPX8	MSRA
GPX8	FAM96B
GPX8	GAPDHS
GPX8	GAPDH
GPX8	P4HB
GPX8	UBC
GPX8	PDIA4
GPX8	GLUL
GPX8	GTF2E1
GPX8	PDIA3
GPX8	ATIC
GPX8	CSE1L
GPX8	SUMO3
GPX8	SUMO2
GPX8	SUMO1
GPX8	PPID
GPX8	CYP51A1
GPX8	TKFC
GPX8	SUMO4
GPX3	GPX4
GPX3	GPX6
GPX3	KCNMA1
GPX3	HSD17B10
GPX3	DUX4
GPX3	UBQLN1
GPX3	GPX1
GPX3	GPX2
GPX1	GPX2
GPX1	GPX3
GPX1	GPX4
GPX1	HNF4A
GPX1	ABL2
GPX1	GPX6
GPX1	RPL30
GPX1	KCNMA1
GPX1	SELENBP1
GPX1	DCTN1
GPX1	MAPK6
GPX1	RPGRIP1L
GPX1	CEP128
GPX1	FAM9B
GPX1	CEP19
GPX1	HSD17B10
GPX1	CENPJ
GPX1	CEP164
GPX1	SIRT4
GPX1	CEP152
GPX1	ABL1
GPX2	HNF1A
GPX2	GPX3
GPX2	GPX4
GPX2	HNF4A
GPX2	PSMB2
GPX2	GPX6
GPX2	MYC
GPX2	TP53
GPX2	GPX1
GPX6	KCNMA1
GPX6	HSD17B10
GPX6	GPX1
GPX6	GPX2
GPX6	GPX3
GPX6	GPX4
