gene	node_type
HEL-75	gene
GSR	gene
GPX4	gene
GPX5	gene
GPX7	gene
GPX8	gene
GPX3	gene
GPX1	gene
GPX2	gene
GPX6	gene
UBC	PPI
P4HB	PPI
ERO1A	PPI
MSRA	PPI
TKFC	PPI
GLUL	PPI
PDIA4	PPI
GAPDH	PPI
SELENBP1	PPI
ABL2	PPI
DNAJB11	PPI
HIST1H1B	PPI
ABL1	PPI
HSPA5	PPI
HSPA9	PPI
EEF1A1	PPI
GLRX2	PPI
GTF2E1	PPI
PDIA3	PPI
TXN	PPI
SIRT4	PPI
SUMO4	PPI
ISG15	PPI
DUX4	PPI
DLG4	PPI
HSD17B10	PPI
NOVA1	PPI
NOVA2	PPI
UPF1	PPI
OTUB1	PPI
SUMO3	PPI
SUMO2	PPI
SUMO1	PPI
HSPA1B	PPI
HSPA8	PPI
HSPA6	PPI
HSPA1L	PPI
HSPA2	PPI
CNBP	PPI
ZCCHC13	PPI
TMEM159	PPI
PPID	PPI
KCNMA1	PPI
RB1	PPI
MCM2	PPI
CRNKL1	PPI
REEP5	PPI
REEP6	PPI
ATP6V1C1	PPI
ATP6V1C2	PPI
CYP51A1	PPI
THG1L	PPI
ATIC	PPI
FAM96B	PPI
FAM9B	PPI
ELAVL1	PPI
OTUD5	PPI
UBQLN4	PPI
NUP107	PPI
NTRK1	PPI
JUN	PPI
RCC1	PPI
PJA1	PPI
C11ORF49	PPI
CSE1L	PPI
EED	PPI
SGTA	PPI
MAPK6	PPI
HNF1A	PPI
CEP170	PPI
MAPK13	PPI
PRDX6	PPI
HNF4A	PPI
DCTN1	PPI
RPGRIP1L	PPI
CEP128	PPI
CEP19	PPI
CENPJ	PPI
CEP164	PPI
CEP152	PPI
PSMB2	PPI
MYC	PPI
TP53	PPI
HSPA1A	PPI
HSPH1	PPI
HSPA4L	PPI
HSPA4	PPI
SECISBP2	PPI
ASNA1	PPI
CEP70	PPI
UBQLN1	PPI
RPL30	PPI
GAPDHS	PPI
RGPD1	PPI
RGPD2	PPI
PGA3	PPI
PGA5	PPI
HNRNPCL4	PPI
U2AF1L5	PPI
CBSL	PPI
GLI2	PPI
GLI3	PPI
RAP2A	PPI
TROVE2	PPI
MYB	PPI
AR	PPI
RARA	PPI
RRAS	PPI
HLA-C	PPI
HIST1H1E	PPI
DLAT	PPI
PTPRF	PPI
COX5B	PPI
MAPT	PPI
PRKAR1A	PPI
ALPPL2	PPI
KIT	PPI
FGF6	PPI
ESD	PPI
HSPD1	PPI
GHR	PPI
IRF1	PPI
LAMC1	PPI
MYH3	PPI
SLC2A1	PPI
SLC2A3	PPI
UMPS	PPI
PDHB	PPI
PYGB	PPI
PYGM	PPI
RALA	PPI
RALB	PPI
BCR	PPI
PIM1	PPI
FGFR1	PPI
TOP1	PPI
TOP2A	PPI
G6PD	PPI
UBL4A	PPI
VDR	PPI
FGF3	PPI
GNAT1	PPI
PC	PPI
DMD	PPI
MTHFD1	PPI
IGF2R	PPI
ADH5	PPI
PSKH1	PPI
CDK4	PPI
PRPS2	PPI
ODC1	PPI
PABPC1	PPI
PCNA	PPI
FGF5	PPI
KRT3	PPI
HARS	PPI
SLC25A4	PPI
SLC25A6	PPI
IMPDH2	PPI
TPR	PPI
CKB	PPI
SKI	PPI
SKIL	PPI
ACTN1	PPI
CDH1	PPI
MYH1	PPI
MYH7	PPI
SRC	PPI
PEPD	PPI
XRCC6	PPI
XRCC5	PPI
UNG	PPI
COX4I1	PPI
IFITM1	PPI
ALAS1	PPI
RNH1	PPI
CYBA	PPI
MYH8	PPI
CFTR	PPI
NCAM1	PPI
ATP1A3	PPI
EEF2	PPI
KRT10	PPI
KRT5	PPI
TPT1	PPI
ALAD	PPI
F3	PPI
HLA-E	PPI
HLA-DRB1	PPI
LCP1	PPI
PLS3	PPI
APEH	PPI
ETFA	PPI
GYS1	PPI
PRKAR2A	PPI
ENO3	PPI
GTF2F2	PPI
MTHFD2	PPI
CTSE	PPI
MIF	PPI
PRKCSH	PPI
FDPS	PPI
TRIM27	PPI
COX7A2	PPI
AKR1A1	PPI
PKM	PPI
HSP90B1	PPI
CCNB1	PPI
MYL6B	PPI
SLC2A4	PPI
SNRPB	PPI
IDE	PPI
COX6B1	PPI
POU2F1	PPI
HNRNPL	PPI
DARS	PPI
IDO1	PPI
ETS1	PPI
JUP	PPI
ETS2	PPI
BRAF	PPI
AKR1B1	PPI
RAC2	PPI
GSPT1	PPI
MYOD1	PPI
PGAM2	PPI
IFNGR1	PPI
EZR	PPI
ATP6V1B1	PPI
UCHL3	PPI
VAV1	PPI
CD46	PPI
NME1	PPI
NQO1	PPI
HIVEP1	PPI
RPS2	PPI
TCF4	PPI
TCF3	PPI
DSP	PPI
RPA2	PPI
