gene	node_type
UGP2	gene
GYG2	gene
GYG1	gene
GBE1	gene
GYS1	gene
GYS2	gene
UBC	PPI
HSPA1B	PPI
HSPA8	PPI
HSPA6	PPI
HSPA1L	PPI
HSPA2	PPI
EPM2A	PPI
PYGL	PPI
GAA	PPI
AGL	PPI
PPP1R3C	PPI
PYGM	PPI
PPP1CC	PPI
PPP1CA	PPI
TRIM7	PPI
NHLRC1	PPI
GSK3B	PPI
NEB	PPI
MAPT	PPI
CAMK2A	PPI
LRRK2	PPI
MFAP5	PPI
ABCA1	PPI
CDK2	PPI
UBE2V2	PPI
UBE2V1	PPI
AMY2A	PPI
AMY2B	PPI
HSP90AB1	PPI
AMY1A	PPI
PASK	PPI
PRKAR1A	PPI
PRKAR2A	PPI
PRKAR1B	PPI
PRKAR2B	PPI
PPP2R1A	PPI
PPP2R1B	PPI
PSMD14	PPI
ABCG1	PPI
KAT5	PPI
CSNK1A1	PPI
CSNK1E	PPI
CSNK1D	PPI
CDC14A	PPI
CDC14B	PPI
PPP1CB	PPI
SUMO4	PPI
SUMO3	PPI
SUMO2	PPI
SUMO1	PPI
PPP1R7	PPI
ATL1	PPI
PSMD2	PPI
ATL3	PPI
ATL2	PPI
GRK5	PPI
IKBKG	PPI
SLX4	PPI
CASK	PPI
NOVA2	PPI
LYN	PPI
NOVA1	PPI
C1QTNF9	PPI
TAF1	PPI
UPF1	PPI
WDR76	PPI
UTP3	PPI
ARIH2	PPI
NEDD4	PPI
NEDD4L	PPI
TTN	PPI
KAT2B	PPI
XPO1	PPI
CBS	PPI
USP10	PPI
HSPA1A	PPI
DDX3Y	PPI
CCT8	PPI
EEF1A1	PPI
EEF1A2	PPI
PRMT6	PPI
UBD	PPI
DNAJA1	PPI
YWHAE	PPI
CNBP	PPI
DNAJA4	PPI
ZCCHC13	PPI
DNAJA2	PPI
GRB2	PPI
CHEK1	PPI
TPST1	PPI
TPST2	PPI
PPP2R4	PPI
UNK	PPI
DDX6	PPI
CKAP5	PPI
SRPK1	PPI
SRPK3	PPI
PSMB1	PPI
EIF2B2	PPI
DCTN4	PPI
NUP155	PPI
MCM2	PPI
PSKH1	PPI
CAMK1	PPI
CAMK4	PPI
PNCK	PPI
CAMK1D	PPI
CAMK1G	PPI
ATIC	PPI
ISG15	PPI
PCBP1	PPI
PGRMC2	PPI
PRKAA2	PPI
GABARAPL1	PPI
UVRAG	PPI
PRKAB2	PPI
GABARAP	PPI
ELAVL1	PPI
NEDD8	PPI
GTF2B	PPI
PRKACA	PPI
PRKACG	PPI
PRKACB	PPI
GSK3A	PPI
PRKX	PPI
OTUD5	PPI
MAP1LC3C	PPI
SH3GLB1	PPI
SOD2	PPI
RCC1	PPI
GART	PPI
PGRMC1	PPI
POM121	PPI
CMSS1	PPI
CD6	PPI
TRDMT1	PPI
GABARAPL2	PPI
BECN1	PPI
MAP1LC3B	PPI
DIEXF	PPI
NOP58	PPI
MPHOSPH10	PPI
NTRK1	PPI
CBSL	PPI
FBL	PPI
CSE1L	PPI
NOP14	PPI
HNF1A	PPI
HNF4A	PPI
PGD	PPI
EPHB3	PPI
MSH2	PPI
MAPK12	PPI
MARS	PPI
MAX	PPI
TMED2	PPI
SIRT2	PPI
PRKAB1	PPI
IPO5	PPI
RANBP6	PPI
JUN	PPI
TAF9B	PPI
MAPK13	PPI
PUF60	PPI
APP	PPI
HSPH1	PPI
HIST1H4G	PPI
DNAJB4	PPI
RUVBL2	PPI
GMPPB	PPI
PLOD3	PPI
DNAJB5	PPI
HSPA4L	PPI
ATP6V1B1	PPI
ATP6V1B2	PPI
DNAJB1	PPI
CAD	PPI
HSPA4	PPI
DNAJB13	PPI
HIST1H4A	PPI
CCT6A	PPI
CCT3	PPI
VBP1	PPI
CUL1	PPI
MAPK11	PPI
MAPK14	PPI
CEP135	PPI
EVC2	PPI
CCT6B	PPI
COPS5	PPI
PFDN4	PPI
CEP290	PPI
CEP152	PPI
TNFRSF1A	PPI
EARS2	PPI
AKR1E2	PPI
SRR	PPI
AKR1B15	PPI
GLRX3	PPI
RPLP0	PPI
RPL13	PPI
RPL4	PPI
RPS5	PPI
RPS3A	PPI
RPL7A	PPI
STBD1	PPI
PPP1R3B	PPI
ZFP41	PPI
SETD4	PPI
MYO15A	PPI
AIMP2	PPI
CCDC36	PPI
ENGASE	PPI
TSR1	PPI
TUBB8	PPI
PABPC1L	PPI
EPC2	PPI
PABPC1L2A	PPI
HIST2H2BF	PPI
DCAF15	PPI
EIF5AL1	PPI
TUBA3E	PPI
DARS2	PPI
DHRS11	PPI
TUBA1A	PPI
RRM2B	PPI
PRUNE	PPI
ISCA2	PPI
THNSL2	PPI
GPSM1	PPI
SEPT12	PPI
XRN1	PPI
PGAM4	PPI
HIST3H2BB	PPI
AADAT	PPI
ATP6V0D2	PPI
KRI1	PPI
ATP6V1C2	PPI
PPTC7	PPI
GRPEL2	PPI
IPO4	PPI
HDAC7	PPI
PRPF31	PPI
