V1	V2
PPOX	HAP1
PPOX	HIST1H3A
PPOX	H3F3A
PPOX	POU5F1
PPOX	SLC25A11
PPOX	PLAUR
PPOX	HNRNPD
PPOX	HIST3H3
PPOX	IMMT
PPOX	STEAP3
PPOX	H3F3C
PPOX	HIST2H3A
PPOX	GLRX5
PPOX	DNAJA4
PPOX	HSPH1
PPOX	COPS5
PPOX	PRMT1
PPOX	SDF4
PPOX	CBWD1
PPOX	SLC25A31
PPOX	WDR76
PPOX	SFXN1
PPOX	NANOG
PPOX	PRMT8
PPOX	ABCB10
PPOX	TMEM14C
PPOX	SUCLA2
PPOX	ISLR
PPOX	DNAJA2
PPOX	ABCB7
PPOX	COQ9
PPOX	NDUFA10
PPOX	HSPA4L
PPOX	TFRC
PPOX	SLC25A5
PPOX	UBC
PPOX	SLC25A4
PPOX	ALAS1
PPOX	ARSA
PPOX	RCC1
PPOX	ALAS2
PPOX	FECH
PPOX	DNAJA1
PPOX	HSPA4
PPOX	CPOX
PPOX	VDAC2
PPOX	THBS3
UROD	HSP90AB1
UROD	CFH
UROD	VIM
UROD	UBC
UROD	HSPA1B
UROD	HSPA8
UROD	COX6B1
UROD	HSPA6
UROD	HNF1A
UROD	TAF1
UROD	HSPA1L
UROD	HSPA4
UROD	COPB2
UROD	HNF4A
UROD	NEDD4
UROD	HSPA2
UROD	EIF3B
UROD	CHD3
UROD	WDR45B
UROD	HSPH1
UROD	FAM84B
UROD	NEDD4L
UROD	MOV10
UROD	PFDN4
UROD	NXF1
UROD	SEC63
UROD	HMGXB4
UROD	FAF1
UROD	POTEF
UROD	HGS
UROD	HSPA4L
UROD	BAG3
UROD	EGFR
CPOX	NAA10
CPOX	VDAC2
CPOX	RPS10
CPOX	EIF1AX
CPOX	MCM2
CPOX	TAF6
CPOX	PPOX
CPOX	KPNA1
CPOX	HSPA2
CPOX	MARS
CPOX	HIST1H2BD
CPOX	UBE2G2
CPOX	TBPL1
CPOX	HIST1H4A
CPOX	HIST1H2BC
CPOX	SUMO1
CPOX	EEF1A1
CPOX	PFKP
CPOX	SLC25A11
CPOX	EEF1A2
CPOX	DLG1
CPOX	PRDX4
CPOX	BIRC3
CPOX	BIRC2
CPOX	PIN1
CPOX	CUL3
CPOX	PUM3
CPOX	TAF5
CPOX	TAF13
CPOX	TAF7
CPOX	ELAVL1
CPOX	TAF9
CPOX	HIST2H2AC
CPOX	HIST2H2BE
CPOX	TAF7L
CPOX	HIST2H2BF
CPOX	HIST2H2AA3
CPOX	PRPF40B
CPOX	TAF2
CPOX	TBPL2
CPOX	USP51
CPOX	HIST3H2A
CPOX	H2BFWT
CPOX	MYH14
CPOX	GLRX5
CPOX	HIST2H2AB
CPOX	TAF1L
CPOX	HIST3H2BB
CPOX	IPO4
CPOX	DNAJA4
CPOX	HSPH1
CPOX	KAT2B
CPOX	HIST1H2AC
CPOX	HIST1H2BH
CPOX	HIST1H2BA
CPOX	HIST1H2AH
CPOX	HIST1H2AA
CPOX	PEO1
CPOX	SIN3A
CPOX	HIST1H4G
CPOX	PRMT1
CPOX	HIST1H2BN
CPOX	HIST1H2AJ
CPOX	HIST1H2BM
CPOX	HIST1H2BL
CPOX	NAA11
CPOX	H2AFJ
CPOX	MRPL13
CPOX	SLC25A31
CPOX	TAF9B
CPOX	MYO5C
CPOX	PRMT8
CPOX	ABCB10
CPOX	SUCLA2
CPOX	MYO15A
CPOX	MYH2
CPOX	MYH13
CPOX	MYO5B
CPOX	PSMD13
CPOX	USP22
CPOX	RUVBL2
CPOX	MYH15
CPOX	MYO5A
CPOX	MYH4
CPOX	SIRT4
CPOX	MYH7B
CPOX	EIF1AY
CPOX	BTAF1
CPOX	KPNA5
CPOX	CETN3
CPOX	HIST1H2BK
CPOX	DNAJA2
CPOX	ABCB7
CPOX	CLUH
CPOX	PRPF40A
CPOX	TADA2A
CPOX	HSPA4L
CPOX	HIST1H2AB
CPOX	SLC25A5
CPOX	JUN
CPOX	HIST1H2BJ
CPOX	P4HB
CPOX	PFKM
CPOX	HIST1H2AG
CPOX	H2AFB1
CPOX	H2AFB2
CPOX	UBC
CPOX	HSPA1A
CPOX	HSPA1B
CPOX	MYH3
CPOX	HSPA8
CPOX	SLC25A4
CPOX	MYH1
CPOX	MYH7
CPOX	MYH8
CPOX	ATP1A3
CPOX	EEF2
CPOX	PDIA4
CPOX	TCF4
CPOX	H2AFX
CPOX	HSPA6
CPOX	PFKL
CPOX	PSMC3
CPOX	TBP
CPOX	HIST1H2AD
CPOX	TAF1
CPOX	FBL
CPOX	FECH
CPOX	HIST1H2BO
CPOX	POLR2A
CPOX	VARS
CPOX	EEF1G
CPOX	CAD
CPOX	PDIA3
CPOX	POLR2B
CPOX	DNAJA1
CPOX	HIST1H2BB
CPOX	HSPA1L
CPOX	HSPA4
CPOX	MYH9
CPOX	MYH10
CPOX	MYH11
FECH	ATP5A1
FECH	VARS
FECH	PPP2R1A
FECH	PPP2R1B
FECH	ALDH1B1
FECH	MAT2A
FECH	DNAJA1
FECH	GCK
FECH	CPOX
FECH	PGM1
FECH	HSPA9
FECH	CCT6A
FECH	RANBP1
FECH	PSMC4
FECH	VDAC2
FECH	ALDH1A3
FECH	CCT5
FECH	CCT3
FECH	PPOX
FECH	CCT8
FECH	CCT4
FECH	IDH3G
FECH	PPP5C
FECH	HSPA2
FECH	AK2
FECH	PSMD4
FECH	NUP107
FECH	ACTB
FECH	ABCE1
FECH	YWHAE
FECH	PSMC6
FECH	ETF1
FECH	PPP2CB
FECH	ACTA2
FECH	HIST1H4A
FECH	RAN
FECH	ACTG1
FECH	ACTG2
FECH	PPP2CA
FECH	ACTC1
FECH	ACTA1
FECH	TUBA1B
FECH	TUBA4A
FECH	TUBB4B
FECH	RPP30
FECH	CCT2
FECH	MAT1A
FECH	MDM2
FECH	PFKP
FECH	POU5F1
FECH	SLC25A11
FECH	GFPT1
FECH	PABPC4
FECH	ATM
FECH	PPP2R5C
FECH	TUBB3
FECH	CAMK2B
FECH	PWP1
FECH	CUL3
FECH	TUBA3C
FECH	TUBB2A
FECH	BYSL
FECH	PPP2R5D
FECH	FASTKD3
FECH	PGM5
FECH	PPP2R5A
FECH	PPP2R5B
FECH	ELAVL1
FECH	NEDD8
FECH	HSPB2
FECH	PPP2R5E
FECH	FXN
FECH	CLPP
FECH	HIST2H2AC
FECH	SLC25A35
FECH	TUBB8
FECH	PABPC1L
FECH	PABPC1L2A
FECH	MINOS1
FECH	STEAP3
FECH	HIST2H2AA3
FECH	TUBA3E
FECH	SLC25A34
FECH	TUBA1A
FECH	COPS6
FECH	HIST3H2A
FECH	GLRX5
FECH	TRIM74
FECH	HIST2H2AB
