gene	node_type
PPOX	gene
UROD	gene
CPOX	gene
DKFZP686P18130	gene
FECH	gene
DKFZP686P18130	PPI
UBC	PPI
PPP2R1A	PPI
FXN	PPI
CETN3	PPI
ABCB7	PPI
CFH	PPI
SLC25A31	PPI
SLC25A5	PPI
SLC25A4	PPI
ETF1	PPI
GSPT2	PPI
GSPT1	PPI
ABCE1	PPI
SLC25A6	PPI
NEDD4	PPI
NEDD4L	PPI
YWHAE	PPI
STEAP3	PPI
ABCB10	PPI
TMEM14C	PPI
GLRX5	PPI
ALAS2	PPI
SLC25A11	PPI
SFXN1	PPI
SUCLA2	PPI
ALAS1	PPI
TFRC	PPI
VDAC2	PPI
CLPP	PPI
FASTKD3	PPI
PSMD4	PPI
MINOS1	PPI
PRMT1	PPI
PRMT8	PPI
SIRT4	PPI
MME	PPI
EGFR	PPI
HSPA2	PPI
HSPA1A	PPI
HSPA1B	PPI
HSPA8	PPI
HSPA6	PPI
PPP2R1B	PPI
PIN1	PPI
PRPF40B	PPI
PRPF40A	PPI
HSPB2	PPI
BAG3	PPI
TBPL1	PPI
TAF7	PPI
TAF7L	PPI
TAF2	PPI
TBPL2	PPI
TAF1L	PPI
PPP2CB	PPI
COPS5	PPI
TAF6	PPI
TAF5	PPI
TAF9	PPI
MYH14	PPI
KAT2B	PPI
TAF9B	PPI
MYH2	PPI
MYH13	PPI
MYH15	PPI
MYH4	PPI
MYH7B	PPI
TADA2A	PPI
MYH3	PPI
MYH1	PPI
MYH7	PPI
MYH8	PPI
TBP	PPI
VARS	PPI
HSPA1L	PPI
MYH9	PPI
MYH10	PPI
MYH11	PPI
H3F3A	PPI
HIST3H3	PPI
H3F3C	PPI
HIST2H3A	PPI
WDR76	PPI
TAF1	PPI
HIST1H3A	PPI
HNRNPD	PPI
CAMK2B	PPI
FBXO6	PPI
MCM2	PPI
PPP2CA	PPI
ATM	PPI
POU5F1	PPI
NANOG	PPI
COQ9	PPI
KPNA1	PPI
SUMO1	PPI
ELAVL1	PPI
KPNA5	PPI
PPP5C	PPI
AK2	PPI
RPP30	PPI
NEDD8	PPI
NMES1	PPI
USP42	PPI
USP20	PPI
HAP1	PPI
IMMT	PPI
VIM	PPI
COPB2	PPI
EIF3B	PPI
CHD3	PPI
HMGXB4	PPI
FAF1	PPI
HGS	PPI
NAA10	PPI
NAA11	PPI
MDM2	PPI
RCC1	PPI
HNF1A	PPI
HNF4A	PPI
MOV10	PPI
NXF1	PPI
EIF1AX	PPI
HIST1H2BD	PPI
HIST1H4A	PPI
HIST1H2BC	PPI
DLG1	PPI
HIST2H2AC	PPI
HIST2H2BE	PPI
HIST2H2BF	PPI
HIST2H2AA3	PPI
HIST3H2A	PPI
H2BFWT	PPI
HIST2H2AB	PPI
HIST3H2BB	PPI
HIST1H2AC	PPI
HIST1H2BH	PPI
HIST1H2BA	PPI
HIST1H2AH	PPI
HIST1H2AA	PPI
HIST1H4G	PPI
HIST1H2BN	PPI
HIST1H2AJ	PPI
HIST1H2BM	PPI
HIST1H2BL	PPI
H2AFJ	PPI
MRPL13	PPI
EIF1AY	PPI
HIST1H2BK	PPI
HIST1H2AB	PPI
JUN	PPI
HIST1H2BJ	PPI
P4HB	PPI
HIST1H2AG	PPI
H2AFB1	PPI
H2AFB2	PPI
ATP1A3	PPI
EEF2	PPI
PDIA4	PPI
TCF4	PPI
H2AFX	PPI
HIST1H2AD	PPI
HIST1H2BO	PPI
PDIA3	PPI
HIST1H2BB	PPI
DNAJA4	PPI
HSPH1	PPI
DNAJA2	PPI
HSPA4L	PPI
DNAJA1	PPI
HSPA4	PPI
HSP90AB1	PPI
FAM84B	PPI
PFDN4	PPI
SEC63	PPI
RPS10	PPI
UBE2G2	PPI
CUL3	PPI
USP51	PPI
BTAF1	PPI
CAD	PPI
COPS6	PPI
ISLR	PPI
ARSA	PPI
COX6B1	PPI
WDR45B	PPI
POTEF	PPI
MARS	PPI
EEF1A1	PPI
PFKP	PPI
EEF1A2	PPI
PRDX4	PPI
BIRC3	PPI
BIRC2	PPI
PUM3	PPI
TAF13	PPI
IPO4	PPI
PEO1	PPI
SIN3A	PPI
MYO5C	PPI
MYO15A	PPI
MYO5B	PPI
PSMD13	PPI
USP22	PPI
RUVBL2	PPI
MYO5A	PPI
CLUH	PPI
PFKM	PPI
PFKL	PPI
PSMC3	PPI
FBL	PPI
POLR2A	PPI
EEF1G	PPI
POLR2B	PPI
SLC25A35	PPI
SLC25A34	PPI
TRIM74	PPI
WDR89	PPI
PISD	PPI
PLAUR	PPI
SDF4	PPI
CBWD1	PPI
NDUFA10	PPI
THBS3	PPI
ATP5A1	PPI
ALDH1B1	PPI
MAT2A	PPI
GCK	PPI
PGM1	PPI
HSPA9	PPI
CCT6A	PPI
RANBP1	PPI
PSMC4	PPI
ALDH1A3	PPI
CCT5	PPI
CCT3	PPI
CCT8	PPI
CCT4	PPI
IDH3G	PPI
NUP107	PPI
ACTB	PPI
PSMC6	PPI
ACTA2	PPI
RAN	PPI
ACTG1	PPI
