V1	V2
DOHH	EIF5A2
DOHH	SLC25A31
DOHH	TMEM165
DOHH	OLA1
DOHH	TUBA8
DOHH	COPG2
DOHH	DNAJB4
DOHH	RUVBL2
DOHH	RUVBL1
DOHH	MED31
DOHH	PCYT1B
DOHH	COPG1
DOHH	TUBAL3
DOHH	PSMD14
DOHH	XPO1
DOHH	ARPC2
DOHH	PMM2
DOHH	IDH3B
DOHH	ACSL4
DOHH	DNAJA2
DOHH	CS
DOHH	CDC45
DOHH	EIF3G
DOHH	DNAJB5
DOHH	ALDH1A2
DOHH	GFPT2
DOHH	ACSL3
DOHH	HSPA4L
DOHH	BAG3
DOHH	ALDH1A1
DOHH	ADA
DOHH	GAPDH
DOHH	ASL
DOHH	ALDH2
DOHH	SLC25A5
DOHH	BPGM
DOHH	HSP90AA1
DOHH	GALT
DOHH	PFKM
DOHH	HSP90AB1
DOHH	PDHA1
DOHH	ENO2
DOHH	UBC
DOHH	HSPA1A
DOHH	HSPA1B
DOHH	HSPD1
DOHH	HSPA5
DOHH	HSPA8
DOHH	SLC25A4
DOHH	SLC25A6
DOHH	EEF2
DOHH	ENO3
DOHH	IDE
DOHH	PGAM2
DOHH	ATP6V1B1
DOHH	HSPA6
DOHH	PFKL
DOHH	TCP1
DOHH	PGAM1
DOHH	RCC1
DOHH	ATP6V1B2
DOHH	TAF1
DOHH	ME2
DOHH	DNAJB1
DOHH	ATP5A1
DOHH	PSMA3
DOHH	DDX6
DOHH	EEF1G
DOHH	MAPK3
DOHH	CAD
DOHH	MAPK1
DOHH	PDHA2
DOHH	ALDH1B1
DOHH	POLR2B
DOHH	MAT2A
DOHH	RRM2
DOHH	DNAJA1
DOHH	STIP1
DOHH	PYCR1
DOHH	HSPA1L
DOHH	HSPA4
DOHH	COPB2
DOHH	DLST
DOHH	HSPA9
DOHH	CCT6A
DOHH	PSMC4
DOHH	NSF
DOHH	ALDH1A3
DOHH	ARCN1
DOHH	CSNK1D
DOHH	PCYT1A
DOHH	GSK3A
DOHH	GSK3B
DOHH	IDH3A
DOHH	CDK9
DOHH	CCT8
DOHH	CCT4
DOHH	IDH3G
DOHH	COPB1
DOHH	COPA
DOHH	CLTCL1
DOHH	HSPA2
DOHH	CSE1L
DOHH	VCP
DOHH	SUMO3
DOHH	HSD17B7
DOHH	DNAJB13
DOHH	ACTB
DOHH	ACTR2
DOHH	SUMO2
DOHH	PSMC5
DOHH	YWHAE
DOHH	PSMC6
DOHH	ACTA2
DOHH	SUMO1
DOHH	EIF5A
DOHH	ACTG1
DOHH	ACTG2
DOHH	ACTC1
DOHH	ACTA1
DOHH	TUBA1B
DOHH	TUBA4A
DOHH	CCT2
DOHH	ARF1
DOHH	MAT1A
DOHH	CLTC
DOHH	GALK2
DOHH	PFKP
DOHH	GFPT1
DOHH	PPID
DOHH	ACACA
DOHH	EIF3I
DOHH	TUBA3C
DOHH	PSMD6
DOHH	WDR43
DOHH	PYCRL
DOHH	NOM1
DOHH	SUMO4
DOHH	EIF5AL1
DOHH	TUBA3E
DOHH	TUBA1A
DOHH	RRM2B
DOHH	PGAM4
DOHH	CARNMT1
DOHH	DNAJA4
DOHH	CCT6B
DOHH	RTF1
DOHH	HSPH1
DOHH	DHX38
DOHH	PMM1
DOHH	PYCR2
DOHH	DNAJA3
DOHH	PRELID3A
DOHH	CCT7
DHPS	KPNA1
DHPS	ZNF138
DHPS	HSPA2
DHPS	TIRAP
DHPS	UBE2H
DHPS	ARF6
DHPS	CNBP
DHPS	AP2B1
DHPS	EIF5A
DHPS	CDK17
DHPS	REL
DHPS	RBL2
DHPS	AP1B1
DHPS	PSMD2
DHPS	BYSL
DHPS	TCEA2
DHPS	E2F4
DHPS	SUSD4
DHPS	EIF5AL1
DHPS	NUDT18
DHPS	VASH1
DHPS	ZCCHC13
DHPS	WDYHV1
DHPS	NIF3L1
DHPS	EIF5A2
DHPS	PTPRH
DHPS	SPHK1
DHPS	SRRM2
DHPS	RAB27B
DHPS	PSMD14
DHPS	KPNA5
DHPS	KCNAB3
DHPS	UBC
DHPS	HSPA1A
DHPS	HSPA1B
DHPS	HSPA8
DHPS	HSPA6
DHPS	TAF1
DHPS	TCEA1
DHPS	MAPK3
DHPS	MAPK1
DHPS	RPL9
DHPS	HSPA1L
DHPS	BRCA1
